"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"1737" "{condition=S,surface-quality=E} => {class=3}" 0.309405940594059 1 0.309405940594059 1.31382113821138 250 2 1 250 1
"31334" "{family=,steel=A,condition=S} => {class=3}" 0.272277227722772 1 0.272277227722772 1.31382113821138 220 3 1 135 1
"1613" "{ferro=,thick=(0.6005;0.7995]} => {class=3}" 0.228960396039604 1 0.228960396039604 1.31382113821138 185 2 1 35 1
"29039" "{surface-quality=E,bt=,len=(0.5; Inf]} => {class=3}" 0.188118811881188 1 0.188118811881188 1.31382113821138 152 3 1 6 1
"40" "{hardness=(22.5;75]} => {class=3}" 0.150990099009901 1 0.150990099009901 1.31382113821138 122 1 1 53 1
"28030" "{hardness=[-Inf;22.5],strength=[-Inf;375],surface-quality=G} => {class=3}" 0.132425742574257 1 0.132425742574257 1.31382113821138 107 3 1 56 1
"1143" "{hardness=[-Inf;22.5],thick=(2.1;3.2005]} => {class=3}" 0.0866336633663366 1 0.0866336633663366 1.31382113821138 70 2 1 28 1
"1055" "{carbon=(3.5; Inf],surface-quality=} => {class=3}" 0.0816831683168317 1 0.0816831683168317 1.31382113821138 66 2 1 40 1
"19282" "{steel=R,condition=S,surface-quality=} => {class=2}" 0.0767326732673267 1 0.0767326732673267 9.07865168539326 62 3 1 62 1
"28" "{family=TN} => {class=5}" 0.0742574257425743 1 0.0742574257425743 13.4666666666667 60 1 1 60 1
"27167" "{surface-quality=G,width=(1235;1410.05],oil=} => {class=3}" 0.0556930693069307 1 0.0556930693069307 1.31382113821138 45 3 1 2 1
"27879" "{steel=A,hardness=[-Inf;22.5],surface-quality=G} => {class=3}" 0.0532178217821782 1 0.0532178217821782 1.31382113821138 43 3 1 2 1
"21841" "{family=,bf=,thick=(0.4755;0.6005]} => {class=3}" 0.047029702970297 1 0.047029702970297 1.31382113821138 38 3 1 2 1
"553" "{hardness=(75; Inf],cbond=} => {class=U}" 0.0371287128712871 1 0.0371287128712871 22.4444444444444 30 2 1 30 1
"15972" "{surface-quality=,thick=(0.7995;0.8005],len=(0.5; Inf]} => {class=2}" 0.0297029702970297 1 0.0297029702970297 9.07865168539326 24 3 1 4 1
"451" "{surface-quality=,thick=(1.5495;1.5995]} => {class=2}" 0.0222772277227723 1 0.0222772277227723 9.07865168539326 18 2 1 2 1
"20767" "{thick=(1.5995;1.95],width=(1235;1410.05],oil=} => {class=3}" 0.0222772277227723 1 0.0222772277227723 1.31382113821138 18 3 1 1 1
"15445" "{condition=,surface-quality=,bt=Y} => {class=3}" 0.021039603960396 1 0.021039603960396 1.31382113821138 17 3 1 1 1
"28393" "{family=,steel=R,condition=} => {class=3}" 0.0198019801980198 1 0.0198019801980198 1.31382113821138 16 3 1 3 1
"4621" "{carbon=[-Inf;3.5],surface-quality=,thick=(1.95;2.1]} => {class=2}" 0.0185643564356436 1 0.0185643564356436 9.07865168539326 15 3 1 7 1
"545" "{hardness=(75; Inf],shape=SHEET} => {class=U}" 0.0173267326732673 1 0.0173267326732673 22.4444444444444 14 2 1 3 1
"160" "{surface-quality=,width=(1410.05; Inf]} => {class=2}" 0.0160891089108911 1 0.0160891089108911 9.07865168539326 13 2 1 1 1
"536" "{hardness=(75; Inf],thick=(0.8005;1.5495]} => {class=U}" 0.0136138613861386 1 0.0136138613861386 22.4444444444444 11 2 1 1 1
"134" "{steel=M,strength=(550; Inf]} => {class=2}" 0.0123762376237624 1 0.0123762376237624 9.07865168539326 10 2 1 9 1
"2" "{surface-finish=P} => {class=2}" 0.0111386138613861 1 0.0111386138613861 9.07865168539326 9 1 1 3 1
"3" "{enamelability=(1.8; Inf]} => {class=2}" 0.0111386138613861 1 0.0111386138613861 9.07865168539326 9 1 1 1 1
"30215" "{formability=(1.5;2.11262135922],enamelability=[-Inf;1.8],len=[-Inf;0.5]} => {class=3}" 0.136138613861386 0.948275862068966 0.143564356435644 1.24586487244183 110 3 1 1 1
"351" "{condition=,thick=(3.2005; Inf]} => {class=U}" 0.0111386138613861 0.818181818181818 0.0136138613861386 18.3636363636364 9 2 1 1 1
"8946" "{condition=,surface-quality=E,bf=} => {class=U}" 0.0123762376237624 0.526315789473684 0.0235148514851485 11.812865497076 10 3 1 1 1
"0" "{} => {class=1}" 0.0099009900990099 0.0099009900990099 1 1 8 0 1 8 1
