"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"1577" "{condition=S,surface-quality=E} => {class=3}" 0.313506815365551 1 0.313506815365551 1.31219512195122 253 2 1 253 1
"28674" "{family=,steel=A,condition=S} => {class=3}" 0.281288723667906 1 0.281288723667906 1.31219512195122 227 3 1 142 1
"1426" "{ferro=,thick=(0.6005;0.7995]} => {class=3}" 0.228004956629492 1 0.228004956629492 1.31219512195122 184 2 1 30 1
"26740" "{surface-quality=E,bt=,len=(0.5; Inf]} => {class=3}" 0.185873605947955 1 0.185873605947955 1.31219512195122 150 3 1 6 1
"33" "{hardness=(22.5;75]} => {class=3}" 0.152416356877323 1 0.152416356877323 1.31219512195122 123 1 1 52 1
"24844" "{hardness=[-Inf;22.5],strength=[-Inf;375],surface-quality=G} => {class=3}" 0.14002478314746 1 0.14002478314746 1.31219512195122 113 3 1 59 1
"16597" "{steel=R,condition=S,surface-quality=} => {class=2}" 0.0793060718711276 1 0.0793060718711276 9.06741573033708 64 3 1 64 1
"875" "{carbon=(3.5; Inf],surface-quality=} => {class=3}" 0.0768277571251549 1 0.0768277571251549 1.31219512195122 62 2 1 62 1
"19195" "{carbon=[-Inf;3.5],hardness=[-Inf;22.5],thick=(2.1; Inf]} => {class=3}" 0.0755885997521685 1 0.0755885997521685 1.31219512195122 61 3 1 2 1
"22" "{family=TN} => {class=5}" 0.0743494423791822 1 0.0743494423791822 13.45 60 1 1 60 1
"23309" "{surface-quality=G,width=(1235;1410.05],oil=} => {class=3}" 0.0582403965303594 1 0.0582403965303594 1.31219512195122 47 3 1 2 1
"24693" "{steel=A,hardness=[-Inf;22.5],surface-quality=G} => {class=3}" 0.057001239157373 1 0.057001239157373 1.31219512195122 46 3 1 1 1
"18499" "{family=,bf=,thick=(0.4755;0.6005]} => {class=3}" 0.0532837670384139 1 0.0532837670384139 1.31219512195122 43 3 1 2 1
"393" "{hardness=(75; Inf],cbond=} => {class=U}" 0.0384138785625774 1 0.0384138785625774 22.4166666666667 31 2 1 31 1
"5193" "{carbon=[-Inf;3.5],surface-quality=,thick=(1.6005;2.1]} => {class=2}" 0.0223048327137546 1 0.0223048327137546 9.06741573033708 18 3 1 6 1
"384" "{hardness=(75; Inf],shape=SHEET} => {class=U}" 0.0185873605947955 1 0.0185873605947955 22.4166666666667 15 2 1 2 1
"14222" "{condition=,surface-quality=,bt=Y} => {class=3}" 0.0173482032218092 1 0.0173482032218092 1.31219512195122 14 3 1 1 1
"77" "{surface-quality=,width=(1410.05; Inf]} => {class=2}" 0.0161090458488228 1 0.0161090458488228 9.06741573033708 13 2 1 1 1
"25709" "{family=,steel=R,condition=} => {class=3}" 0.0161090458488228 1 0.0161090458488228 1.31219512195122 13 3 1 2 1
"376" "{hardness=(75; Inf],thick=(0.7995;1.5995]} => {class=U}" 0.0136307311028501 1 0.0136307311028501 22.4166666666667 11 2 1 1 1
"136" "{steel=M,strength=(450; Inf]} => {class=2}" 0.0123915737298637 1 0.0123915737298637 9.06741573033708 10 2 1 10 1
"16654" "{condition=S,surface-quality=,len=(0.5; Inf]} => {class=2}" 0.0731102850061958 0.983333333333333 0.0743494423791822 8.91629213483146 59 3 1 5 1
"16531" "{formability=(1.5;2.113243762],surface-quality=,thick=(0.7995;1.5995]} => {class=2}" 0.0408921933085502 0.970588235294118 0.0421313506815366 8.80072703238599 33 3 0.5 1 0.998743718592965
"230" "{strength=(450; Inf],len=(0.5; Inf]} => {class=2}" 0.0161090458488228 0.928571428571429 0.0173482032218092 8.41974317817014 13 2 1 2 0.99874686716792
"6904" "{steel=A,condition=,thick=(2.1; Inf]} => {class=U}" 0.0161090458488228 0.590909090909091 0.0272614622057001 13.2462121212121 13 3 1 1 0.99874843554443
"6916" "{condition=,surface-quality=E,bf=} => {class=U}" 0.0136307311028501 0.55 0.0247831474597274 12.3291666666667 11 3 1 1 0.99875
"0" "{} => {class=1}" 0.00867410161090459 0.00867410161090459 1 1 7 0 1 7 0.998760842627014
