"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"889" "{X4=-1,X7=[-Inf;-0.9284215],X8=-1} => {Y=-1}" 0.0916398713826367 1 0.0916398713826367 1.80289855072464 57 3 1 57 1
"7293" "{X5=[-Inf;0.153846],X8=1,X9=1,X14=(-0.99491; Inf]} => {Y=1}" 0.0916398713826367 1 0.0916398713826367 2.24548736462094 57 4 1 57 1
"11915" "{X3=[-Inf;-0.700893],X7=[-Inf;-0.9284215],X8=-1,X11=1} => {Y=-1}" 0.0916398713826367 1 0.0916398713826367 1.80289855072464 57 4 1 46 1
"11916" "{X5=[-Inf;0.153846],X7=[-Inf;-0.9284215],X8=-1,X11=1} => {Y=-1}" 0.0884244372990354 1 0.0884244372990354 1.80289855072464 55 4 1 8 1
"10783" "{X3=(-0.700893; Inf],X5=[-Inf;0.153846],X8=-1,X14=[-Inf;-0.99491]} => {Y=-1}" 0.0755627009646302 1 0.0755627009646302 1.80289855072464 47 4 1 32 1
"7407" "{X5=[-Inf;0.153846],X7=(-0.9284215; Inf],X8=1,X14=(-0.99491; Inf]} => {Y=1}" 0.0739549839228296 1 0.0739549839228296 2.24548736462094 46 4 1 2 1
"8331" "{X4=0,X8=1,X11=1,X13=[-Inf;-0.9005]} => {Y=1}" 0.0723472668810289 1 0.0723472668810289 2.24548736462094 45 4 1 36 1
"2082" "{X5=[-Inf;0.153846],X8=-1,X9=1} => {Y=-1}" 0.067524115755627 1 0.067524115755627 1.80289855072464 42 3 1 21 1
"5378" "{X3=[-Inf;-0.700893],X4=-1,X8=-1,X11=-1} => {Y=-1}" 0.0659163987138264 1 0.0659163987138264 1.80289855072464 41 4 1 7 1
"5379" "{X4=-1,X5=[-Inf;0.153846],X8=-1,X11=-1} => {Y=-1}" 0.0659163987138264 1 0.0659163987138264 1.80289855072464 41 4 1 1 1
"5495" "{X4=-1,X7=[-Inf;-0.9284215],X11=-1,X14=[-Inf;-0.99491]} => {Y=-1}" 0.0659163987138264 1 0.0659163987138264 1.80289855072464 41 4 1 2 1
"1009" "{X1=1,X10=(-0.9253735; Inf],X13=[-Inf;-0.9005]} => {Y=1}" 0.0643086816720257 1 0.0643086816720257 2.24548736462094 40 3 1 14 1
"36" "{X6=[-Inf;-0.875],X8=-1} => {Y=-1}" 0.0627009646302251 1 0.0627009646302251 1.80289855072464 39 2 1 8 1
"5961" "{X5=[-Inf;0.153846],X8=1,X10=(-0.9253735; Inf],X13=[-Inf;-0.9005]} => {Y=1}" 0.0610932475884244 1 0.0610932475884244 2.24548736462094 38 4 1 4 1
"6472" "{X1=1,X7=(-0.9284215; Inf],X10=(-0.9253735; Inf],X11=-1} => {Y=1}" 0.0610932475884244 1 0.0610932475884244 2.24548736462094 38 4 1 10 1
"1633" "{X1=-1,X8=-1,X11=1} => {Y=-1}" 0.0594855305466238 1 0.0594855305466238 1.80289855072464 37 3 1 6 1
"7481" "{X8=1,X11=-1,X13=(-0.9005; Inf],X14=(-0.99491; Inf]} => {Y=1}" 0.0578778135048231 1 0.0578778135048231 2.24548736462094 36 4 1 13 1
"8589" "{X7=[-Inf;-0.9284215],X8=-1,X13=[-Inf;-0.9005],X14=[-Inf;-0.99491]} => {Y=-1}" 0.0578778135048231 1 0.0578778135048231 1.80289855072464 36 4 1 6 1
"5380" "{X1=1,X4=-1,X8=-1,X11=-1} => {Y=-1}" 0.0562700964630225 1 0.0562700964630225 1.80289855072464 35 4 1 1 1
"10782" "{X3=(-0.700893; Inf],X5=[-Inf;0.153846],X8=-1,X13=(-0.9005; Inf]} => {Y=-1}" 0.0562700964630225 1 0.0562700964630225 1.80289855072464 35 4 1 4 1
"7478" "{X3=[-Inf;-0.700893],X8=1,X11=-1,X14=(-0.99491; Inf]} => {Y=1}" 0.0530546623794212 1 0.0530546623794212 2.24548736462094 33 4 1 5 1
