"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"303" "{Single_Epi_Cell_Size=[-Inf;2.5],Bare_Nuclei=[-Inf;1.5]} => {Class=benign}" 0.516693163751987 1 0.516693163751987 1.52669902912621 325 2 1 325 1
"1331" "{Cell_Size_Uniformity=[-Inf;2.5],Bare_Nuclei=[-Inf;1.5],Normal_Nucleoli=[-Inf;2.5]} => {Class=benign}" 0.51510333863275 1 0.51510333863275 1.52669902912621 324 3 1 13 1
"1332" "{Cell_Size_Uniformity=[-Inf;2.5],Bare_Nuclei=[-Inf;1.5],Mitoses=[-Inf;1.5]} => {Class=benign}" 0.513513513513513 1 0.513513513513513 1.52669902912621 323 3 1 1 1
"3079" "{Marginal_Adhesion=[-Inf;1.5],Single_Epi_Cell_Size=[-Inf;2.5],Normal_Nucleoli=[-Inf;2.5],Mitoses=[-Inf;1.5]} => {Class=benign}" 0.481717011128776 1 0.481717011128776 1.52669902912621 303 4 1 32 1
"1328" "{Marginal_Adhesion=[-Inf;1.5],Bare_Nuclei=[-Inf;1.5],Normal_Nucleoli=[-Inf;2.5]} => {Class=benign}" 0.457869634340223 1 0.457869634340223 1.52669902912621 288 3 1 4 1
"296" "{Clump_Thickness=[-Inf;4.5],Marginal_Adhesion=[-Inf;1.5]} => {Class=benign}" 0.435612082670906 1 0.435612082670906 1.52669902912621 274 2 1 8 1
"1303" "{Cell_Shape_Uniformity=[-Inf;1.5],Marginal_Adhesion=[-Inf;1.5],Normal_Nucleoli=[-Inf;2.5]} => {Class=benign}" 0.435612082670906 1 0.435612082670906 1.52669902912621 274 3 1 1 1
"3005" "{Marginal_Adhesion=[-Inf;1.5],Single_Epi_Cell_Size=[-Inf;2.5],Bland_Chromatin=[-Inf;2.5],Mitoses=[-Inf;1.5]} => {Class=benign}" 0.335453100158982 1 0.335453100158982 1.52669902912621 211 4 1 1 1
"1117" "{Single_Epi_Cell_Size=[-Inf;2.5],Bland_Chromatin=(2.5;3.5],Normal_Nucleoli=[-Inf;2.5]} => {Class=benign}" 0.170111287758347 1 0.170111287758347 1.52669902912621 107 3 1 4 1
"187" "{Clump_Thickness=(6.5; Inf],Cell_Shape_Uniformity=(4.5; Inf]} => {Class=malignant}" 0.151033386327504 1 0.151033386327504 2.89861751152074 95 2 1 95 1
"186" "{Clump_Thickness=(6.5; Inf],Cell_Size_Uniformity=(4.5; Inf]} => {Class=malignant}" 0.144674085850556 1 0.144674085850556 2.89861751152074 91 2 1 13 1
"217" "{Cell_Shape_Uniformity=[-Inf;1.5],Bland_Chromatin=(2.5;3.5]} => {Class=benign}" 0.144674085850556 1 0.144674085850556 1.52669902912621 91 2 1 1 1
"1105" "{Marginal_Adhesion=[-Inf;1.5],Bare_Nuclei=[-Inf;1.5],Bland_Chromatin=(2.5;3.5]} => {Class=benign}" 0.136724960254372 1 0.136724960254372 1.52669902912621 86 3 1 1 1
"171" "{Cell_Size_Uniformity=(4.5; Inf],Mitoses=(1.5; Inf]} => {Class=malignant}" 0.130365659777424 1 0.130365659777424 2.89861751152074 82 2 1 32 1
"2786" "{Cell_Size_Uniformity=(4.5; Inf],Bare_Nuclei=(5.5; Inf],Bland_Chromatin=(3.5; Inf],Normal_Nucleoli=(2.5; Inf]} => {Class=malignant}" 0.125596184419714 1 0.125596184419714 2.89861751152074 79 4 1 18 1
"2799" "{Cell_Shape_Uniformity=(4.5; Inf],Bare_Nuclei=(5.5; Inf],Bland_Chromatin=(3.5; Inf],Normal_Nucleoli=(2.5; Inf]} => {Class=malignant}" 0.125596184419714 1 0.125596184419714 2.89861751152074 79 4 1 4 1
"125" "{Marginal_Adhesion=(6.5; Inf],Bland_Chromatin=(3.5; Inf]} => {Class=malignant}" 0.120826709062003 1 0.120826709062003 2.89861751152074 76 2 1 12 1
"126" "{Marginal_Adhesion=(6.5; Inf],Normal_Nucleoli=(2.5; Inf]} => {Class=malignant}" 0.117647058823529 1 0.117647058823529 2.89861751152074 74 2 1 3 1
"1071" "{Clump_Thickness=(4.5;6.5],Cell_Size_Uniformity=[-Inf;2.5],Normal_Nucleoli=[-Inf;2.5]} => {Class=benign}" 0.116057233704293 1 0.116057233704293 1.52669902912621 73 3 1 2 1
"204" "{Clump_Thickness=(4.5;6.5],Bland_Chromatin=[-Inf;2.5]} => {Class=benign}" 0.0890302066772655 1 0.0890302066772655 1.52669902912621 56 2 1 1 1
"1000" "{Clump_Thickness=(6.5; Inf],Bland_Chromatin=(3.5; Inf],Mitoses=[-Inf;1.5]} => {Class=malignant}" 0.0794912559618442 1 0.0794912559618442 2.89861751152074 50 3 1 5 1
"2814" "{Bare_Nuclei=(5.5; Inf],Bland_Chromatin=(3.5; Inf],Normal_Nucleoli=(2.5; Inf],Mitoses=[-Inf;1.5]} => {Class=malignant}" 0.0747217806041336 1 0.0747217806041336 2.89861751152074 47 4 1 2 1
"1005" "{Clump_Thickness=(6.5; Inf],Normal_Nucleoli=(2.5; Inf],Mitoses=[-Inf;1.5]} => {Class=malignant}" 0.0699523052464229 1 0.0699523052464229 2.89861751152074 44 3 1 3 1
