"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"11973" "{surgery=no,pain=alert no pain,outcome=lived} => {surgical_lesion=no}" 0.0963855421686747 1 0.0963855421686747 2.69918699186992 32 3 1 32 1
"25033" "{surgery=yes,pulse=(58; Inf],peripheral_pulse=normal} => {surgical_lesion=yes}" 0.0903614457831325 1 0.0903614457831325 1.58851674641148 30 3 1 30 1
"20408" "{surgery=yes,capillary_refill_time=<3,outcome=died} => {surgical_lesion=yes}" 0.0873493975903614 1 0.0873493975903614 1.58851674641148 29 3 1 23 1
"21137" "{surgery=yes,peristalsis=absent,outcome=lived} => {surgical_lesion=yes}" 0.0873493975903614 1 0.0873493975903614 1.58851674641148 29 3 1 23 1
"14482" "{Age=adult,packed_cell_volume=(49.5; Inf],abdominocentesis_appearance=serosanguinous} => {surgical_lesion=yes}" 0.0813253012048193 1 0.0813253012048193 1.58851674641148 27 3 1 17 1
"20376" "{surgery=yes,peristalsis=hypomotile,outcome=died} => {surgical_lesion=yes}" 0.0813253012048193 1 0.0813253012048193 1.58851674641148 27 3 1 8 1
"20380" "{Age=adult,peristalsis=hypomotile,outcome=died} => {surgical_lesion=yes}" 0.0813253012048193 1 0.0813253012048193 1.58851674641148 27 3 1 4 1
"20982" "{surgery=yes,peristalsis=absent,nasogastric_tube=slight} => {surgical_lesion=yes}" 0.0813253012048193 1 0.0813253012048193 1.58851674641148 27 3 1 3 1
"14631" "{pulse=(58; Inf],peristalsis=hypomotile,abdominocentesis_appearance=serosanguinous} => {surgical_lesion=yes}" 0.0753012048192771 1 0.0753012048192771 1.58851674641148 25 3 1 5 1
"19431" "{surgery=yes,abdominal_distension=moderate,nasogastric_tube=slight} => {surgical_lesion=yes}" 0.0753012048192771 1 0.0753012048192771 1.58851674641148 25 3 1 6 1
"19218" "{Age=adult,abdominal_distension=moderate,outcome=died} => {surgical_lesion=yes}" 0.072289156626506 1 0.072289156626506 1.58851674641148 24 3 1 2 1
"24014" "{surgery=no,peripheral_pulse=normal,nasogastric_tube=} => {surgical_lesion=no}" 0.072289156626506 1 0.072289156626506 2.69918699186992 24 3 1 16 1
"9852" "{surgery=yes,peripheral_pulse=reduced,pain=continuous severe pain} => {surgical_lesion=yes}" 0.0692771084337349 1 0.0692771084337349 1.58851674641148 23 3 1 6 1
"12741" "{surgery=yes,rectal_examination=absent,abdomen=distended small intestine} => {surgical_lesion=yes}" 0.0692771084337349 1 0.0692771084337349 1.58851674641148 23 3 1 2 1
"19432" "{pulse=(58; Inf],abdominal_distension=moderate,nasogastric_tube=slight} => {surgical_lesion=yes}" 0.0692771084337349 1 0.0692771084337349 1.58851674641148 23 3 1 2 1
"20983" "{pulse=(58; Inf],peristalsis=absent,nasogastric_tube=slight} => {surgical_lesion=yes}" 0.0692771084337349 1 0.0692771084337349 1.58851674641148 23 3 1 1 1
"12965" "{surgery=yes,abdomen=distended small intestine,outcome=lived} => {surgical_lesion=yes}" 0.0662650602409639 1 0.0662650602409639 1.58851674641148 22 3 1 2 1
"19123" "{surgery=yes,mucous_membranes=pale pink,outcome=lived} => {surgical_lesion=yes}" 0.0662650602409639 1 0.0662650602409639 1.58851674641148 22 3 1 4 1
