"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"22043" "{A1=b,A9=t,A10=t,A15=(395; Inf]} => {class=+}" 0.101449275362319 1 0.101449275362319 2.25 63 4 1 63 1
"22266" "{A1=b,A4=u,A9=t,A15=(395; Inf]} => {class=+}" 0.0998389694041868 1 0.0998389694041868 2.25 62 4 1 9 1
"20337" "{A4=y,A8=[-Inf;1.1875],A9=f,A13=g} => {class=-}" 0.0933977455716586 1 0.0933977455716586 1.8 58 4 1 58 1
"22110" "{A1=b,A8=(1.1875; Inf],A9=t,A15=(395; Inf]} => {class=+}" 0.0901771336553945 1 0.0901771336553945 2.25 56 4 1 1 1
"20408" "{A4=y,A8=[-Inf;1.1875],A12=f,A15=[-Inf;395]} => {class=-}" 0.0772946859903382 1 0.0772946859903382 1.8 48 4 1 8 1
"22111" "{A8=(1.1875; Inf],A9=t,A14=(99.5; Inf],A15=(395; Inf]} => {class=+}" 0.0772946859903382 1 0.0772946859903382 2.25 48 4 1 11 1
"20323" "{A3=[-Inf;4.2075],A4=y,A9=f,A12=f} => {class=-}" 0.0756843800322061 1 0.0756843800322061 1.8 47 4 1 9 1
"22265" "{A1=b,A2=[-Inf;36.625],A9=t,A15=(395; Inf]} => {class=+}" 0.0756843800322061 1 0.0756843800322061 2.25 47 4 1 1 1
"24864" "{A4=u,A9=t,A12=t,A14=[-Inf;99.5]} => {class=+}" 0.0756843800322061 1 0.0756843800322061 2.25 47 4 1 37 1
"27012" "{A9=f,A10=t,A13=g,A15=[-Inf;395]} => {class=-}" 0.0756843800322061 1 0.0756843800322061 1.8 47 4 1 40 1
"23542" "{A2=(36.625; Inf],A8=(1.1875; Inf],A9=t,A14=[-Inf;99.5]} => {class=+}" 0.072463768115942 1 0.072463768115942 2.25 45 4 1 16 1
"27005" "{A2=[-Inf;36.625],A9=f,A10=t,A15=[-Inf;395]} => {class=-}" 0.0692431561996779 1 0.0692431561996779 1.8 43 4 1 1 1
"21563" "{A9=t,A11=(2.5; Inf],A14=(99.5; Inf],A15=(395; Inf]} => {class=+}" 0.0676328502415459 1 0.0676328502415459 2.25 42 4 1 3 1
"287" "{A7=ff,A9=f} => {class=-}" 0.0660225442834139 1 0.0660225442834139 1.8 41 2 1 16 1
"20324" "{A1=b,A4=y,A9=f,A12=f} => {class=-}" 0.0660225442834139 1 0.0660225442834139 1.8 41 4 1 3 1
"22094" "{A8=(1.1875; Inf],A9=t,A12=t,A15=(395; Inf]} => {class=+}" 0.0660225442834139 1 0.0660225442834139 2.25 41 4 1 1 1
"22801" "{A1=b,A9=t,A11=(2.5; Inf],A14=[-Inf;99.5]} => {class=+}" 0.0628019323671498 1 0.0628019323671498 2.25 39 4 1 4 1
"26395" "{A3=(4.2075; Inf],A8=[-Inf;1.1875],A9=f,A12=f} => {class=-}" 0.0628019323671498 1 0.0628019323671498 1.8 39 4 1 21 1
"23154" "{A1=b,A8=(1.1875; Inf],A11=(2.5; Inf],A12=f} => {class=+}" 0.0611916264090177 1 0.0611916264090177 2.25 38 4 1 8 1
"22109" "{A3=[-Inf;4.2075],A8=(1.1875; Inf],A9=t,A15=(395; Inf]} => {class=+}" 0.0595813204508857 1 0.0595813204508857 2.25 37 4 1 2 1
"26402" "{A3=(4.2075; Inf],A4=u,A9=f,A12=f} => {class=-}" 0.0595813204508857 1 0.0595813204508857 1.8 37 4 1 6 1
"21561" "{A3=[-Inf;4.2075],A9=t,A11=(2.5; Inf],A15=(395; Inf]} => {class=+}" 0.0579710144927536 1 0.0579710144927536 2.25 36 4 1 1 1
"4705" "{A2=(36.625; Inf],A11=(2.5; Inf],A14=[-Inf;99.5]} => {class=+}" 0.0563607085346216 1 0.0563607085346216 2.25 35 3 1 1 1
"3530" "{A7=h,A9=t,A15=(395; Inf]} => {class=+}" 0.0547504025764895 1 0.0547504025764895 2.25 34 3 1 5 1
"20331" "{A4=y,A7=v,A8=[-Inf;1.1875],A9=f} => {class=-}" 0.0547504025764895 1 0.0547504025764895 1.8 34 4 1 1 1
"4492" "{A11=(2.5; Inf],A12=t,A15=(395; Inf]} => {class=+}" 0.0531400966183575 1 0.0531400966183575 2.25 33 3 1 1 1
"5294" "{A1=a,A9=f,A12=t} => {class=-}" 0.0531400966183575 1 0.0531400966183575 1.8 33 3 1 15 1
"26997" "{A1=b,A9=f,A10=t,A13=g} => {class=-}" 0.0515297906602254 1 0.0515297906602254 1.8 32 4 1 3 1
"17290" "{A7=h,A9=t,A10=t,A12=f} => {class=+}" 0.0499194847020934 1 0.0499194847020934 2.25 31 4 1 7 1
"22219" "{A9=t,A12=f,A14=(99.5; Inf],A15=(395; Inf]} => {class=+}" 0.0499194847020934 1 0.0499194847020934 2.25 31 4 1 2 1
"22805" "{A9=t,A11=(2.5; Inf],A14=[-Inf;99.5],A15=[-Inf;395]} => {class=+}" 0.0483091787439614 1 0.0483091787439614 2.25 30 4 1 3 1
"2676" "{A6=i,A8=[-Inf;1.1875],A11=[-Inf;0.5]} => {class=-}" 0.0466988727858293 1 0.0466988727858293 1.8 29 3 1 19 1
"165" "{A6=k,A9=f} => {class=-}" 0.0450885668276973 1 0.0450885668276973 1.8 28 2 1 11 1
"2681" "{A6=i,A8=[-Inf;1.1875],A14=(99.5; Inf]} => {class=-}" 0.0450885668276973 1 0.0450885668276973 1.8 28 3 1 1 1
"5092" "{A3=(4.2075; Inf],A9=f,A14=[-Inf;99.5]} => {class=-}" 0.0450885668276973 1 0.0450885668276973 1.8 28 3 1 4 1
"24241" "{A2=(36.625; Inf],A8=[-Inf;1.1875],A9=f,A13=g} => {class=-}" 0.0450885668276973 1 0.0450885668276973 1.8 28 4 1 6 1
"23007" "{A1=b,A3=(4.2075; Inf],A7=v,A11=(2.5; Inf]} => {class=+}" 0.0434782608695652 1 0.0434782608695652 2.25 27 4 1 5 1
"22669" "{A2=(36.625; Inf],A7=v,A8=(1.1875; Inf],A11=(2.5; Inf]} => {class=+}" 0.0418679549114332 1 0.0418679549114332 2.25 26 4 1 1 1
"23155" "{A8=(1.1875; Inf],A11=(2.5; Inf],A12=f,A14=(99.5; Inf]} => {class=+}" 0.0418679549114332 1 0.0418679549114332 2.25 26 4 1 1 1
"2692" "{A2=[-Inf;36.625],A6=i,A11=[-Inf;0.5]} => {class=-}" 0.0402576489533011 1 0.0402576489533011 1.8 25 3 1 2 1
"18233" "{A4=u,A6=c,A8=(1.1875; Inf],A11=(2.5; Inf]} => {class=+}" 0.0386473429951691 1 0.0386473429951691 2.25 24 4 1 1 1
"24949" "{A3=[-Inf;4.2075],A4=u,A9=t,A14=[-Inf;99.5]} => {class=+}" 0.0386473429951691 1 0.0386473429951691 2.25 24 4 1 2 1
"236" "{A6=aa,A9=f} => {class=-}" 0.037037037037037 1 0.037037037037037 1.8 23 2 1 7 1
"1552" "{A2=[-Inf;36.625],A6=k,A11=[-Inf;0.5]} => {class=-}" 0.037037037037037 1 0.037037037037037 1.8 23 3 1 2 1
"22470" "{A9=f,A11=[-Inf;0.5],A13=g,A15=(395; Inf]} => {class=-}" 0.037037037037037 1 0.037037037037037 1.8 23 4 1 1 1
"22646" "{A2=(36.625; Inf],A3=(4.2075; Inf],A7=v,A11=(2.5; Inf]} => {class=+}" 0.037037037037037 1 0.037037037037037 2.25 23 4 1 1 1
"23015" "{A1=b,A2=[-Inf;36.625],A3=(4.2075; Inf],A11=(2.5; Inf]} => {class=+}" 0.037037037037037 1 0.037037037037037 2.25 23 4 1 2 1
"114" "{A6=x,A10=t} => {class=+}" 0.035426731078905 1 0.035426731078905 2.25 22 2 1 5 1
"5075" "{A1=a,A9=f,A14=[-Inf;99.5]} => {class=-}" 0.035426731078905 1 0.035426731078905 1.8 22 3 1 1 1
"18741" "{A6=c,A9=t,A10=t,A12=f} => {class=+}" 0.035426731078905 1 0.035426731078905 2.25 22 4 1 2 1
"137" "{A6=cc,A10=t} => {class=+}" 0.0338164251207729 1 0.0338164251207729 2.25 21 2 1 5 1
"3718" "{A7=h,A8=[-Inf;1.1875],A9=f} => {class=-}" 0.0338164251207729 1 0.0338164251207729 1.8 21 3 1 1 1
"277" "{A4=y,A7=ff} => {class=-}" 0.0322061191626409 1 0.0322061191626409 1.8 20 2 1 1 1
"2639" "{A6=i,A9=f,A12=t} => {class=-}" 0.0322061191626409 1 0.0322061191626409 1.8 20 3 1 2 1
"22213" "{A8=[-Inf;1.1875],A9=t,A12=f,A15=(395; Inf]} => {class=+}" 0.0322061191626409 1 0.0322061191626409 2.25 20 4 1 3 1
"23008" "{A3=(4.2075; Inf],A7=v,A11=(2.5; Inf],A14=(99.5; Inf]} => {class=+}" 0.0322061191626409 1 0.0322061191626409 2.25 20 4 1 1 1
