"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"5448" "{checking_status=no checking,purpose=used car,other_payment_plans=none} => {class=good}" 0.0466666666666667 1 0.0466666666666667 1.42857142857143 42 3 1 42 1
"5441" "{checking_status=no checking,purpose=used car,personal_status=male single} => {class=good}" 0.0388888888888889 1 0.0388888888888889 1.42857142857143 35 3 1 4 1
"7940" "{checking_status=no checking,employment=4<=X<7,own_telephone=yes} => {class=good}" 0.0388888888888889 1 0.0388888888888889 1.42857142857143 35 3 1 27 1
"5445" "{checking_status=no checking,purpose=used car,job=skilled} => {class=good}" 0.0311111111111111 1 0.0311111111111111 1.42857142857143 28 3 1 1 1
"17461" "{credit_amount=[-Inf;3913.5],savings_status=>=1000,other_payment_plans=none,num_dependents=1} => {class=good}" 0.03 1 0.03 1.42857142857143 27 4 1 25 1
"44683" "{checking_status=no checking,property_magnitude=no known property,other_payment_plans=none,num_dependents=1} => {class=good}" 0.03 1 0.03 1.42857142857143 27 4 1 21 1
"47668" "{credit_amount=[-Inf;3913.5],employment=4<=X<7,personal_status=male single,own_telephone=yes} => {class=good}" 0.0288888888888889 1 0.0288888888888889 1.42857142857143 26 4 1 14 1
"5440" "{checking_status=no checking,credit_history=existing paid,purpose=used car} => {class=good}" 0.0277777777777778 1 0.0277777777777778 1.42857142857143 25 3 1 1 1
"10951" "{purpose=radio/tv,employment=>=7,own_telephone=yes} => {class=good}" 0.0277777777777778 1 0.0277777777777778 1.42857142857143 25 3 1 24 1
"47326" "{checking_status=no checking,duration=(15.5; Inf],employment=4<=X<7,property_magnitude=car} => {class=good}" 0.0277777777777778 1 0.0277777777777778 1.42857142857143 25 4 1 6 1
"5560" "{purpose=used car,credit_amount=[-Inf;3913.5],housing=own} => {class=good}" 0.0266666666666667 1 0.0266666666666667 1.42857142857143 24 3 1 8 1
"17397" "{savings_status=>=1000,other_payment_plans=none,job=skilled,num_dependents=1} => {class=good}" 0.0266666666666667 1 0.0266666666666667 1.42857142857143 24 4 1 1 1
"47029" "{checking_status=no checking,credit_history=critical/other existing credit,employment=4<=X<7,other_payment_plans=none} => {class=good}" 0.0266666666666667 1 0.0266666666666667 1.42857142857143 24 4 1 8 1
"17425" "{credit_amount=[-Inf;3913.5],savings_status=>=1000,other_payment_plans=none,housing=own} => {class=good}" 0.0255555555555556 1 0.0255555555555556 1.42857142857143 23 4 1 1 1
"20544" "{credit_amount=[-Inf;3913.5],savings_status=<100,other_parties=guarantor,other_payment_plans=none} => {class=good}" 0.0255555555555556 1 0.0255555555555556 1.42857142857143 23 4 1 22 1
"5190" "{purpose=used car,personal_status=male single,job=high qualif/self emp/mgmt} => {class=good}" 0.0244444444444444 1 0.0244444444444444 1.42857142857143 22 3 1 8 1
"5518" "{duration=(15.5; Inf],purpose=used car,credit_amount=[-Inf;3913.5]} => {class=good}" 0.0244444444444444 1 0.0244444444444444 1.42857142857143 22 3 1 5 1
"7905" "{duration=[-Inf;15.5],employment=4<=X<7,personal_status=female div/dep/mar} => {class=good}" 0.0244444444444444 1 0.0244444444444444 1.42857142857143 22 3 1 10 1
"10972" "{checking_status=no checking,employment=>=7,property_magnitude=real estate} => {class=good}" 0.0244444444444444 1 0.0244444444444444 1.42857142857143 22 3 1 12 1
"47680" "{duration=(15.5; Inf],credit_amount=[-Inf;3913.5],employment=4<=X<7,own_telephone=yes} => {class=good}" 0.0244444444444444 1 0.0244444444444444 1.42857142857143 22 4 1 1 1
"47346" "{credit_amount=[-Inf;3913.5],employment=4<=X<7,property_magnitude=car,own_telephone=yes} => {class=good}" 0.0233333333333333 1 0.0233333333333333 1.42857142857143 21 4 1 1 1
"169" "{savings_status=>=1000,property_magnitude=real estate} => {class=good}" 0.0211111111111111 1 0.0211111111111111 1.42857142857143 19 2 1 3 1
"2169" "{credit_history=existing paid,credit_amount=[-Inf;3913.5],savings_status=>=1000} => {class=good}" 0.0211111111111111 1 0.0211111111111111 1.42857142857143 19 3 1 1 1
"2911" "{duration=[-Inf;15.5],savings_status=<100,other_parties=guarantor} => {class=good}" 0.0211111111111111 1 0.0211111111111111 1.42857142857143 19 3 1 4 1
"93" "{personal_status=male single,foreign_worker=no} => {class=good}" 0.02 1 0.02 1.42857142857143 18 2 1 16 1
"2846" "{duration=[-Inf;15.5],other_parties=guarantor,property_magnitude=real estate} => {class=good}" 0.02 1 0.02 1.42857142857143 18 3 1 2 1
"22409" "{checking_status=no checking,savings_status=500<=X<1000,personal_status=male single,other_payment_plans=none} => {class=good}" 0.02 1 0.02 1.42857142857143 18 4 1 8 1
