"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"5512" "{checking_status=no checking,purpose=used car,other_payment_plans=none} => {class=good}" 0.0466666666666667 1 0.0466666666666667 1.42857142857143 42 3 1 42 1
"542" "{purpose=used car,credit_amount=[-Inf;3913.5]} => {class=good}" 0.0444444444444444 1 0.0444444444444444 1.42857142857143 40 2 1 17 1
"5506" "{checking_status=no checking,purpose=used car,personal_status=male single} => {class=good}" 0.0388888888888889 1 0.0388888888888889 1.42857142857143 35 3 1 2 1
"34075" "{duration=[-Inf;34.5],purpose=used car,other_payment_plans=none,housing=own} => {class=good}" 0.0355555555555556 1 0.0355555555555556 1.42857142857143 32 4 1 2 1
"33846" "{duration=[-Inf;34.5],purpose=used car,personal_status=male single,num_dependents=1} => {class=good}" 0.0344444444444444 1 0.0344444444444444 1.42857142857143 31 4 1 2 1
"8763" "{checking_status=no checking,employment=4<=X<7,own_telephone=yes} => {class=good}" 0.0322222222222222 1 0.0322222222222222 1.42857142857143 29 3 1 22 1
"1777" "{credit_amount=[-Inf;3913.5],other_payment_plans=none,foreign_worker=no} => {class=good}" 0.0311111111111111 1 0.0311111111111111 1.42857142857143 28 3 1 27 1
"17105" "{credit_amount=[-Inf;3913.5],savings_status=>=1000,other_payment_plans=none,num_dependents=1} => {class=good}" 0.0288888888888889 1 0.0288888888888889 1.42857142857143 26 4 1 21 1
"2558" "{duration=[-Inf;34.5],other_parties=guarantor,property_magnitude=real estate} => {class=good}" 0.0277777777777778 1 0.0277777777777778 1.42857142857143 25 3 1 20 1
"9164" "{checking_status=no checking,purpose=furniture/equipment,personal_status=male single} => {class=good}" 0.0277777777777778 1 0.0277777777777778 1.42857142857143 25 3 1 24 1
"1768" "{credit_amount=[-Inf;3913.5],housing=own,foreign_worker=no} => {class=good}" 0.0255555555555556 1 0.0255555555555556 1.42857142857143 23 3 1 1 1
"1780" "{credit_amount=[-Inf;3913.5],other_parties=none,foreign_worker=no} => {class=good}" 0.0255555555555556 1 0.0255555555555556 1.42857142857143 23 3 1 1 1
"5505" "{checking_status=no checking,credit_history=existing paid,purpose=used car} => {class=good}" 0.0255555555555556 1 0.0255555555555556 1.42857142857143 23 3 1 1 1
"11197" "{checking_status=no checking,employment=>=7,property_magnitude=real estate} => {class=good}" 0.0255555555555556 1 0.0255555555555556 1.42857142857143 23 3 1 16 1
"19425" "{duration=[-Inf;34.5],savings_status=<100,other_parties=guarantor,other_payment_plans=none} => {class=good}" 0.0255555555555556 1 0.0255555555555556 1.42857142857143 23 4 1 7 1
"19417" "{credit_amount=[-Inf;3913.5],savings_status=<100,other_parties=guarantor,other_payment_plans=none} => {class=good}" 0.0244444444444444 1 0.0244444444444444 1.42857142857143 22 4 1 1 1
"34013" "{duration=[-Inf;34.5],purpose=used car,housing=own,job=skilled} => {class=good}" 0.0244444444444444 1 0.0244444444444444 1.42857142857143 22 4 1 1 1
"5447" "{duration=[-Inf;34.5],credit_history=critical/other existing credit,purpose=used car} => {class=good}" 0.0233333333333333 1 0.0233333333333333 1.42857142857143 21 3 1 3 1
"17059" "{credit_amount=[-Inf;3913.5],savings_status=>=1000,other_payment_plans=none,housing=own} => {class=good}" 0.0233333333333333 1 0.0233333333333333 1.42857142857143 21 4 1 1 1
"5249" "{purpose=used car,personal_status=male single,job=high qualif/self emp/mgmt} => {class=good}" 0.0222222222222222 1 0.0222222222222222 1.42857142857143 20 3 1 3 1
"44370" "{credit_history=critical/other existing credit,property_magnitude=real estate,other_payment_plans=none,num_dependents=2} => {class=good}" 0.0222222222222222 1 0.0222222222222222 1.42857142857143 20 4 1 12 1
"8610" "{checking_status=no checking,credit_amount=(3913.5; Inf],employment=4<=X<7} => {class=good}" 0.0211111111111111 1 0.0211111111111111 1.42857142857143 19 3 1 4 1
"44855" "{checking_status=no checking,other_payment_plans=none,num_dependents=2,own_telephone=yes} => {class=good}" 0.0211111111111111 1 0.0211111111111111 1.42857142857143 19 4 1 10 1
"22922" "{checking_status=no checking,savings_status=500<=X<1000,personal_status=male single,other_payment_plans=none} => {class=good}" 0.02 1 0.02 1.42857142857143 18 4 1 6 1
"44504" "{checking_status=no checking,credit_history=critical/other existing credit,personal_status=male single,num_dependents=2} => {class=good}" 0.02 1 0.02 1.42857142857143 18 4 1 2 1
"153" "{savings_status=>=1000,property_magnitude=real estate} => {class=good}" 0.0188888888888889 1 0.0188888888888889 1.42857142857143 17 2 1 2 1
"22728" "{savings_status=500<=X<1000,property_magnitude=car,other_payment_plans=none,housing=own} => {class=good}" 0.0188888888888889 1 0.0188888888888889 1.42857142857143 17 4 1 7 1
"29291" "{checking_status=no checking,personal_status=male mar/wid,num_dependents=1,own_telephone=none} => {class=good}" 0.0188888888888889 1 0.0188888888888889 1.42857142857143 17 4 1 11 1
"42242" "{checking_status=no checking,credit_history=existing paid,property_magnitude=no known property,other_payment_plans=none} => {class=good}" 0.0188888888888889 1 0.0188888888888889 1.42857142857143 17 4 1 9 1
"42243" "{checking_status=no checking,duration=[-Inf;34.5],credit_history=existing paid,property_magnitude=no known property} => {class=good}" 0.0188888888888889 1 0.0188888888888889 1.42857142857143 17 4 1 1 1
"8158" "{checking_status=no checking,duration=(34.5; Inf],employment=>=7} => {class=good}" 0.0177777777777778 1 0.0177777777777778 1.42857142857143 16 3 1 7 1
"43074" "{employment=4<=X<7,other_payment_plans=none,housing=own,num_dependents=2} => {class=good}" 0.0177777777777778 1 0.0177777777777778 1.42857142857143 16 4 1 7 1
"44367" "{credit_history=critical/other existing credit,savings_status=<100,property_magnitude=real estate,num_dependents=2} => {class=good}" 0.0177777777777778 1 0.0177777777777778 1.42857142857143 16 4 1 1 1
"44397" "{checking_status=no checking,property_magnitude=real estate,other_payment_plans=none,num_dependents=2} => {class=good}" 0.0177777777777778 1 0.0177777777777778 1.42857142857143 16 4 1 3 1
"44852" "{checking_status=no checking,job=skilled,num_dependents=2,own_telephone=yes} => {class=good}" 0.0177777777777778 1 0.0177777777777778 1.42857142857143 16 4 1 1 1
"1760" "{other_payment_plans=none,job=skilled,foreign_worker=no} => {class=good}" 0.0166666666666667 1 0.0166666666666667 1.42857142857143 15 3 1 1 1
"2053" "{credit_amount=[-Inf;3913.5],savings_status=>=1000,own_telephone=yes} => {class=good}" 0.0166666666666667 1 0.0166666666666667 1.42857142857143 15 3 1 1 1
"2065" "{credit_history=existing paid,credit_amount=[-Inf;3913.5],savings_status=>=1000} => {class=good}" 0.0166666666666667 1 0.0166666666666667 1.42857142857143 15 3 1 1 1
"29278" "{checking_status=no checking,credit_history=existing paid,personal_status=male mar/wid,num_dependents=1} => {class=good}" 0.0166666666666667 1 0.0166666666666667 1.42857142857143 15 4 1 5 1
"43513" "{credit_history=critical/other existing credit,purpose=new car,other_payment_plans=none,num_dependents=2} => {class=good}" 0.0166666666666667 1 0.0166666666666667 1.42857142857143 15 4 1 1 1
"44254" "{checking_status=no checking,purpose=radio/tv,personal_status=male single,num_dependents=2} => {class=good}" 0.0166666666666667 1 0.0166666666666667 1.42857142857143 15 4 1 3 1
"44731" "{checking_status=no checking,employment=1<=X<4,other_payment_plans=none,num_dependents=2} => {class=good}" 0.0166666666666667 1 0.0166666666666667 1.42857142857143 15 4 1 1 1
"44971" "{credit_history=existing paid,credit_amount=[-Inf;3913.5],num_dependents=2,own_telephone=yes} => {class=good}" 0.0166666666666667 1 0.0166666666666667 1.42857142857143 15 4 1 4 1
"3351" "{savings_status=500<=X<1000,employment=>=7,other_payment_plans=none} => {class=good}" 0.0155555555555556 1 0.0155555555555556 1.42857142857143 14 3 1 2 1
