"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"5781" "{sex=1,chest=(3.5; Inf],fasting_blood_sugar=0,number_of_major_vessels=(0.5; Inf]} => {class=present}" 0.172839506172839 1 0.172839506172839 2.25 42 4 1 42 1
"915" "{sex=0,chest=[-Inf;3.5],fasting_blood_sugar=0} => {class=absent}" 0.160493827160494 1 0.160493827160494 1.8 39 3 1 39 1
"678" "{chest=(3.5; Inf],exercise_induced_angina=1,number_of_major_vessels=(0.5; Inf]} => {class=present}" 0.152263374485597 1 0.152263374485597 2.25 37 3 1 8 1
"5640" "{chest=(3.5; Inf],fasting_blood_sugar=0,number_of_major_vessels=(0.5; Inf],thal=(4.5; Inf]} => {class=present}" 0.1440329218107 1 0.1440329218107 2.25 35 4 1 4 1
"5744" "{age=(54.5; Inf],sex=1,chest=(3.5; Inf],number_of_major_vessels=(0.5; Inf]} => {class=present}" 0.1440329218107 1 0.1440329218107 2.25 35 4 1 1 1
"881" "{age=[-Inf;54.5],sex=0,thal=[-Inf;4.5]} => {class=absent}" 0.139917695473251 1 0.139917695473251 1.8 34 3 1 10 1
"911" "{sex=0,chest=[-Inf;3.5],number_of_major_vessels=[-Inf;0.5]} => {class=absent}" 0.139917695473251 1 0.139917695473251 1.8 34 3 1 2 1
"682" "{exercise_induced_angina=1,slope=(1.5; Inf],number_of_major_vessels=(0.5; Inf]} => {class=present}" 0.127572016460905 1 0.127572016460905 2.25 31 3 1 3 1
"3071" "{chest=(3.5; Inf],oldpeak=(1.7; Inf],slope=(1.5; Inf],thal=(4.5; Inf]} => {class=present}" 0.11522633744856 1 0.11522633744856 2.25 28 4 1 8 1
"469" "{exercise_induced_angina=1,oldpeak=(1.7; Inf],thal=(4.5; Inf]} => {class=present}" 0.106995884773663 1 0.106995884773663 2.25 26 3 1 2 1
"2714" "{chest=(3.5; Inf],maximum_heart_rate_achieved=[-Inf;147.5],exercise_induced_angina=1,oldpeak=(1.7; Inf]} => {class=present}" 0.102880658436214 1 0.102880658436214 2.25 25 4 1 1 1
"7322" "{age=[-Inf;54.5],maximum_heart_rate_achieved=(147.5; Inf],slope=(1.5; Inf],thal=[-Inf;4.5]} => {class=absent}" 0.0781893004115226 1 0.0781893004115226 1.8 19 4 1 8 1
"4867" "{sex=0,exercise_induced_angina=0,slope=(1.5; Inf],number_of_major_vessels=[-Inf;0.5]} => {class=absent}" 0.0740740740740741 1 0.0740740740740741 1.8 18 4 1 3 1
