"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"587" "{SPIDERS=no,ALBUMIN=(3.88373015873; Inf]} => {Class=LIVE}" 0.438848920863309 1 0.438848920863309 1.26363636363636 61 2 1 61 1
"40783" "{LIVER_FIRM=no,SPLEEN_PALPABLE=no,SPIDERS=no,ASCITES=no} => {Class=LIVE}" 0.39568345323741 1 0.39568345323741 1.26363636363636 55 4 1 11 1
"6301" "{MALAISE=no,LIVER_FIRM=no,SPIDERS=no} => {Class=LIVE}" 0.352517985611511 1 0.352517985611511 1.26363636363636 49 3 1 1 1
"6062" "{LIVER_FIRM=no,SPIDERS=no,HISTOLOGY=no} => {Class=LIVE}" 0.338129496402878 1 0.338129496402878 1.26363636363636 47 3 1 2 1
"5970" "{STEROID=yes,SPIDERS=no,ASCITES=no} => {Class=LIVE}" 0.330935251798561 1 0.330935251798561 1.26363636363636 46 3 1 1 1
"39746" "{LIVER_BIG=yes,SPIDERS=no,BILIRUBIN=[-Inf;1.35],HISTOLOGY=no} => {Class=LIVE}" 0.330935251798561 1 0.330935251798561 1.26363636363636 46 4 1 1 1
"5115" "{FATIGUE=no,VARICES=no,ALBUMIN=(3.88373015873; Inf]} => {Class=LIVE}" 0.258992805755396 1 0.258992805755396 1.26363636363636 36 3 1 2 1
"458" "{FATIGUE=no,HISTOLOGY=no} => {Class=LIVE}" 0.23021582733813 1 0.23021582733813 1.26363636363636 32 2 1 2 1
"5608" "{BILIRUBIN=[-Inf;1.35],ALBUMIN=(3.88373015873; Inf],HISTOLOGY=yes} => {Class=LIVE}" 0.158273381294964 1 0.158273381294964 1.26363636363636 22 3 1 5 1
"5759" "{STEROID=no,BILIRUBIN=[-Inf;1.35],ALBUMIN=(3.88373015873; Inf]} => {Class=LIVE}" 0.158273381294964 1 0.158273381294964 1.26363636363636 22 3 1 1 1
"5762" "{STEROID=no,ANOREXIA=no,ALBUMIN=(3.88373015873; Inf]} => {Class=LIVE}" 0.143884892086331 1 0.143884892086331 1.26363636363636 20 3 1 1 1
"4903" "{LIVER_FIRM=yes,BILIRUBIN=[-Inf;1.35],ALBUMIN=(3.88373015873; Inf]} => {Class=LIVE}" 0.136690647482014 1 0.136690647482014 1.26363636363636 19 3 1 2 1
"5760" "{STEROID=no,LIVER_BIG=yes,ALBUMIN=(3.88373015873; Inf]} => {Class=LIVE}" 0.136690647482014 1 0.136690647482014 1.26363636363636 19 3 1 1 1
"6405" "{FATIGUE=yes,MALAISE=no,SPIDERS=no} => {Class=LIVE}" 0.136690647482014 1 0.136690647482014 1.26363636363636 19 3 1 1 1
"33121" "{FATIGUE=yes,LIVER_FIRM=yes,ASCITES=no,BILIRUBIN=[-Inf;1.35]} => {Class=LIVE}" 0.129496402877698 1 0.129496402877698 1.26363636363636 18 4 1 4 1
"33122" "{FATIGUE=yes,LIVER_FIRM=yes,VARICES=no,BILIRUBIN=[-Inf;1.35]} => {Class=LIVE}" 0.129496402877698 1 0.129496402877698 1.26363636363636 18 4 1 1 1
"37742" "{STEROID=no,ANOREXIA=no,LIVER_FIRM=no,HISTOLOGY=no} => {Class=LIVE}" 0.122302158273381 1 0.122302158273381 1.26363636363636 17 4 1 1 1
"5287" "{MALAISE=yes,BILIRUBIN=[-Inf;1.35],ALBUMIN=(3.88373015873; Inf]} => {Class=LIVE}" 0.115107913669065 1 0.115107913669065 1.26363636363636 16 3 1 1 1
"5738" "{STEROID=no,ALBUMIN=(3.88373015873; Inf],HISTOLOGY=no} => {Class=LIVE}" 0.115107913669065 1 0.115107913669065 1.26363636363636 16 3 1 1 1
"37026" "{STEROID=yes,ASCITES=no,VARICES=no,HISTOLOGY=yes} => {Class=LIVE}" 0.115107913669065 1 0.115107913669065 1.26363636363636 16 4 1 1 1
"3076" "{ANTIVIRALS=yes,SPIDERS=no,BILIRUBIN=[-Inf;1.35]} => {Class=LIVE}" 0.107913669064748 1 0.107913669064748 1.26363636363636 15 3 1 1 1
"32746" "{STEROID=yes,LIVER_FIRM=yes,SPLEEN_PALPABLE=no,ASCITES=no} => {Class=LIVE}" 0.0863309352517986 1 0.0863309352517986 1.26363636363636 12 4 1 1 1
"4299" "{ANOREXIA=yes,VARICES=no,BILIRUBIN=[-Inf;1.35]} => {Class=LIVE}" 0.079136690647482 1 0.079136690647482 1.26363636363636 11 3 1 1 1
"5260" "{STEROID=yes,MALAISE=yes,ASCITES=no} => {Class=LIVE}" 0.079136690647482 1 0.079136690647482 1.26363636363636 11 3 1 1 1
"3309" "{ANOREXIA=no,LIVER_BIG=no,HISTOLOGY=yes} => {Class=LIVE}" 0.0575539568345324 1 0.0575539568345324 1.26363636363636 8 3 1 2 1
"2570" "{ASCITES=yes,BILIRUBIN=(1.35; Inf],HISTOLOGY=yes} => {Class=DIE}" 0.0503597122302158 1 0.0503597122302158 4.79310344827586 7 3 1 7 1
"2566" "{SPIDERS=yes,ASCITES=yes,BILIRUBIN=(1.35; Inf]} => {Class=DIE}" 0.0431654676258993 1 0.0431654676258993 4.79310344827586 6 3 1 1 1
"3285" "{LIVER_BIG=no,ALBUMIN=[-Inf;3.88373015873],HISTOLOGY=yes} => {Class=LIVE}" 0.0431654676258993 1 0.0431654676258993 1.26363636363636 6 3 1 1 1
