"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"669" "{SPIDERS=no,ALBUMIN=(3.8528; Inf]} => {Class=LIVE}" 0.378571428571429 1 0.378571428571429 1.26126126126126 53 2 1 53 1
"49047" "{LIVER_FIRM=no,SPLEEN_PALPABLE=no,SPIDERS=no,ASCITES=no} => {Class=LIVE}" 0.357142857142857 1 0.357142857142857 1.26126126126126 50 4 1 13 1
"49049" "{LIVER_FIRM=no,SPLEEN_PALPABLE=no,SPIDERS=no,PROTIME=(44.5; Inf]} => {Class=LIVE}" 0.357142857142857 1 0.357142857142857 1.26126126126126 50 4 1 2 1
"49513" "{LIVER_BIG=yes,SPIDERS=no,PROTIME=(44.5; Inf],HISTOLOGY=no} => {Class=LIVE}" 0.35 1 0.35 1.26126126126126 49 4 1 4 1
"49073" "{ANOREXIA=no,LIVER_FIRM=no,SPIDERS=no,PROTIME=(44.5; Inf]} => {Class=LIVE}" 0.342857142857143 1 0.342857142857143 1.26126126126126 48 4 1 1 1
"7572" "{MALAISE=no,SPIDERS=no,HISTOLOGY=no} => {Class=LIVE}" 0.314285714285714 1 0.314285714285714 1.26126126126126 44 3 1 2 1
"7231" "{STEROID=yes,SPIDERS=no,ASCITES=no} => {Class=LIVE}" 0.307142857142857 1 0.307142857142857 1.26126126126126 43 3 1 2 1
"6112" "{FATIGUE=no,VARICES=no,ALBUMIN=(3.8528; Inf]} => {Class=LIVE}" 0.25 1 0.25 1.26126126126126 35 3 1 2 1
"534" "{FATIGUE=no,HISTOLOGY=no} => {Class=LIVE}" 0.235714285714286 1 0.235714285714286 1.26126126126126 33 2 1 2 1
"18" "{AGE=[-Inf;30.5]} => {Class=LIVE}" 0.221428571428571 1 0.221428571428571 1.26126126126126 31 1 1 7 1
"7015" "{STEROID=no,BILIRUBIN=[-Inf;1.35],ALBUMIN=(3.8528; Inf]} => {Class=LIVE}" 0.157142857142857 1 0.157142857142857 1.26126126126126 22 3 1 3 1
"6879" "{BILIRUBIN=[-Inf;1.35],ALBUMIN=(3.8528; Inf],HISTOLOGY=yes} => {Class=LIVE}" 0.15 1 0.15 1.26126126126126 21 3 1 1 1
"7019" "{STEROID=no,ANOREXIA=no,ALBUMIN=(3.8528; Inf]} => {Class=LIVE}" 0.15 1 0.15 1.26126126126126 21 3 1 1 1
"46743" "{STEROID=no,ANOREXIA=no,LIVER_FIRM=no,PROTIME=(44.5; Inf]} => {Class=LIVE}" 0.15 1 0.15 1.26126126126126 21 4 1 1 1
"6333" "{LIVER_FIRM=yes,BILIRUBIN=[-Inf;1.35],ALBUMIN=(3.8528; Inf]} => {Class=LIVE}" 0.142857142857143 1 0.142857142857143 1.26126126126126 20 3 1 1 1
"43064" "{FATIGUE=yes,LIVER_FIRM=yes,ASCITES=no,BILIRUBIN=[-Inf;1.35]} => {Class=LIVE}" 0.135714285714286 1 0.135714285714286 1.26126126126126 19 4 1 3 1
"43065" "{FATIGUE=yes,LIVER_FIRM=yes,VARICES=no,BILIRUBIN=[-Inf;1.35]} => {Class=LIVE}" 0.135714285714286 1 0.135714285714286 1.26126126126126 19 4 1 1 1
"323" "{ANTIVIRALS=yes,BILIRUBIN=[-Inf;1.35]} => {Class=LIVE}" 0.121428571428571 1 0.121428571428571 1.26126126126126 17 2 1 2 1
"7017" "{STEROID=no,LIVER_BIG=yes,ALBUMIN=(3.8528; Inf]} => {Class=LIVE}" 0.121428571428571 1 0.121428571428571 1.26126126126126 17 3 1 1 1
"45823" "{STEROID=yes,ASCITES=no,VARICES=no,HISTOLOGY=yes} => {Class=LIVE}" 0.121428571428571 1 0.121428571428571 1.26126126126126 17 4 1 1 1
"10" "{SEX=male} => {Class=LIVE}" 0.114285714285714 1 0.114285714285714 1.26126126126126 16 1 1 1 1
"6525" "{MALAISE=yes,BILIRUBIN=[-Inf;1.35],ALBUMIN=(3.8528; Inf]} => {Class=LIVE}" 0.107142857142857 1 0.107142857142857 1.26126126126126 15 3 1 1 1
"44966" "{LIVER_FIRM=no,SPLEEN_PALPABLE=no,ASCITES=no,ALBUMIN=(2.65;3.8528]} => {Class=LIVE}" 0.1 1 0.1 1.26126126126126 14 4 1 1 1
"42614" "{STEROID=yes,LIVER_FIRM=yes,SPLEEN_PALPABLE=no,ASCITES=no} => {Class=LIVE}" 0.0928571428571429 1 0.0928571428571429 1.26126126126126 13 4 1 1 1
"4262" "{STEROID=no,ANOREXIA=no,LIVER_BIG=no} => {Class=LIVE}" 0.0857142857142857 1 0.0857142857142857 1.26126126126126 12 3 1 2 1
"25427" "{SEX=female,FATIGUE=yes,ANOREXIA=no,PROTIME=[-Inf;44.5]} => {Class=DIE}" 0.0785714285714286 1 0.0785714285714286 4.82758620689655 11 4 1 11 1
"24812" "{AGE=(30.5; Inf],MALAISE=yes,PROTIME=[-Inf;44.5],HISTOLOGY=yes} => {Class=DIE}" 0.0642857142857143 1 0.0642857142857143 4.82758620689655 9 4 1 1 1
"3049" "{ASCITES=yes,BILIRUBIN=(1.35; Inf],HISTOLOGY=yes} => {Class=DIE}" 0.0571428571428571 1 0.0571428571428571 4.82758620689655 8 3 1 4 1
"4220" "{STEROID=no,LIVER_BIG=no,ALBUMIN=(2.65;3.8528]} => {Class=LIVE}" 0.0571428571428571 1 0.0571428571428571 1.26126126126126 8 3 1 1 1
"6" "{ALBUMIN=[-Inf;2.65]} => {Class=DIE}" 0.05 1 0.05 4.82758620689655 7 1 1 2 1
"20438" "{AGE=(30.5; Inf],SPLEEN_PALPABLE=no,SPIDERS=yes,ASCITES=yes} => {Class=DIE}" 0.05 1 0.05 4.82758620689655 7 4 1 1 1
"1704" "{STEROID=no,FATIGUE=yes,LIVER_BIG=} => {Class=DIE}" 0.0357142857142857 1 0.0357142857142857 4.82758620689655 5 3 1 2 1
"30275" "{LIVER_FIRM=no,SPIDERS=yes,VARICES=no,BILIRUBIN=(1.35; Inf]} => {Class=DIE}" 0.0357142857142857 1 0.0357142857142857 4.82758620689655 5 4 1 1 1
"57" "{SPLEEN_PALPABLE=,HISTOLOGY=no} => {Class=LIVE}" 0.0285714285714286 1 0.0285714285714286 1.26126126126126 4 2 1 1 1
"18370" "{STEROID=no,LIVER_BIG=yes,VARICES=yes,ALBUMIN=(2.65;3.8528]} => {Class=DIE}" 0.0285714285714286 1 0.0285714285714286 4.82758620689655 4 4 1 1 1
"18476" "{SEX=female,LIVER_FIRM=no,VARICES=yes,HISTOLOGY=yes} => {Class=DIE}" 0.0285714285714286 1 0.0285714285714286 4.82758620689655 4 4 1 1 1
"29503" "{STEROID=yes,LIVER_FIRM=yes,SPLEEN_PALPABLE=yes,BILIRUBIN=(1.35; Inf]} => {Class=DIE}" 0.0214285714285714 1 0.0214285714285714 4.82758620689655 3 4 1 2 1
"30921" "{STEROID=yes,MALAISE=no,LIVER_FIRM=no,SPIDERS=yes} => {Class=DIE}" 0.0214285714285714 1 0.0214285714285714 4.82758620689655 3 4 1 1 1
"30264" "{SPLEEN_PALPABLE=no,SPIDERS=yes,BILIRUBIN=(1.35; Inf],ALBUMIN=(3.8528; Inf]} => {Class=DIE}" 0.0142857142857143 1 0.0142857142857143 4.82758620689655 2 4 1 1 1
"31289" "{STEROID=no,LIVER_BIG=yes,ALBUMIN=(2.65;3.8528],HISTOLOGY=yes} => {Class=DIE}" 0.0642857142857143 0.642857142857143 0.1 3.10344827586207 9 4 1 1 NA
"0" "{} => {Class=DIE}" 0.207142857142857 0.207142857142857 1 1 29 0 NA NA 1
