"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"628" "{SPIDERS=no,ALBUMIN=(3.8508; Inf]} => {Class=LIVE}" 0.407142857142857 1 0.407142857142857 1.26126126126126 57 2 1 57 1
"44395" "{LIVER_FIRM=no,SPLEEN_PALPABLE=no,SPIDERS=no,PROTIME=(44.5; Inf]} => {Class=LIVE}" 0.378571428571429 1 0.378571428571429 1.26126126126126 53 4 1 15 1
"44859" "{LIVER_BIG=yes,SPIDERS=no,PROTIME=(44.5; Inf],HISTOLOGY=no} => {Class=LIVE}" 0.378571428571429 1 0.378571428571429 1.26126126126126 53 4 1 4 1
"44411" "{ANOREXIA=no,LIVER_FIRM=no,SPIDERS=no,ASCITES=no} => {Class=LIVE}" 0.364285714285714 1 0.364285714285714 1.26126126126126 51 4 1 1 1
"6952" "{MALAISE=no,SPIDERS=no,HISTOLOGY=no} => {Class=LIVE}" 0.321428571428571 1 0.321428571428571 1.26126126126126 45 3 1 2 1
"6622" "{STEROID=yes,SPIDERS=no,ASCITES=no} => {Class=LIVE}" 0.314285714285714 1 0.314285714285714 1.26126126126126 44 3 1 2 1
"5491" "{FATIGUE=no,VARICES=no,ALBUMIN=(3.8508; Inf]} => {Class=LIVE}" 0.242857142857143 1 0.242857142857143 1.26126126126126 34 3 1 2 1
"492" "{FATIGUE=no,HISTOLOGY=no} => {Class=LIVE}" 0.228571428571429 1 0.228571428571429 1.26126126126126 32 2 1 1 1
"588" "{STEROID=no,ALBUMIN=(3.8508; Inf]} => {Class=LIVE}" 0.192857142857143 1 0.192857142857143 1.26126126126126 27 2 1 6 1
"512" "{LIVER_FIRM=yes,ALBUMIN=(3.8508; Inf]} => {Class=LIVE}" 0.171428571428571 1 0.171428571428571 1.26126126126126 24 2 1 3 1
"42016" "{STEROID=no,ANOREXIA=no,LIVER_FIRM=no,PROTIME=(44.5; Inf]} => {Class=LIVE}" 0.157142857142857 1 0.157142857142857 1.26126126126126 22 4 1 1 1
"45126" "{FATIGUE=yes,MALAISE=no,SPIDERS=no,ASCITES=no} => {Class=LIVE}" 0.157142857142857 1 0.157142857142857 1.26126126126126 22 4 1 1 1
"374" "{ANTIVIRALS=yes,PROTIME=(44.5; Inf]} => {Class=LIVE}" 0.15 1 0.15 1.26126126126126 21 2 1 4 1
"38258" "{FATIGUE=yes,LIVER_FIRM=yes,ASCITES=no,BILIRUBIN=[-Inf;1.35]} => {Class=LIVE}" 0.15 1 0.15 1.26126126126126 21 4 1 2 1
"38260" "{FATIGUE=yes,LIVER_FIRM=yes,VARICES=no,BILIRUBIN=[-Inf;1.35]} => {Class=LIVE}" 0.15 1 0.15 1.26126126126126 21 4 1 1 1
