"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"14387" "{query hypothyroid=f,TSH=[-Inf;6.05],FTI=(85.5;134.5]} => {Class=negative}" 0.629935179728933 1 0.629935179728933 1.08330673475902 2138 3 1 2138 1
"1008" "{TSH=[-Inf;6.05],TT4=(89.5;148.5]} => {Class=negative}" 0.605480259281084 1 0.605480259281084 1.08330673475902 2055 2 1 417 1
"14350" "{TSH=[-Inf;6.05],FTI measured=t,FTI=(85.5;134.5]} => {Class=negative}" 0.570418385385975 1 0.570418385385975 1.08330673475902 1936 3 1 28 1
"13135" "{sex=M,query hypothyroid=f,TSH=[-Inf;6.05]} => {Class=negative}" 0.271655863288156 1 0.271655863288156 1.08330673475902 922 3 1 113 1
"13098" "{sex=M,TSH=[-Inf;6.05],FTI measured=t} => {Class=negative}" 0.26163818503241 1 0.26163818503241 1.08330673475902 888 3 1 5 1
"928" "{TSH=[-Inf;6.05],referral source=SVI} => {Class=negative}" 0.244254566882734 1 0.244254566882734 1.08330673475902 829 2 1 65 1
"900" "{TSH=[-Inf;6.05],T4U=(1.075; Inf]} => {Class=negative}" 0.202121390689452 1 0.202121390689452 1.08330673475902 686 2 1 96 1
"871" "{TSH=[-Inf;6.05],TT4=(53.5;89.5]} => {Class=negative}" 0.193282262816735 1 0.193282262816735 1.08330673475902 656 2 1 86 1
"841" "{TSH=[-Inf;6.05],T3 measured=f} => {Class=negative}" 0.190041249263406 1 0.190041249263406 1.08330673475902 645 2 1 32 1
"810" "{TSH=[-Inf;6.05],FTI=(134.5; Inf]} => {Class=negative}" 0.142309958750737 1 0.142309958750737 1.08330673475902 483 2 1 80 1
"812" "{query hypothyroid=f,FTI=(134.5; Inf]} => {Class=negative}" 0.135827931644078 1 0.135827931644078 1.08330673475902 461 2 1 3 1
"23" "{TT4=(148.5; Inf]} => {Class=negative}" 0.098408956982911 1 0.098408956982911 1.08330673475902 334 1 1 9 1
"10572" "{on thyroxine=t,T3=(1.05; Inf],T4U=[-Inf;1.075]} => {Class=negative}" 0.0827931644077784 1 0.0827931644077784 1.08330673475902 281 3 1 27 1
"771" "{on thyroxine=t,TT4=(89.5;148.5]} => {Class=negative}" 0.0748379493223335 1 0.0748379493223335 1.08330673475902 254 2 1 17 1
"773" "{on thyroxine=t,FTI=(85.5;134.5]} => {Class=negative}" 0.070123747790218 1 0.070123747790218 1.08330673475902 238 2 1 1 1
"10452" "{sex=M,on thyroxine=t,T3=(1.05; Inf]} => {Class=negative}" 0.021508544490277 1 0.021508544490277 1.08330673475902 73 3 1 1 1
"49900" "{on thyroxine=f,thyroid surgery=f,TSH=(6.05;19.5],FTI=(64.5;85.5]} => {Class=compensated_hypothyroid}" 0.0144372421921037 1 0.0144372421921037 19.5057471264368 49 4 1 49 1
"7199" "{on thyroxine=t,query hypothyroid=t,T3=(1.05; Inf]} => {Class=negative}" 0.0138479670005893 1 0.0138479670005893 1.08330673475902 47 3 1 1 1
"10396" "{on thyroxine=t,TT4=(53.5;89.5],T4U=[-Inf;1.075]} => {Class=negative}" 0.0123747790218032 1 0.0123747790218032 1.08330673475902 42 3 1 1 1
"10690" "{on thyroxine=t,I131 treatment=f,T3=(1.05; Inf]} => {Class=negative}" 0.113140836770772 0.992248062015504 0.114024749558044 1.07490900813298 384 3 0.25 1 0.99905452253388
"40017" "{sex=,T3=(1.05; Inf],T4U measured=t,referral source=other} => {Class=negative}" 0.018856806128462 0.984615384615385 0.0191514437242192 1.06664047730119 64 4 0.5 1 0.998740157480315
"4" "{thyroid surgery=t} => {Class=negative}" 0.0132586918090748 0.978260869565217 0.0135533294048321 1.05975658835121 45 1 0.888888888888889 8 0.998429648241206
"13099" "{sex=M,T3=(1.05; Inf],FTI measured=t} => {Class=negative}" 0.246022392457278 0.968677494199536 0.253977607542722 1.04937485327585 835 3 0.0476190476190476 1 0.992199687987519
"11379" "{T3 measured=f,T4U=[-Inf;1.075],referral source=other} => {Class=negative}" 0.146434885091338 0.96504854368932 0.151738361814968 1.04544358674802 497 3 0.0769230769230769 1 0.988502175264139
"5996" "{on thyroxine=f,TSH=(6.05;19.5],TT4=(89.5;148.5]} => {Class=compensated_hypothyroid}" 0.0226870948733058 0.950617283950617 0.0238656452563347 18.5425003547609 77 3 0.981818181818182 54 0.988389856400856
"0" "{} => {Class=primary_hypothyroid}" 0.0250441956393636 0.0250441956393636 1 1 85 0 0.619834710743802 75 0.975250441956394
