"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"1005" "{TSH=[-Inf;6.05],TT4=(89.5;148.5]} => {Class=negative}" 0.602473498233215 1 0.602473498233215 1.08394510054261 2046 2 1 2046 1
"12986" "{query hypothyroid=f,TSH=[-Inf;6.05],FTI=(85.5;114.5]} => {Class=negative}" 0.46113074204947 1 0.46113074204947 1.08394510054261 1566 3 1 433 1
"12965" "{TSH=[-Inf;6.05],FTI measured=t,FTI=(85.5;114.5]} => {Class=negative}" 0.391342756183746 1 0.391342756183746 1.08394510054261 1329 3 1 20 1
"927" "{TSH=[-Inf;6.05],FTI=(114.5; Inf]} => {Class=negative}" 0.325971731448763 1 0.325971731448763 1.08394510054261 1107 2 1 319 1
"12284" "{sex=M,query hypothyroid=f,TSH=[-Inf;6.05]} => {Class=negative}" 0.275618374558304 1 0.275618374558304 1.08394510054261 936 3 1 87 1
"12263" "{sex=M,TSH=[-Inf;6.05],FTI measured=t} => {Class=negative}" 0.266195524146054 1 0.266195524146054 1.08394510054261 904 3 1 4 1
"872" "{TSH=[-Inf;6.05],referral source=SVI} => {Class=negative}" 0.249705535924617 1 0.249705535924617 1.08394510054261 848 2 1 42 1
"843" "{TSH=[-Inf;6.05],T3 measured=f} => {Class=negative}" 0.185806831566549 1 0.185806831566549 1.08394510054261 631 2 1 21 1
"813" "{TSH=[-Inf;6.05],TT4=(72.5;89.5]} => {Class=negative}" 0.148998822143698 1 0.148998822143698 1.08394510054261 506 2 1 59 1
"782" "{on thyroxine=t,TSH=[-Inf;6.05]} => {Class=negative}" 0.106301531213192 1 0.106301531213192 1.08394510054261 361 2 1 1 1
"751" "{TSH=[-Inf;6.05],referral source=SVHC} => {Class=negative}" 0.101295641931684 1 0.101295641931684 1.08394510054261 344 2 1 6 1
"24" "{TT4=(148.5; Inf]} => {Class=negative}" 0.0977620730270907 1 0.0977620730270907 1.08394510054261 332 1 1 12 1
"23" "{TSH measured=f} => {Class=negative}" 0.0948174322732627 1 0.0948174322732627 1.08394510054261 322 1 1 1 1
"721" "{TSH=[-Inf;6.05],FTI=(64.5;85.5]} => {Class=negative}" 0.0815665488810365 1 0.0815665488810365 1.08394510054261 277 2 1 17 1
"777" "{on thyroxine=t,TT4=(89.5;148.5]} => {Class=negative}" 0.073321554770318 1 0.073321554770318 1.08394510054261 249 2 1 33 1
"774" "{on thyroxine=t,FTI=(114.5; Inf]} => {Class=negative}" 0.0715547703180212 1 0.0715547703180212 1.08394510054261 243 2 1 1 1
"568" "{TSH=[-Inf;6.05],TT4=(53.5;72.5]} => {Class=negative}" 0.0477031802120141 1 0.0477031802120141 1.08394510054261 162 2 1 6 1
"10398" "{on thyroxine=t,I131 treatment=f,T3 measured=f} => {Class=negative}" 0.0444640753828033 1 0.0444640753828033 1.08394510054261 151 3 1 5 1
"775" "{on thyroxine=t,FTI=(85.5;114.5]} => {Class=negative}" 0.0424028268551237 1 0.0424028268551237 1.08394510054261 144 2 1 6 1
"47912" "{on thyroxine=f,thyroid surgery=f,TSH=(6.05;19.5],FTI=(64.5;85.5]} => {Class=compensated_hypothyroid}" 0.0138398115429918 1 0.0138398115429918 19.4057142857143 47 4 1 47 1
"771" "{on thyroxine=t,TT4=(72.5;89.5]} => {Class=negative}" 0.0117785630153121 1 0.0117785630153121 1.08394510054261 40 2 1 1 1
"1509" "{thyroid surgery=f,TSH=(41.5; Inf],FTI=[-Inf;40.5]} => {Class=primary_hypothyroid}" 0.0111896348645465 1 0.0111896348645465 39.4883720930233 38 3 1 38 1
"6831" "{on thyroxine=t,TSH=(6.05;19.5],T3=(0.85; Inf]} => {Class=negative}" 0.0111896348645465 1 0.0111896348645465 1.08394510054261 38 3 1 1 1
