"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"5228" "{a03=(0.741295;0.998505],a07=(0.029375;0.999995]} => {class=g}" 0.293375394321767 1 0.293375394321767 1.5615763546798 93 2 1 93 1
"5224" "{a03=(0.741295;0.998505],a05=(0.04144;0.995175]} => {class=g}" 0.280757097791798 1 0.280757097791798 1.5615763546798 89 2 1 4 1
"5225" "{a03=(0.741295;0.998505],a33=(0.0002;0.994855]} => {class=g}" 0.227129337539432 1 0.227129337539432 1.5615763546798 72 2 1 3 1
"5223" "{a03=(0.741295;0.998505],a31=(0.135195;0.99556]} => {class=g}" 0.220820189274448 1 0.220820189274448 1.5615763546798 70 2 1 1 1
"81" "{a05=[-Inf;0.04144]} => {class=b}" 0.192429022082019 1 0.192429022082019 2.78070175438596 61 1 1 61 1
"5208" "{a03=(0.741295;0.998505],a24=(-0.987455;-0.02301]} => {class=g}" 0.176656151419558 1 0.176656151419558 1.5615763546798 56 2 1 1 1
"5244" "{a24=(-0.987455;-0.02301],a27=(0.52812;0.99921]} => {class=g}" 0.170347003154574 1 0.170347003154574 1.5615763546798 54 2 1 22 1
"5252" "{a04=(0.007075;0.74685],a27=(0.52812;0.99921]} => {class=g}" 0.170347003154574 1 0.170347003154574 1.5615763546798 54 2 1 16 1
"73" "{a03=[-Inf;0.19028]} => {class=b}" 0.167192429022082 1 0.167192429022082 2.78070175438596 53 1 1 14 1
"4039" "{a06=(0.00101;0.953815],a10=(0.591395;0.9891]} => {class=g}" 0.141955835962145 1 0.141955835962145 1.5615763546798 45 2 1 5 1
"62" "{a33=(-4e-05;0.0002]} => {class=b}" 0.138801261829653 1 0.138801261829653 2.78070175438596 44 1 1 6 1
"3510" "{a05=(0.04144;0.995175],a13=(-0.96941;-0.076515]} => {class=g}" 0.113564668769716 1 0.113564668769716 1.5615763546798 36 2 1 2 1
"4025" "{a10=(0.591395;0.9891],a24=(-0.987455;-0.02301]} => {class=g}" 0.113564668769716 1 0.113564668769716 1.5615763546798 36 2 1 1 1
"4659" "{a07=[-Inf;0.029375],a27=(0.99921; Inf]} => {class=b}" 0.113564668769716 1 0.113564668769716 2.78070175438596 36 2 1 2 1
"51" "{a01=0} => {class=b}" 0.110410094637224 1 0.110410094637224 2.78070175438596 35 1 1 8 1
"5094" "{a05=(0.995175; Inf],a27=(0.52812;0.99921]} => {class=g}" 0.0977917981072555 1 0.0977917981072555 1.5615763546798 31 2 1 3 1
"42" "{a19=(-0.989535;-0.4291]} => {class=g}" 0.0946372239747634 1 0.0946372239747634 1.5615763546798 30 1 1 1 1
"3186" "{a19=(-0.4291; Inf],a28=[-Inf;-0.936175]} => {class=b}" 0.0946372239747634 1 0.0946372239747634 2.78070175438596 30 2 1 1 1
"3703" "{a13=(-0.076515;0.35474],a21=(-1.5e-05;0.07206]} => {class=b}" 0.0946372239747634 1 0.0946372239747634 2.78070175438596 30 2 1 2 1
"5013" "{a03=(0.998505; Inf],a27=(0.52812;0.99921]} => {class=g}" 0.0883280757097792 1 0.0883280757097792 1.5615763546798 28 2 1 1 1
"33" "{a18=[-Inf;-0.8145]} => {class=b}" 0.0851735015772871 1 0.0851735015772871 2.78070175438596 27 1 1 2 1
"34" "{a14=(0.652535;0.97565]} => {class=g}" 0.0851735015772871 1 0.0851735015772871 1.5615763546798 27 1 1 1 1
"4859" "{a04=(0.007075;0.74685],a06=(-0.79531;-0.00114]} => {class=g}" 0.0851735015772871 1 0.0851735015772871 1.5615763546798 27 2 1 6 1
