"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"3167" "{service=b'ecr_i',dst_host_srv_count=(254.5; Inf]} => {labels=smurf.}" 0.560555555555556 1 0.560555555555556 1.78323756687141 5045 2 1 5045 1
"79" "{srv_count=(302.5; Inf]} => {labels=smurf.}" 0.56 1 0.56 1.78323756687141 5040 1 1 2 1
"2907" "{dst_host_count=(254.5; Inf],dst_host_diff_srv_rate=(0.045;0.105]} => {labels=neptune.}" 0.216444444444444 1 0.216444444444444 4.58715596330275 1948 2 1 1948 1
"2865" "{src_bytes=[-Inf;3.5],diff_srv_rate=(0.035;0.085]} => {labels=neptune.}" 0.213222222222222 1 0.213222222222222 4.58715596330275 1919 2 1 11 1
"2534" "{flag=b'S0',land=0} => {labels=neptune.}" 0.176444444444444 1 0.176444444444444 4.58715596330275 1588 2 1 3 1
"45277" "{service=b'http',hot=[-Inf;0.5],diff_srv_rate=[-Inf;0.005]} => {labels=normal.}" 0.123555555555556 1 0.123555555555556 4.94777350192413 1112 3 1 1112 1
"47608" "{flag=b'SF',src_bytes=(28.5;333.5],dst_bytes=(2;8308]} => {labels=normal.}" 0.123555555555556 1 0.123555555555556 4.94777350192413 1112 3 1 319 1
"46992" "{dst_bytes=(2;8308],hot=[-Inf;0.5],logged_in=1} => {labels=normal.}" 0.120222222222222 1 0.120222222222222 4.94777350192413 1082 3 1 204 1
"45248" "{service=b'http',flag=b'SF',num_compromised=[-Inf;0.5]} => {labels=normal.}" 0.112 1 0.112 4.94777350192413 1008 3 1 1 1
"2432" "{src_bytes=(28.5;333.5],dst_host_srv_count=(254.5; Inf]} => {labels=normal.}" 0.0947777777777778 1 0.0947777777777778 4.94777350192413 853 2 1 1 1
"2470" "{dst_bytes=(2;8308],dst_host_srv_count=(254.5; Inf]} => {labels=normal.}" 0.0902222222222222 1 0.0902222222222222 4.94777350192413 812 2 1 1 1
"2117" "{wrong_fragment=[-Inf;0.5],dst_host_srv_diff_host_rate=(0.005;0.065]} => {labels=normal.}" 0.0847777777777778 1 0.0847777777777778 4.94777350192413 763 2 1 38 1
"48756" "{dst_bytes=(2;8308],hot=[-Inf;0.5],dst_host_srv_diff_host_rate=[-Inf;0.005]} => {labels=normal.}" 0.0807777777777778 1 0.0807777777777778 4.94777350192413 727 3 1 7 1
