"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"77" "{srv_count=(364; Inf]} => {labels=smurf.}" 0.572777777777778 1 0.572777777777778 1.74384809145514 5155 1 1 5155 1
"3088" "{service=b'ecr_i',dst_host_srv_count=(254.5; Inf]} => {labels=smurf.}" 0.572777777777778 1 0.572777777777778 1.74384809145514 5155 2 1 5 1
"76" "{src_bytes=(1031;1035]} => {labels=smurf.}" 0.466444444444444 1 0.466444444444444 1.74384809145514 4198 1 1 1 1
"68" "{diff_srv_rate=(0.035;0.085]} => {labels=neptune.}" 0.211888888888889 1 0.211888888888889 4.63678516228748 1907 1 1 1907 1
"2785" "{count=(83.5;340],dst_host_diff_srv_rate=(0.045;0.095]} => {labels=neptune.}" 0.209111111111111 1 0.209111111111111 4.63678516228748 1882 2 1 2 1
"2716" "{same_srv_rate=(0.005;0.195],dst_host_diff_srv_rate=(0.045;0.095]} => {labels=neptune.}" 0.206333333333333 1 0.206333333333333 4.63678516228748 1857 2 1 10 1
"48029" "{flag=b'S0',serror_rate=(0.735; Inf],dst_host_srv_serror_rate=(0.17; Inf]} => {labels=neptune.}" 0.175444444444444 1 0.175444444444444 4.63678516228748 1579 3 1 22 1
"57" "{src_bytes=(28.5;333.5]} => {labels=normal.}" 0.145888888888889 1 0.145888888888889 5.18134715025907 1313 1 1 1313 1
"44412" "{service=b'http',hot=[-Inf;0.5],dst_host_serror_rate=[-Inf;0.005]} => {labels=normal.}" 0.117777777777778 1 0.117777777777778 5.18134715025907 1060 3 1 175 1
"2230" "{dst_bytes=(2;2440],diff_srv_rate=[-Inf;0.035]} => {labels=normal.}" 0.117555555555556 1 0.117555555555556 5.18134715025907 1058 2 1 176 1
"44438" "{service=b'http',hot=[-Inf;0.5],dst_host_srv_serror_rate=[-Inf;0.005]} => {labels=normal.}" 0.115888888888889 1 0.115888888888889 5.18134715025907 1043 3 1 1 1
"2231" "{dst_bytes=(2;2440],dst_host_serror_rate=[-Inf;0.005]} => {labels=normal.}" 0.115666666666667 1 0.115666666666667 5.18134715025907 1041 2 1 10 1
"44350" "{service=b'http',same_srv_rate=(0.995; Inf],dst_host_rerror_rate=[-Inf;0.005]} => {labels=normal.}" 0.107666666666667 1 0.107666666666667 5.18134715025907 969 3 1 1 1
"2224" "{protocol_type=b'tcp',dst_bytes=(2;2440]} => {labels=normal.}" 0.09 1 0.09 5.18134715025907 810 2 1 1 1
"42521" "{service=b'http',num_compromised=[-Inf;0.5],dst_host_count=(3.5;254.5]} => {labels=normal.}" 0.0714444444444444 1 0.0714444444444444 5.18134715025907 643 3 1 1 1
