"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"3624" "{service=b'ecr_i',dst_host_count=(254.5; Inf]} => {labels=smurf.}" 0.568722222222222 1 0.568722222222222 1.7578125 20474 2 1 20474 1
"3572" "{service=b'ecr_i',srv_count=(313.5; Inf]} => {labels=smurf.}" 0.568111111111111 1 0.568111111111111 1.7578125 20452 2 1 6 1
"3306" "{src_bytes=[-Inf;0.5],diff_srv_rate=(0.045;0.125]} => {labels=neptune.}" 0.213555555555556 1 0.213555555555556 4.59183673469388 7688 2 1 7688 1
"3048" "{same_srv_rate=(0.005;0.105],dst_host_same_src_port_rate=[-Inf;0.005]} => {labels=neptune.}" 0.174416666666667 1 0.174416666666667 4.59183673469388 6279 2 1 53 1
"3150" "{flag=b'S0',dst_host_same_srv_rate=(0.015;0.085]} => {labels=neptune.}" 0.143333333333333 1 0.143333333333333 4.59183673469388 5160 2 1 73 1
"2856" "{dst_bytes=(2;2196.5],dst_host_serror_rate=[-Inf;0.005]} => {labels=normal.}" 0.113861111111111 1 0.113861111111111 5.10710739111931 4099 2 1 4099 1
"2885" "{service=b'http',src_bytes=(28.5;333.5]} => {labels=normal.}" 0.102166666666667 1 0.102166666666667 5.10710739111931 3678 2 1 1621 1
"2963" "{src_bytes=(28.5;333.5],dst_host_srv_count=(254.5; Inf]} => {labels=normal.}" 0.0946388888888889 1 0.0946388888888889 5.10710739111931 3407 2 1 3 1
"49137" "{duration=[-Inf;0.5],src_bytes=[-Inf;0.5],count=(91.5;153.5]} => {labels=neptune.}" 0.0885277777777778 1 0.0885277777777778 4.59183673469388 3187 3 1 4 1
"49997" "{service=b'private',dst_host_diff_srv_rate=(0.065;0.075],dst_host_same_src_port_rate=[-Inf;0.005]} => {labels=neptune.}" 0.0877222222222222 1 0.0877222222222222 4.59183673469388 3158 3 1 3 1
"2502" "{service=b'http',dst_host_srv_diff_host_rate=(0.005;0.085]} => {labels=normal.}" 0.0676111111111111 1 0.0676111111111111 5.10710739111931 2434 2 1 155 1
"2844" "{service=b'http',dst_bytes=(2;2196.5]} => {labels=normal.}" 0.0664444444444444 1 0.0664444444444444 5.10710739111931 2392 2 1 2 1
"2504" "{src_bytes=(28.5;333.5],dst_host_srv_diff_host_rate=(0.005;0.085]} => {labels=normal.}" 0.0628888888888889 1 0.0628888888888889 5.10710739111931 2264 2 1 74 1
"43907" "{src_bytes=[-Inf;0.5],dst_host_diff_srv_rate=(0.055;0.065],dst_host_same_src_port_rate=[-Inf;0.005]} => {labels=neptune.}" 0.0546111111111111 1 0.0546111111111111 4.59183673469388 1966 3 1 1 1
"2501" "{dst_bytes=(2;2196.5],dst_host_srv_diff_host_rate=(0.005;0.085]} => {labels=normal.}" 0.0505277777777778 1 0.0505277777777778 5.10710739111931 1819 2 1 57 1
"49" "{=(372235;396606.5]} => {labels=neptune.}" 0.0498333333333333 1 0.0498333333333333 4.59183673469388 1794 1 1 12 1
"40247" "{logged_in=1,num_compromised=[-Inf;0.5],count=(6.5;21.5]} => {labels=normal.}" 0.0496111111111111 1 0.0496111111111111 5.10710739111931 1786 3 1 102 1
"2109" "{src_bytes=(28.5;333.5],count=(6.5;21.5]} => {labels=normal.}" 0.0456388888888889 1 0.0456388888888889 5.10710739111931 1643 2 1 9 1
"44473" "{hot=[-Inf;0.5],logged_in=1,dst_host_same_src_port_rate=(0.005;0.025]} => {labels=normal.}" 0.04525 1 0.04525 5.10710739111931 1629 3 1 26 1
"41114" "{hot=[-Inf;0.5],logged_in=1,dst_host_count=(58.5;254.5]} => {labels=normal.}" 0.04425 1 0.04425 5.10710739111931 1593 3 1 74 1
