"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"3507" "{service=b'ecr_i',dst_host_srv_count=(254.5; Inf]} => {labels=smurf.}" 0.565488888888889 1 0.565488888888889 1.76699257863117 25447 2 1 25447 1
"3467" "{service=b'ecr_i',srv_count=(304; Inf]} => {labels=smurf.}" 0.565377777777778 1 0.565377777777778 1.76699257863117 25442 2 1 19 1
"3390" "{service=b'ecr_i',src_bytes=(1030.5;1033.5]} => {labels=smurf.}" 0.460777777777778 1 0.460777777777778 1.76699257863117 20735 2 1 1 1
"3201" "{src_bytes=[-Inf;0.5],diff_srv_rate=(0.045;0.085]} => {labels=neptune.}" 0.2118 1 0.2118 4.57038391224863 9531 2 1 9531 1
"2978" "{dst_host_same_src_port_rate=[-Inf;0.005],dst_host_serror_rate=(0.935; Inf]} => {labels=neptune.}" 0.176111111111111 1 0.176111111111111 4.57038391224863 7925 2 1 286 1
"3007" "{dst_host_same_srv_rate=(0.015;0.085],dst_host_srv_serror_rate=(0.86; Inf]} => {labels=neptune.}" 0.142022222222222 1 0.142022222222222 4.57038391224863 6391 2 1 1 1
"2857" "{same_srv_rate=(0.005;0.095],dst_host_same_srv_rate=(0.015;0.085]} => {labels=neptune.}" 0.136111111111111 1 0.136111111111111 4.57038391224863 6125 2 1 3 1
"2702" "{count=(97.5;306],dst_host_diff_srv_rate=(0.065;0.085]} => {labels=neptune.}" 0.1172 1 0.1172 4.57038391224863 5274 2 1 4 1
"46909" "{src_bytes=[-Inf;0.5],dst_host_count=(254.5; Inf],dst_host_diff_srv_rate=(0.045;0.065]} => {labels=neptune.}" 0.0873333333333333 1 0.0873333333333333 4.57038391224863 3930 3 1 8 1
"49463" "{src_bytes=[-Inf;0.5],srv_count=(12.5;20.5],dst_host_srv_diff_host_rate=[-Inf;0.005]} => {labels=neptune.}" 0.0802222222222222 1 0.0802222222222222 4.57038391224863 3610 3 1 1 1
"2385" "{service=b'http',dst_host_srv_diff_host_rate=(0.005;0.095]} => {labels=normal.}" 0.0698666666666667 1 0.0698666666666667 5.0687091687317 3144 2 1 3144 1
"2654" "{service=b'http',dst_bytes=(0.5;2188.5]} => {labels=normal.}" 0.0661333333333333 1 0.0661333333333333 5.0687091687317 2976 2 1 1284 1
"48235" "{src_bytes=[-Inf;0.5],srv_count=(6.5;12.5],dst_host_srv_diff_host_rate=[-Inf;0.005]} => {labels=neptune.}" 0.0648888888888889 1 0.0648888888888889 4.57038391224863 2920 3 1 6 1
"2387" "{src_bytes=(28.5;333.5],dst_host_srv_diff_host_rate=(0.005;0.095]} => {labels=normal.}" 0.0641111111111111 1 0.0641111111111111 5.0687091687317 2885 2 1 94 1
"2660" "{dst_bytes=(0.5;2188.5],dst_host_srv_count=(254.5; Inf]} => {labels=normal.}" 0.0630222222222222 1 0.0630222222222222 5.0687091687317 2836 2 1 111 1
"43412" "{hot=[-Inf;0.5],logged_in=1,dst_host_same_src_port_rate=(0.005;0.045]} => {labels=normal.}" 0.0580888888888889 1 0.0580888888888889 5.0687091687317 2614 3 1 701 1
"43263" "{diff_srv_rate=[-Inf;0.005],dst_host_same_src_port_rate=(0.005;0.045],dst_host_srv_diff_host_rate=(0.005;0.095]} => {labels=normal.}" 0.0524222222222222 1 0.0524222222222222 5.0687091687317 2359 3 1 7 1
"2384" "{dst_bytes=(0.5;2188.5],dst_host_srv_diff_host_rate=(0.005;0.095]} => {labels=normal.}" 0.0519333333333333 1 0.0519333333333333 5.0687091687317 2337 2 1 144 1
"43431" "{flag=b'SF',src_bytes=(28.5;333.5],dst_host_same_src_port_rate=(0.005;0.045]} => {labels=normal.}" 0.0489111111111111 1 0.0489111111111111 5.0687091687317 2201 3 1 374 1
"43331" "{flag=b'SF',dst_bytes=(0.5;2188.5],dst_host_same_src_port_rate=(0.005;0.045]} => {labels=normal.}" 0.0482 1 0.0482 5.0687091687317 2169 3 1 37 1
"38932" "{logged_in=1,num_compromised=[-Inf;0.5],count=(6.5;21.5]} => {labels=normal.}" 0.0478222222222222 1 0.0478222222222222 5.0687091687317 2152 3 1 357 1
"43563" "{hot=[-Inf;0.5],dst_host_same_srv_rate=(0.995; Inf],dst_host_same_src_port_rate=(0.005;0.045]} => {labels=normal.}" 0.047 1 0.047 5.0687091687317 2115 3 1 76 1
"44915" "{dst_bytes=(0.5;2188.5],hot=[-Inf;0.5],count=[-Inf;1.5]} => {labels=normal.}" 0.0458666666666667 1 0.0458666666666667 5.0687091687317 2064 3 1 890 1
"2036" "{src_bytes=(28.5;333.5],count=(6.5;21.5]} => {labels=normal.}" 0.0436888888888889 1 0.0436888888888889 5.0687091687317 1966 2 1 50 1
"37291" "{logged_in=1,num_compromised=[-Inf;0.5],dst_host_count=(13.5;89.5]} => {labels=normal.}" 0.0428 1 0.0428 5.0687091687317 1926 3 1 58 1
"1713" "{src_bytes=[-Inf;0.5],same_srv_rate=(0.095;0.195]} => {labels=neptune.}" 0.042 1 0.042 4.57038391224863 1890 2 1 2 1
"1950" "{dst_host_count=(13.5;89.5],dst_host_srv_diff_host_rate=(0.005;0.095]} => {labels=normal.}" 0.0418444444444444 1 0.0418444444444444 5.0687091687317 1883 2 1 19 1
"1599" "{rerror_rate=[-Inf;0.005],srv_diff_host_rate=(0.005;0.325]} => {labels=normal.}" 0.0405777777777778 1 0.0405777777777778 5.0687091687317 1826 2 1 178 1
"43394" "{src_bytes=(28.5;333.5],logged_in=1,dst_host_same_src_port_rate=(0.005;0.045]} => {labels=normal.}" 0.0405333333333333 1 0.0405333333333333 5.0687091687317 1824 3 1 1 1
"28337" "{=(19383.5;39714.5],land=0,srv_rerror_rate=[-Inf;0.01]} => {labels=normal.}" 0.0398666666666667 1 0.0398666666666667 5.0687091687317 1794 3 1 133 1
"37258" "{service=b'http',num_compromised=[-Inf;0.5],dst_host_count=(13.5;89.5]} => {labels=normal.}" 0.0373111111111111 1 0.0373111111111111 5.0687091687317 1679 3 1 41 1
"37309" "{flag=b'SF',src_bytes=(28.5;333.5],dst_host_count=(13.5;89.5]} => {labels=normal.}" 0.0349555555555556 1 0.0349555555555556 5.0687091687317 1573 3 1 57 1
