"rules" "support" "confidence" "coverage" "lift" "count" "lhs_length" "orderedConf" "orderedSupp" "cumulativeConf"
"56" "{word_freq_george=(0.44; Inf]} => {class=0}" 0.140338164251208 1 0.140338164251208 1.65005978477481 581 1 1 581 1
"3032" "{word_freq_hpl=(0.12; Inf],word_freq_650=(0.01; Inf]} => {class=0}" 0.0785024154589372 1 0.0785024154589372 1.65005978477481 325 2 1 151 1
"2526" "{word_freq_hpl=(0.12; Inf],word_freq_85=(0.195; Inf]} => {class=0}" 0.0727053140096618 1 0.0727053140096618 1.65005978477481 301 2 1 26 1
"2260" "{word_freq_lab=(0.125; Inf],word_freq_edu=[-Inf;0.05]} => {class=0}" 0.070048309178744 1 0.070048309178744 1.65005978477481 290 2 1 99 1
"2241" "{word_freq_free=[-Inf;0.095],word_freq_lab=(0.125; Inf]} => {class=0}" 0.0698067632850242 1 0.0698067632850242 1.65005978477481 289 2 1 4 1
"3541" "{word_freq_hpl=(0.12; Inf],word_freq_technology=(0.095;1.625]} => {class=0}" 0.0594202898550725 1 0.0594202898550725 1.65005978477481 246 2 1 40 1
"2515" "{word_freq_labs=(0.005; Inf],word_freq_85=(0.195; Inf]} => {class=0}" 0.0579710144927536 1 0.0579710144927536 1.65005978477481 240 2 1 3 1
"1993" "{word_freq_address=[-Inf;0.075],word_freq_telnet=(0.045; Inf]} => {class=0}" 0.0572463768115942 1 0.0572463768115942 1.65005978477481 237 2 1 28 1
"2520" "{word_freq_hp=(1.495; Inf],word_freq_85=(0.195; Inf]} => {class=0}" 0.0557971014492754 1 0.0557971014492754 1.65005978477481 231 2 1 9 1
"4050" "{word_freq_hp=(1.495; Inf],word_freq_1999=(0.105; Inf]} => {class=0}" 0.0550724637681159 1 0.0550724637681159 1.65005978477481 228 2 1 83 1
"3026" "{word_freq_hp=(1.495; Inf],word_freq_650=(0.01; Inf]} => {class=0}" 0.0538647342995169 1 0.0538647342995169 1.65005978477481 223 2 1 2 1
"24" "{word_freq_meeting=(0.455; Inf]} => {class=0}" 0.0526570048309179 1 0.0526570048309179 1.65005978477481 218 1 1 117 1
"3202" "{word_freq_labs=(0.005; Inf],word_freq_1999=(0.105; Inf]} => {class=0}" 0.0478260869565217 1 0.0478260869565217 1.65005978477481 198 2 1 18 1
"3534" "{word_freq_hp=(1.495; Inf],word_freq_technology=(0.095;1.625]} => {class=0}" 0.0471014492753623 1 0.0471014492753623 1.65005978477481 195 2 1 16 1
"46232" "{word_freq_remove=[-Inf;0.01],word_freq_free=[-Inf;0.095],word_freq_original=(0.245; Inf]} => {class=0}" 0.0466183574879227 1 0.0466183574879227 1.65005978477481 193 3 1 43 1
"1321" "{word_freq_credit=[-Inf;0.035],word_freq_857=(0.045; Inf]} => {class=0}" 0.0439613526570048 1 0.0439613526570048 1.65005978477481 182 2 1 1 1
"4064" "{word_freq_hp=(1.495; Inf],capital_run_length_total=(130.5;720.5]} => {class=0}" 0.0439613526570048 1 0.0439613526570048 1.65005978477481 182 2 1 17 1
"4068" "{word_freq_will=(0.245;1.595],word_freq_hp=(1.495; Inf]} => {class=0}" 0.0422705314009662 1 0.0422705314009662 1.65005978477481 175 2 1 15 1
"1569" "{word_freq_1999=(0.105; Inf],word_freq_original=(0.245; Inf]} => {class=0}" 0.0415458937198068 1 0.0415458937198068 1.65005978477481 172 2 1 2 1
"3124" "{'char_freq_\%21'=(0.3895; Inf],capital_run_length_total=(720.5; Inf]} => {class=1}" 0.0410628019323672 1 0.0410628019323672 2.53832004904966 170 2 1 170 1
"4067" "{word_freq_hp=(1.495; Inf],capital_run_length_average=(1.0115;2.014]} => {class=0}" 0.0410628019323672 1 0.0410628019323672 1.65005978477481 170 2 1 26 1
"2517" "{word_freq_85=(0.195; Inf],word_freq_technology=(0.095;1.625]} => {class=0}" 0.0408212560386473 1 0.0408212560386473 1.65005978477481 169 2 1 2 1
"2438" "{word_freq_over=(0.165; Inf],word_freq_credit=(0.035; Inf]} => {class=1}" 0.0405797101449275 1 0.0405797101449275 2.53832004904966 168 2 1 95 1
"1982" "{word_freq_your=[-Inf;0.415],word_freq_telnet=(0.045; Inf]} => {class=0}" 0.0381642512077295 1 0.0381642512077295 1.65005978477481 158 2 1 5 1
"2125" "{word_freq_receive=(0.045;1.825],word_freq_addresses=(0.025; Inf]} => {class=1}" 0.0359903381642512 1 0.0359903381642512 2.53832004904966 149 2 1 61 1
"20381" "{word_freq_hpl=[-Inf;0.12],word_freq_george=[-Inf;0.005],capital_run_length_longest=(251.5; Inf]} => {class=1}" 0.0355072463768116 1 0.0355072463768116 2.53832004904966 147 3 1 49 1
"2522" "{word_freq_85=(0.195; Inf],'char_freq_\%28'=(0.2925; Inf]} => {class=0}" 0.0347826086956522 1 0.0347826086956522 1.65005978477481 144 2 1 3 1
"3286" "{word_freq_1999=(0.105; Inf],word_freq_edu=(0.115; Inf]} => {class=0}" 0.0347826086956522 1 0.0347826086956522 1.65005978477481 144 2 1 77 1
"30446" "{word_freq_remove=[-Inf;0.01],word_freq_free=[-Inf;0.095],word_freq_conference=(0.01; Inf]} => {class=0}" 0.0342995169082126 1 0.0342995169082126 1.65005978477481 142 3 1 37 1
"35249" "{word_freq_internet=[-Inf;0.035],word_freq_re=(1.57; Inf],'char_freq_\%21'=[-Inf;0.005]} => {class=0}" 0.0342995169082126 1 0.0342995169082126 1.65005978477481 142 3 1 76 1
"45895" "{word_freq_000=[-Inf;0.125],word_freq_original=(0.245; Inf],'char_freq_\%21'=[-Inf;0.005]} => {class=0}" 0.0340579710144928 1 0.0340579710144928 1.65005978477481 141 3 1 1 1
"574" "{word_freq_000=[-Inf;0.125],word_freq_cs=(0.01; Inf]} => {class=0}" 0.0328502415458937 1 0.0328502415458937 1.65005978477481 136 2 1 50 1
"3193" "{word_freq_hp=(0.12;1.495],word_freq_labs=(0.005; Inf]} => {class=0}" 0.0311594202898551 1 0.0311594202898551 1.65005978477481 129 2 1 17 1
"496" "{word_freq_free=[-Inf;0.095],word_freq_pm=(0.745; Inf]} => {class=0}" 0.0297101449275362 1 0.0297101449275362 1.65005978477481 123 2 1 20 1
"2139" "{word_freq_addresses=(0.025; Inf],'char_freq_\%21'=(0.3895; Inf]} => {class=1}" 0.0297101449275362 1 0.0297101449275362 2.53832004904966 123 2 1 24 1
"3784" "{word_freq_000=(0.26; Inf],'char_freq_\%23'=(0.0355; Inf]} => {class=1}" 0.028743961352657 1 0.028743961352657 2.53832004904966 119 2 1 43 1
"3212" "{word_freq_labs=(0.005; Inf],capital_run_length_total=(18.5;71.5]} => {class=0}" 0.0280193236714976 1 0.0280193236714976 1.65005978477481 116 2 1 10 1
"16107" "{word_freq_our=[-Inf;0.045],word_freq_money=[-Inf;0.035],word_freq_pm=(0.745; Inf]} => {class=0}" 0.0280193236714976 1 0.0280193236714976 1.65005978477481 116 3 1 2 1
"23111" "{word_freq_money=(0.035; Inf],word_freq_hp=[-Inf;0.12],word_freq_re=(0.015;0.135]} => {class=1}" 0.0277777777777778 1 0.0277777777777778 2.53832004904966 115 3 1 18 1
"30186" "{word_freq_your=[-Inf;0.415],word_freq_conference=(0.01; Inf],'char_freq_\%23'=[-Inf;0.0075]} => {class=0}" 0.027536231884058 1 0.027536231884058 1.65005978477481 114 3 1 1 1
"24615" "{word_freq_money=(0.035; Inf],word_freq_hp=[-Inf;0.12],'char_freq_\%23'=(0.0075;0.0355]} => {class=1}" 0.0270531400966184 1 0.0270531400966184 2.53832004904966 112 3 1 24 1
"23183" "{word_freq_order=(0.045; Inf],word_freq_people=(0.105; Inf],word_freq_re=(0.015;0.135]} => {class=1}" 0.0265700483091787 1 0.0265700483091787 2.53832004904966 110 3 1 2 1
"47423" "{word_freq_business=(0.065;0.295],word_freq_money=(0.035; Inf],word_freq_hp=[-Inf;0.12]} => {class=1}" 0.0260869565217391 1 0.0260869565217391 2.53832004904966 108 3 1 23 1
"492" "{word_freq_all=[-Inf;0.235],word_freq_pm=(0.745; Inf]} => {class=0}" 0.0256038647342995 1 0.0256038647342995 1.65005978477481 106 2 1 1 1
"15120" "{word_freq_000=[-Inf;0.125],word_freq_money=[-Inf;0.035],word_freq_george=(0.005;0.44]} => {class=0}" 0.0256038647342995 1 0.0256038647342995 1.65005978477481 106 3 1 49 1
"23024" "{word_freq_receive=(0.045;1.825],word_freq_1999=[-Inf;0.105],word_freq_re=(0.015;0.135]} => {class=1}" 0.0248792270531401 1 0.0248792270531401 2.53832004904966 103 3 1 2 1
"1210" "{word_freq_re=(1.57; Inf],capital_run_length_average=(1.0115;2.014]} => {class=0}" 0.0243961352657005 1 0.0243961352657005 1.65005978477481 101 2 1 13 1
"2432" "{word_freq_credit=(0.035; Inf],'char_freq_\%23'=(0.0355; Inf]} => {class=1}" 0.0234299516908213 1 0.0234299516908213 2.53832004904966 97 2 1 23 1
"45572" "{word_freq_000=[-Inf;0.125],word_freq_original=(0.245; Inf],capital_run_length_average=(2.014;3.154]} => {class=0}" 0.0234299516908213 1 0.0234299516908213 1.65005978477481 97 3 1 1 1
