dataset,accuracy,rules,antlength,buildtime
anneal,0.984443063179018,27.4,2.31389837620872,1.14
australian,0.859465351357935,123.4,3.77833603365704,66.92
autos,0.778667138861647,57.1,2.53303927989789,2.64
breast-w,0.952731169626455,57.3,2.73155962025032,1.34
colic,0.807436383752173,106.4,2.89562307522716,0.77
credit-a,0.850770308123249,147.1,3.62192004193439,38.94
credit-g,0.745,240.3,3.47581919460503,56.93
diabetes,0.763123718386876,56.7,2.81840937165983,74.88
glass,0.69327435849175,32.2,2.83228343827535,16.38
heart-statlog,0.82962962962963,61.1,3.61399836102824,3.52
hepatitis,0.813357843137255,37.7,3.16118392376416,0.5
hypothyroid,0.976164979889231,40.9,2.70348078284792,101.62
ionosphere,0.896900093370682,57.8,1.96723253037491,26.84
iris,0.933333333333333,9.1,1.40357864357864,0.19
labor,0.873333333333333,13.3,1.64205128205128,0.07
letter,0.271239824599121,91.1,2.98796486196037,143.29
lymph,0.785357142857143,38.9,2.90824079343894,0.08
segment,0.941125541125541,184,2.70889996496226,2489.72
sonar,0.759155844155844,48.6,2.76961124190786,18.97
spambase,0.930448818591852,308.5,2.20427879926936,1780.04
vehicle,0.690159380305916,148.7,3.63054163584224,112.46
vowel,0.677777777777778,134.1,3.41642997281394,1538.85
