"","rules","support","confidence","lift","laplace","chiSquared","weightedChiSquared"
"1","{Mg=[-Inf;2.695],Ca=(8.315;10.075],Ba=(0.335; Inf]} => {Type=headlamps}",0.103092783505155,1,7.46153846153846,0.807692307692308,144.084880636605,144.084880636605
"2","{Mg=[-Inf;2.695],Si=[-Inf; Inf],Ca=(8.315;10.075],Ba=(0.335; Inf]} => {Type=headlamps}",0.103092783505155,1,7.46153846153846,0.807692307692308,144.084880636605,144.084880636605
"3","{Mg=[-Inf;2.695],Ca=(8.315;10.075],Ba=(0.335; Inf],Fe=[-Inf; Inf]} => {Type=headlamps}",0.103092783505155,1,7.46153846153846,0.807692307692308,144.084880636605,144.084880636605
"4","{Na=(13.785; Inf],Mg=[-Inf;2.695],Ca=(8.315;10.075],Ba=(0.335; Inf]} => {Type=headlamps}",0.103092783505155,1,7.46153846153846,0.807692307692308,144.084880636605,144.084880636605
"5","{RI=[-Inf;1.517335],Mg=[-Inf;2.695],Ca=(8.315;10.075]} => {Type=headlamps}",0.0979381443298969,1,7.46153846153846,0.8,136.098461538462,136.098461538462
"6","{RI=[-Inf;1.517335],Mg=[-Inf;2.695],Si=[-Inf; Inf],Ca=(8.315;10.075]} => {Type=headlamps}",0.0979381443298969,1,7.46153846153846,0.8,136.098461538462,136.098461538462
"7","{RI=[-Inf;1.517335],Mg=[-Inf;2.695],Ca=(8.315;10.075],Fe=[-Inf; Inf]} => {Type=headlamps}",0.0979381443298969,1,7.46153846153846,0.8,136.098461538462,136.098461538462
"8","{RI=[-Inf;1.517335],Mg=[-Inf;2.695],Si=[-Inf; Inf],Ca=(8.315;10.075],Fe=[-Inf; Inf]} => {Type=headlamps}",0.0979381443298969,1,7.46153846153846,0.8,136.098461538462,136.098461538462
"9","{K=[-Inf;0.055],Ba=(0.335; Inf]} => {Type=headlamps}",0.0876288659793814,1,7.46153846153846,0.782608695652174,120.396349413299,120.396349413299
"10","{Si=[-Inf; Inf],K=[-Inf;0.055],Ba=(0.335; Inf]} => {Type=headlamps}",0.0876288659793814,1,7.46153846153846,0.782608695652174,120.396349413299,120.396349413299
"11","{K=[-Inf;0.055],Ba=(0.335; Inf],Fe=[-Inf; Inf]} => {Type=headlamps}",0.0876288659793814,1,7.46153846153846,0.782608695652174,120.396349413299,120.396349413299
"12","{Mg=[-Inf;2.695],K=[-Inf;0.055],Ba=(0.335; Inf]} => {Type=headlamps}",0.0876288659793814,1,7.46153846153846,0.782608695652174,120.396349413299,120.396349413299
"13","{Na=(13.785; Inf],Mg=[-Inf;2.695],K=[-Inf;0.055],Ba=[-Inf;0.335]} => {Type=tableware}",0.0412371134020619,1,24.25,0.642857142857143,194,194
"14","{Na=(13.785; Inf],Mg=[-Inf;2.695],Si=[-Inf; Inf],K=[-Inf;0.055],Ba=[-Inf;0.335]} => {Type=tableware}",0.0412371134020619,1,24.25,0.642857142857143,194,194
