"","rules","support","confidence","lift","laplace","chiSquared","weightedChiSquared"
"1","{sex=0,chest=[-Inf;3.5],thal=[-Inf;4.5]} => {class=absent}",0.176954732510288,1,1.8,0.977777777777778,41.796,41.796
"2","{age=[-Inf; Inf],sex=0,chest=[-Inf;3.5],thal=[-Inf;4.5]} => {class=absent}",0.176954732510288,1,1.8,0.977777777777778,41.796,41.796
"3","{sex=0,chest=[-Inf;3.5],resting_blood_pressure=[-Inf; Inf],thal=[-Inf;4.5]} => {class=absent}",0.176954732510288,1,1.8,0.977777777777778,41.796,41.796
"4","{sex=0,chest=[-Inf;3.5],serum_cholestoral=[-Inf; Inf],thal=[-Inf;4.5]} => {class=absent}",0.176954732510288,1,1.8,0.977777777777778,41.796,41.796
"5","{sex=0,chest=[-Inf;3.5],maximum_heart_rate_achieved=(147.5; Inf]} => {class=absent}",0.148148148148148,1,1.8,0.973684210526316,33.8086956521739,33.8086956521739
"6","{age=[-Inf; Inf],sex=0,chest=[-Inf;3.5],maximum_heart_rate_achieved=(147.5; Inf]} => {class=absent}",0.148148148148148,1,1.8,0.973684210526316,33.8086956521739,33.8086956521739
"7","{sex=0,chest=[-Inf;3.5],resting_blood_pressure=[-Inf; Inf],maximum_heart_rate_achieved=(147.5; Inf]} => {class=absent}",0.148148148148148,1,1.8,0.973684210526316,33.8086956521739,33.8086956521739
"8","{sex=0,chest=[-Inf;3.5],serum_cholestoral=[-Inf; Inf],maximum_heart_rate_achieved=(147.5; Inf]} => {class=absent}",0.148148148148148,1,1.8,0.973684210526316,33.8086956521739,33.8086956521739
"9","{sex=0,chest=[-Inf;3.5],number_of_major_vessels=[-Inf;0.5]} => {class=absent}",0.1440329218107,1,1.8,0.972972972972973,32.7115384615385,32.7115384615385
"10","{age=[-Inf; Inf],sex=0,chest=[-Inf;3.5],number_of_major_vessels=[-Inf;0.5]} => {class=absent}",0.1440329218107,1,1.8,0.972972972972973,32.7115384615385,32.7115384615385
"11","{sex=0,chest=[-Inf;3.5],resting_blood_pressure=[-Inf; Inf],number_of_major_vessels=[-Inf;0.5]} => {class=absent}",0.1440329218107,1,1.8,0.972972972972973,32.7115384615385,32.7115384615385
"12","{sex=0,chest=[-Inf;3.5],serum_cholestoral=[-Inf; Inf],number_of_major_vessels=[-Inf;0.5]} => {class=absent}",0.1440329218107,1,1.8,0.972972972972973,32.7115384615385,32.7115384615385
"13","{chest=(3.5; Inf],oldpeak=(1.7; Inf],thal=(4.5; Inf]} => {class=present}",0.131687242798354,1,2.25,0.970588235294118,46.0663507109005,46.0663507109005
"14","{age=[-Inf; Inf],chest=(3.5; Inf],oldpeak=(1.7; Inf],thal=(4.5; Inf]} => {class=present}",0.131687242798354,1,2.25,0.970588235294118,46.0663507109005,46.0663507109005
"15","{chest=(3.5; Inf],resting_blood_pressure=[-Inf; Inf],oldpeak=(1.7; Inf],thal=(4.5; Inf]} => {class=present}",0.131687242798354,1,2.25,0.970588235294118,46.0663507109005,46.0663507109005
"16","{chest=(3.5; Inf],serum_cholestoral=[-Inf; Inf],oldpeak=(1.7; Inf],thal=(4.5; Inf]} => {class=present}",0.131687242798354,1,2.25,0.970588235294118,46.0663507109005,46.0663507109005
"17","{oldpeak=(1.7; Inf],number_of_major_vessels=(0.5; Inf],thal=(4.5; Inf]} => {class=present}",0.123456790123457,1,2.25,0.96875,42.7816901408451,42.7816901408451
"18","{age=[-Inf; Inf],oldpeak=(1.7; Inf],number_of_major_vessels=(0.5; Inf],thal=(4.5; Inf]} => {class=present}",0.123456790123457,1,2.25,0.96875,42.7816901408451,42.7816901408451
"19","{resting_blood_pressure=[-Inf; Inf],oldpeak=(1.7; Inf],number_of_major_vessels=(0.5; Inf],thal=(4.5; Inf]} => {class=present}",0.123456790123457,1,2.25,0.96875,42.7816901408451,42.7816901408451
"20","{serum_cholestoral=[-Inf; Inf],oldpeak=(1.7; Inf],number_of_major_vessels=(0.5; Inf],thal=(4.5; Inf]} => {class=present}",0.123456790123457,1,2.25,0.96875,42.7816901408451,42.7816901408451
"21","{exercise_induced_angina=1,oldpeak=(1.7; Inf],thal=(4.5; Inf]} => {class=present}",0.11522633744856,1,2.25,0.966666666666667,39.5581395348837,39.5581395348837
"22","{sex=1,chest=(3.5; Inf],maximum_heart_rate_achieved=[-Inf;147.5],oldpeak=(1.7; Inf]} => {class=present}",0.11522633744856,1,2.25,0.966666666666667,39.5581395348837,39.5581395348837
"23","{age=[-Inf; Inf],exercise_induced_angina=1,oldpeak=(1.7; Inf],thal=(4.5; Inf]} => {class=present}",0.11522633744856,1,2.25,0.966666666666667,39.5581395348837,39.5581395348837
"24","{resting_blood_pressure=[-Inf; Inf],exercise_induced_angina=1,oldpeak=(1.7; Inf],thal=(4.5; Inf]} => {class=present}",0.11522633744856,1,2.25,0.966666666666667,39.5581395348837,39.5581395348837
"25","{serum_cholestoral=[-Inf; Inf],exercise_induced_angina=1,oldpeak=(1.7; Inf],thal=(4.5; Inf]} => {class=present}",0.11522633744856,1,2.25,0.966666666666667,39.5581395348837,39.5581395348837
"26","{age=[-Inf; Inf],sex=1,chest=(3.5; Inf],maximum_heart_rate_achieved=[-Inf;147.5],oldpeak=(1.7; Inf]} => {class=present}",0.11522633744856,1,2.25,0.966666666666667,39.5581395348837,39.5581395348837
"27","{sex=1,chest=(3.5; Inf],resting_blood_pressure=[-Inf; Inf],maximum_heart_rate_achieved=[-Inf;147.5],oldpeak=(1.7; Inf]} => {class=present}",0.11522633744856,1,2.25,0.966666666666667,39.5581395348837,39.5581395348837
"28","{sex=1,chest=(3.5; Inf],serum_cholestoral=[-Inf; Inf],maximum_heart_rate_achieved=[-Inf;147.5],oldpeak=(1.7; Inf]} => {class=present}",0.11522633744856,1,2.25,0.966666666666667,39.5581395348837,39.5581395348837
"29","{sex=1,maximum_heart_rate_achieved=[-Inf;147.5],oldpeak=(1.7; Inf],number_of_major_vessels=(0.5; Inf]} => {class=present}",0.111111111111111,1,2.25,0.96551724137931,37.96875,37.96875
"30","{age=[-Inf; Inf],sex=1,maximum_heart_rate_achieved=[-Inf;147.5],oldpeak=(1.7; Inf],number_of_major_vessels=(0.5; Inf]} => {class=present}",0.111111111111111,1,2.25,0.96551724137931,37.96875,37.96875
"31","{sex=1,resting_blood_pressure=[-Inf; Inf],maximum_heart_rate_achieved=[-Inf;147.5],oldpeak=(1.7; Inf],number_of_major_vessels=(0.5; Inf]} => {class=present}",0.111111111111111,1,2.25,0.96551724137931,37.96875,37.96875
"32","{sex=1,serum_cholestoral=[-Inf; Inf],maximum_heart_rate_achieved=[-Inf;147.5],oldpeak=(1.7; Inf],number_of_major_vessels=(0.5; Inf]} => {class=present}",0.111111111111111,1,2.25,0.96551724137931,37.96875,37.96875
"33","{chest=(3.5; Inf],maximum_heart_rate_achieved=[-Inf;147.5],exercise_induced_angina=1,oldpeak=(1.7; Inf]} => {class=present}",0.106995884773663,1,2.25,0.964285714285714,36.3940092165899,36.3940092165899
"34","{age=[-Inf; Inf],chest=(3.5; Inf],maximum_heart_rate_achieved=[-Inf;147.5],exercise_induced_angina=1,oldpeak=(1.7; Inf]} => {class=present}",0.106995884773663,1,2.25,0.964285714285714,36.3940092165899,36.3940092165899
"35","{chest=(3.5; Inf],resting_blood_pressure=[-Inf; Inf],maximum_heart_rate_achieved=[-Inf;147.5],exercise_induced_angina=1,oldpeak=(1.7; Inf]} => {class=present}",0.106995884773663,1,2.25,0.964285714285714,36.3940092165899,36.3940092165899
"36","{chest=(3.5; Inf],serum_cholestoral=[-Inf; Inf],maximum_heart_rate_achieved=[-Inf;147.5],exercise_induced_angina=1,oldpeak=(1.7; Inf]} => {class=present}",0.106995884773663,1,2.25,0.964285714285714,36.3940092165899,36.3940092165899
"37","{exercise_induced_angina=1,oldpeak=(1.7; Inf],number_of_major_vessels=(0.5; Inf]} => {class=present}",0.0905349794238683,1,2.25,0.958333333333333,30.237556561086,30.237556561086
"38","{age=[-Inf; Inf],exercise_induced_angina=1,oldpeak=(1.7; Inf],number_of_major_vessels=(0.5; Inf]} => {class=present}",0.0905349794238683,1,2.25,0.958333333333333,30.237556561086,30.237556561086
"39","{resting_blood_pressure=[-Inf; Inf],exercise_induced_angina=1,oldpeak=(1.7; Inf],number_of_major_vessels=(0.5; Inf]} => {class=present}",0.0905349794238683,1,2.25,0.958333333333333,30.237556561086,30.237556561086
"40","{serum_cholestoral=[-Inf; Inf],exercise_induced_angina=1,oldpeak=(1.7; Inf],number_of_major_vessels=(0.5; Inf]} => {class=present}",0.0905349794238683,1,2.25,0.958333333333333,30.237556561086,30.237556561086
"41","{chest=[-Inf;3.5],oldpeak=[-Inf;1.7],slope=(1.5; Inf],thal=[-Inf;4.5]} => {class=absent}",0.0864197530864197,1,1.8,0.956521739130435,18.3891891891892,18.3891891891892
"42","{age=[-Inf; Inf],chest=[-Inf;3.5],oldpeak=[-Inf;1.7],slope=(1.5; Inf],thal=[-Inf;4.5]} => {class=absent}",0.0864197530864197,1,1.8,0.956521739130435,18.3891891891892,18.3891891891892
"43","{chest=[-Inf;3.5],resting_blood_pressure=[-Inf; Inf],oldpeak=[-Inf;1.7],slope=(1.5; Inf],thal=[-Inf;4.5]} => {class=absent}",0.0864197530864197,1,1.8,0.956521739130435,18.3891891891892,18.3891891891892
"44","{chest=[-Inf;3.5],serum_cholestoral=[-Inf; Inf],oldpeak=[-Inf;1.7],slope=(1.5; Inf],thal=[-Inf;4.5]} => {class=absent}",0.0864197530864197,1,1.8,0.956521739130435,18.3891891891892,18.3891891891892
"45","{sex=0,exercise_induced_angina=0,slope=(1.5; Inf],number_of_major_vessels=[-Inf;0.5]} => {class=absent}",0.0781893004115226,1,1.8,0.952380952380952,16.4892857142857,16.4892857142857
"46","{age=[-Inf; Inf],sex=0,exercise_induced_angina=0,slope=(1.5; Inf],number_of_major_vessels=[-Inf;0.5]} => {class=absent}",0.0781893004115226,1,1.8,0.952380952380952,16.4892857142857,16.4892857142857
"47","{sex=0,resting_blood_pressure=[-Inf; Inf],exercise_induced_angina=0,slope=(1.5; Inf],number_of_major_vessels=[-Inf;0.5]} => {class=absent}",0.0781893004115226,1,1.8,0.952380952380952,16.4892857142857,16.4892857142857
"48","{sex=0,serum_cholestoral=[-Inf; Inf],exercise_induced_angina=0,slope=(1.5; Inf],number_of_major_vessels=[-Inf;0.5]} => {class=absent}",0.0781893004115226,1,1.8,0.952380952380952,16.4892857142857,16.4892857142857
"49","{chest=[-Inf;3.5],fasting_blood_sugar=1,exercise_induced_angina=0,oldpeak=[-Inf;1.7]} => {class=absent}",0.0699588477366255,1,1.8,0.947368421052632,14.6230088495575,14.6230088495575
"50","{exercise_induced_angina=0,slope=(1.5; Inf],number_of_major_vessels=(0.5; Inf],thal=(4.5; Inf]} => {class=present}",0.0699588477366255,1,2.25,0.947368421052632,22.8484513274336,22.8484513274336
"51","{maximum_heart_rate_achieved=(147.5; Inf],exercise_induced_angina=0,oldpeak=[-Inf;1.7],slope=(1.5; Inf],thal=[-Inf;4.5]} => {class=absent}",0.0699588477366255,1,1.8,0.947368421052632,14.6230088495575,14.6230088495575
"52","{age=[-Inf; Inf],chest=[-Inf;3.5],fasting_blood_sugar=1,exercise_induced_angina=0,oldpeak=[-Inf;1.7]} => {class=absent}",0.0699588477366255,1,1.8,0.947368421052632,14.6230088495575,14.6230088495575
"53","{chest=[-Inf;3.5],resting_blood_pressure=[-Inf; Inf],fasting_blood_sugar=1,exercise_induced_angina=0,oldpeak=[-Inf;1.7]} => {class=absent}",0.0699588477366255,1,1.8,0.947368421052632,14.6230088495575,14.6230088495575
"54","{chest=[-Inf;3.5],serum_cholestoral=[-Inf; Inf],fasting_blood_sugar=1,exercise_induced_angina=0,oldpeak=[-Inf;1.7]} => {class=absent}",0.0699588477366255,1,1.8,0.947368421052632,14.6230088495575,14.6230088495575
"55","{age=[-Inf; Inf],exercise_induced_angina=0,slope=(1.5; Inf],number_of_major_vessels=(0.5; Inf],thal=(4.5; Inf]} => {class=present}",0.0699588477366255,1,2.25,0.947368421052632,22.8484513274336,22.8484513274336
"56","{resting_blood_pressure=[-Inf; Inf],exercise_induced_angina=0,slope=(1.5; Inf],number_of_major_vessels=(0.5; Inf],thal=(4.5; Inf]} => {class=present}",0.0699588477366255,1,2.25,0.947368421052632,22.8484513274336,22.8484513274336
"57","{serum_cholestoral=[-Inf; Inf],exercise_induced_angina=0,slope=(1.5; Inf],number_of_major_vessels=(0.5; Inf],thal=(4.5; Inf]} => {class=present}",0.0699588477366255,1,2.25,0.947368421052632,22.8484513274336,22.8484513274336
"58","{age=[-Inf; Inf],maximum_heart_rate_achieved=(147.5; Inf],exercise_induced_angina=0,oldpeak=[-Inf;1.7],slope=(1.5; Inf],thal=[-Inf;4.5]} => {class=absent}",0.0699588477366255,1,1.8,0.947368421052632,14.6230088495575,14.6230088495575
"59","{resting_blood_pressure=[-Inf; Inf],maximum_heart_rate_achieved=(147.5; Inf],exercise_induced_angina=0,oldpeak=[-Inf;1.7],slope=(1.5; Inf],thal=[-Inf;4.5]} => {class=absent}",0.0699588477366255,1,1.8,0.947368421052632,14.6230088495575,14.6230088495575
"60","{serum_cholestoral=[-Inf; Inf],maximum_heart_rate_achieved=(147.5; Inf],exercise_induced_angina=0,oldpeak=[-Inf;1.7],slope=(1.5; Inf],thal=[-Inf;4.5]} => {class=absent}",0.0699588477366255,1,1.8,0.947368421052632,14.6230088495575,14.6230088495575
"61","{chest=[-Inf;3.5],fasting_blood_sugar=1,thal=[-Inf;4.5]} => {class=absent}",0.0617283950617284,1,1.8,0.941176470588235,12.7894736842105,12.7894736842105
"62","{chest=[-Inf;3.5],fasting_blood_sugar=1,maximum_heart_rate_achieved=(147.5; Inf],exercise_induced_angina=0} => {class=absent}",0.0617283950617284,1,1.8,0.941176470588235,12.7894736842105,12.7894736842105
"63","{age=[-Inf; Inf],chest=[-Inf;3.5],fasting_blood_sugar=1,thal=[-Inf;4.5]} => {class=absent}",0.0617283950617284,1,1.8,0.941176470588235,12.7894736842105,12.7894736842105
"64","{chest=[-Inf;3.5],resting_blood_pressure=[-Inf; Inf],fasting_blood_sugar=1,thal=[-Inf;4.5]} => {class=absent}",0.0617283950617284,1,1.8,0.941176470588235,12.7894736842105,12.7894736842105
"65","{age=[-Inf; Inf],chest=[-Inf;3.5],fasting_blood_sugar=1,maximum_heart_rate_achieved=(147.5; Inf],exercise_induced_angina=0} => {class=absent}",0.0617283950617284,1,1.8,0.941176470588235,12.7894736842105,12.7894736842105
"66","{chest=[-Inf;3.5],resting_blood_pressure=[-Inf; Inf],fasting_blood_sugar=1,maximum_heart_rate_achieved=(147.5; Inf],exercise_induced_angina=0} => {class=absent}",0.0617283950617284,1,1.8,0.941176470588235,12.7894736842105,12.7894736842105
"67","{chest=[-Inf;3.5],serum_cholestoral=[-Inf; Inf],fasting_blood_sugar=1,maximum_heart_rate_achieved=(147.5; Inf],exercise_induced_angina=0} => {class=absent}",0.0617283950617284,1,1.8,0.941176470588235,12.7894736842105,12.7894736842105
"68","{fasting_blood_sugar=1,exercise_induced_angina=0,slope=[-Inf;1.5]} => {class=absent}",0.0576131687242798,1,1.8,0.9375,11.8847161572052,11.8847161572052
"69","{age=[-Inf; Inf],fasting_blood_sugar=1,exercise_induced_angina=0,slope=[-Inf;1.5]} => {class=absent}",0.0576131687242798,1,1.8,0.9375,11.8847161572052,11.8847161572052
"70","{resting_blood_pressure=[-Inf; Inf],fasting_blood_sugar=1,exercise_induced_angina=0,slope=[-Inf;1.5]} => {class=absent}",0.0576131687242798,1,1.8,0.9375,11.8847161572052,11.8847161572052
"71","{serum_cholestoral=[-Inf; Inf],fasting_blood_sugar=1,exercise_induced_angina=0,slope=[-Inf;1.5]} => {class=absent}",0.0576131687242798,1,1.8,0.9375,11.8847161572052,11.8847161572052
"72","{chest=[-Inf;3.5],maximum_heart_rate_achieved=(147.5; Inf],number_of_major_vessels=(0.5; Inf],thal=[-Inf;4.5]} => {class=absent}",0.0534979423868313,1,1.8,0.933333333333333,10.9878260869565,10.9878260869565
"73","{sex=1,chest=(3.5; Inf],maximum_heart_rate_achieved=(147.5; Inf],number_of_major_vessels=(0.5; Inf]} => {class=present}",0.0534979423868313,1,2.25,0.933333333333333,17.1684782608696,17.1684782608696
"74","{chest=(3.5; Inf],maximum_heart_rate_achieved=(147.5; Inf],number_of_major_vessels=(0.5; Inf],thal=(4.5; Inf]} => {class=present}",0.0534979423868313,1,2.25,0.933333333333333,17.1684782608696,17.1684782608696
"75","{age=[-Inf; Inf],chest=[-Inf;3.5],maximum_heart_rate_achieved=(147.5; Inf],number_of_major_vessels=(0.5; Inf],thal=[-Inf;4.5]} => {class=absent}",0.0534979423868313,1,1.8,0.933333333333333,10.9878260869565,10.9878260869565
"76","{chest=[-Inf;3.5],resting_blood_pressure=[-Inf; Inf],maximum_heart_rate_achieved=(147.5; Inf],number_of_major_vessels=(0.5; Inf],thal=[-Inf;4.5]} => {class=absent}",0.0534979423868313,1,1.8,0.933333333333333,10.9878260869565,10.9878260869565
"77","{chest=[-Inf;3.5],serum_cholestoral=[-Inf; Inf],maximum_heart_rate_achieved=(147.5; Inf],number_of_major_vessels=(0.5; Inf],thal=[-Inf;4.5]} => {class=absent}",0.0534979423868313,1,1.8,0.933333333333333,10.9878260869565,10.9878260869565
"78","{age=[-Inf; Inf],sex=1,chest=(3.5; Inf],maximum_heart_rate_achieved=(147.5; Inf],number_of_major_vessels=(0.5; Inf]} => {class=present}",0.0534979423868313,1,2.25,0.933333333333333,17.1684782608696,17.1684782608696
"79","{sex=1,chest=(3.5; Inf],resting_blood_pressure=[-Inf; Inf],maximum_heart_rate_achieved=(147.5; Inf],number_of_major_vessels=(0.5; Inf]} => {class=present}",0.0534979423868313,1,2.25,0.933333333333333,17.1684782608696,17.1684782608696
"80","{sex=1,chest=(3.5; Inf],serum_cholestoral=[-Inf; Inf],maximum_heart_rate_achieved=(147.5; Inf],number_of_major_vessels=(0.5; Inf]} => {class=present}",0.0534979423868313,1,2.25,0.933333333333333,17.1684782608696,17.1684782608696
"81","{sex=1,chest=(3.5; Inf],fasting_blood_sugar=0,slope=[-Inf;1.5],number_of_major_vessels=(0.5; Inf]} => {class=present}",0.0534979423868313,1,2.25,0.933333333333333,17.1684782608696,17.1684782608696
"82","{age=[-Inf; Inf],chest=(3.5; Inf],maximum_heart_rate_achieved=(147.5; Inf],number_of_major_vessels=(0.5; Inf],thal=(4.5; Inf]} => {class=present}",0.0534979423868313,1,2.25,0.933333333333333,17.1684782608696,17.1684782608696
"83","{chest=(3.5; Inf],resting_blood_pressure=[-Inf; Inf],maximum_heart_rate_achieved=(147.5; Inf],number_of_major_vessels=(0.5; Inf],thal=(4.5; Inf]} => {class=present}",0.0534979423868313,1,2.25,0.933333333333333,17.1684782608696,17.1684782608696
"84","{chest=(3.5; Inf],serum_cholestoral=[-Inf; Inf],maximum_heart_rate_achieved=(147.5; Inf],number_of_major_vessels=(0.5; Inf],thal=(4.5; Inf]} => {class=present}",0.0534979423868313,1,2.25,0.933333333333333,17.1684782608696,17.1684782608696
"85","{age=[-Inf; Inf],sex=1,chest=(3.5; Inf],fasting_blood_sugar=0,slope=[-Inf;1.5],number_of_major_vessels=(0.5; Inf]} => {class=present}",0.0534979423868313,1,2.25,0.933333333333333,17.1684782608696,17.1684782608696
"86","{sex=1,chest=(3.5; Inf],resting_blood_pressure=[-Inf; Inf],fasting_blood_sugar=0,slope=[-Inf;1.5],number_of_major_vessels=(0.5; Inf]} => {class=present}",0.0534979423868313,1,2.25,0.933333333333333,17.1684782608696,17.1684782608696
"87","{sex=1,chest=(3.5; Inf],serum_cholestoral=[-Inf; Inf],fasting_blood_sugar=0,slope=[-Inf;1.5],number_of_major_vessels=(0.5; Inf]} => {class=present}",0.0534979423868313,1,2.25,0.933333333333333,17.1684782608696,17.1684782608696
"88","{sex=1,chest=(3.5; Inf],number_of_major_vessels=(0.5; Inf],thal=[-Inf;4.5]} => {class=present}",0.0493827160493827,1,2.25,0.928571428571429,15.7792207792208,15.7792207792208
"89","{age=[-Inf; Inf],sex=1,chest=(3.5; Inf],number_of_major_vessels=(0.5; Inf],thal=[-Inf;4.5]} => {class=present}",0.0493827160493827,1,2.25,0.928571428571429,15.7792207792208,15.7792207792208
"90","{sex=1,chest=(3.5; Inf],resting_blood_pressure=[-Inf; Inf],number_of_major_vessels=(0.5; Inf],thal=[-Inf;4.5]} => {class=present}",0.0493827160493827,1,2.25,0.928571428571429,15.7792207792208,15.7792207792208
"91","{sex=1,chest=(3.5; Inf],serum_cholestoral=[-Inf; Inf],number_of_major_vessels=(0.5; Inf],thal=[-Inf;4.5]} => {class=present}",0.0493827160493827,1,2.25,0.928571428571429,15.7792207792208,15.7792207792208
"92","{sex=0,slope=[-Inf;1.5],number_of_major_vessels=(0.5; Inf]} => {class=absent}",0.0452674897119342,1,1.8,0.923076923076923,9.21724137931035,9.21724137931035
"93","{sex=0,maximum_heart_rate_achieved=[-Inf;147.5],oldpeak=[-Inf;1.7],thal=[-Inf;4.5]} => {class=absent}",0.0452674897119342,1,1.8,0.923076923076923,9.21724137931035,9.21724137931035
"94","{sex=0,oldpeak=[-Inf;1.7],number_of_major_vessels=(0.5; Inf],thal=[-Inf;4.5]} => {class=absent}",0.0452674897119342,1,1.8,0.923076923076923,9.21724137931035,9.21724137931035
"95","{age=[-Inf; Inf],sex=0,slope=[-Inf;1.5],number_of_major_vessels=(0.5; Inf]} => {class=absent}",0.0452674897119342,1,1.8,0.923076923076923,9.21724137931035,9.21724137931035
"96","{sex=0,resting_blood_pressure=[-Inf; Inf],slope=[-Inf;1.5],number_of_major_vessels=(0.5; Inf]} => {class=absent}",0.0452674897119342,1,1.8,0.923076923076923,9.21724137931035,9.21724137931035
