"","rules","support","confidence","lift","laplace","chiSquared","weightedChiSquared"
"1","{SPIDERS=no,ALBUMIN=(3.85433070866; Inf]} => {Class=LIVE}",0.407142857142857,1,1.26126126126126,0.983050847457627,25.1188537935526,25.1188537935526
"2","{AGE=[-Inf; Inf],SPIDERS=no,ALBUMIN=(3.85433070866; Inf]} => {Class=LIVE}",0.407142857142857,1,1.26126126126126,0.983050847457627,25.1188537935526,25.1188537935526
"3","{SPIDERS=no,ALK_PHOSPHATE=[-Inf; Inf],ALBUMIN=(3.85433070866; Inf]} => {Class=LIVE}",0.407142857142857,1,1.26126126126126,0.983050847457627,25.1188537935526,25.1188537935526
"4","{SPIDERS=no,SGOT=[-Inf; Inf],ALBUMIN=(3.85433070866; Inf]} => {Class=LIVE}",0.407142857142857,1,1.26126126126126,0.983050847457627,25.1188537935526,25.1188537935526
"5","{LIVER_FIRM=no,SPLEEN_PALPABLE=no,SPIDERS=no,PROTIME=(44.5; Inf]} => {Class=LIVE}",0.371428571428571,1,1.26126126126126,0.981481481481482,21.6134316134316,21.6134316134316
"6","{LIVER_FIRM=no,SPLEEN_PALPABLE=no,SPIDERS=no,ASCITES=no} => {Class=LIVE}",0.371428571428571,1,1.26126126126126,0.981481481481482,21.6134316134316,21.6134316134316
"7","{LIVER_BIG=yes,SPIDERS=no,HISTOLOGY=no} => {Class=LIVE}",0.364285714285714,1,1.26126126126126,0.981132075471698,20.9596112966899,20.9596112966899
"8","{AGE=[-Inf; Inf],LIVER_BIG=yes,SPIDERS=no,HISTOLOGY=no} => {Class=LIVE}",0.364285714285714,1,1.26126126126126,0.981132075471698,20.9596112966899,20.9596112966899
"9","{LIVER_BIG=yes,SPIDERS=no,ALK_PHOSPHATE=[-Inf; Inf],HISTOLOGY=no} => {Class=LIVE}",0.364285714285714,1,1.26126126126126,0.981132075471698,20.9596112966899,20.9596112966899
"10","{LIVER_BIG=yes,SPIDERS=no,SGOT=[-Inf; Inf],HISTOLOGY=no} => {Class=LIVE}",0.364285714285714,1,1.26126126126126,0.981132075471698,20.9596112966899,20.9596112966899
"11","{ANOREXIA=no,LIVER_FIRM=no,SPIDERS=no,PROTIME=(44.5; Inf]} => {Class=LIVE}",0.357142857142857,1,1.26126126126126,0.980769230769231,20.3203203203203,20.3203203203203
"12","{LIVER_FIRM=no,SPIDERS=no,BILIRUBIN=[-Inf;1.35],PROTIME=(44.5; Inf]} => {Class=LIVE}",0.342857142857143,1,1.26126126126126,0.98,19.0834312573443,19.0834312573443
"13","{MALAISE=no,LIVER_FIRM=no,SPIDERS=no} => {Class=LIVE}",0.314285714285714,1,1.26126126126126,0.978260869565217,16.7642642642643,16.7642642642643
"14","{AGE=[-Inf; Inf],MALAISE=no,LIVER_FIRM=no,SPIDERS=no} => {Class=LIVE}",0.314285714285714,1,1.26126126126126,0.978260869565217,16.7642642642643,16.7642642642643
"15","{MALAISE=no,LIVER_FIRM=no,SPIDERS=no,ALK_PHOSPHATE=[-Inf; Inf]} => {Class=LIVE}",0.314285714285714,1,1.26126126126126,0.978260869565217,16.7642642642643,16.7642642642643
"16","{STEROID=yes,SPIDERS=no,VARICES=no} => {Class=LIVE}",0.307142857142857,1,1.26126126126126,0.977777777777778,16.2143586885855,16.2143586885855
"17","{STEROID=yes,SPIDERS=no,ASCITES=no} => {Class=LIVE}",0.307142857142857,1,1.26126126126126,0.977777777777778,16.2143586885855,16.2143586885855
"18","{AGE=[-Inf; Inf],STEROID=yes,SPIDERS=no,VARICES=no} => {Class=LIVE}",0.307142857142857,1,1.26126126126126,0.977777777777778,16.2143586885855,16.2143586885855
"19","{STEROID=yes,SPIDERS=no,VARICES=no,ALK_PHOSPHATE=[-Inf; Inf]} => {Class=LIVE}",0.307142857142857,1,1.26126126126126,0.977777777777778,16.2143586885855,16.2143586885855
"20","{MALAISE=no,SPIDERS=no,HISTOLOGY=no} => {Class=LIVE}",0.3,1,1.26126126126126,0.977272727272727,15.6756756756757,15.6756756756757
"21","{AGE=[-Inf; Inf],MALAISE=no,SPIDERS=no,HISTOLOGY=no} => {Class=LIVE}",0.3,1,1.26126126126126,0.977272727272727,15.6756756756757,15.6756756756757
"22","{MALAISE=no,SPIDERS=no,ALK_PHOSPHATE=[-Inf; Inf],HISTOLOGY=no} => {Class=LIVE}",0.3,1,1.26126126126126,0.977272727272727,15.6756756756757,15.6756756756757
"23","{MALAISE=no,SPIDERS=no,SGOT=[-Inf; Inf],HISTOLOGY=no} => {Class=LIVE}",0.3,1,1.26126126126126,0.977272727272727,15.6756756756757,15.6756756756757
"24","{FATIGUE=no,VARICES=no,ALBUMIN=(3.85433070866; Inf]} => {Class=LIVE}",0.242857142857143,1,1.26126126126126,0.972222222222222,11.7321094679585,11.7321094679585
"25","{AGE=[-Inf; Inf],FATIGUE=no,VARICES=no,ALBUMIN=(3.85433070866; Inf]} => {Class=LIVE}",0.242857142857143,1,1.26126126126126,0.972222222222222,11.7321094679585,11.7321094679585
"26","{FATIGUE=no,VARICES=no,ALK_PHOSPHATE=[-Inf; Inf],ALBUMIN=(3.85433070866; Inf]} => {Class=LIVE}",0.242857142857143,1,1.26126126126126,0.972222222222222,11.7321094679585,11.7321094679585
"27","{FATIGUE=no,VARICES=no,SGOT=[-Inf; Inf],ALBUMIN=(3.85433070866; Inf]} => {Class=LIVE}",0.242857142857143,1,1.26126126126126,0.972222222222222,11.7321094679585,11.7321094679585
"28","{FATIGUE=no,HISTOLOGY=no} => {Class=LIVE}",0.221428571428571,1,1.26126126126126,0.96969696969697,10.4025126043475,10.4025126043475
"29","{AGE=[-Inf; Inf],FATIGUE=no,HISTOLOGY=no} => {Class=LIVE}",0.221428571428571,1,1.26126126126126,0.96969696969697,10.4025126043475,10.4025126043475
"30","{FATIGUE=no,ALK_PHOSPHATE=[-Inf; Inf],HISTOLOGY=no} => {Class=LIVE}",0.221428571428571,1,1.26126126126126,0.96969696969697,10.4025126043475,10.4025126043475
"31","{FATIGUE=no,SGOT=[-Inf; Inf],HISTOLOGY=no} => {Class=LIVE}",0.221428571428571,1,1.26126126126126,0.96969696969697,10.4025126043475,10.4025126043475
"32","{STEROID=no,BILIRUBIN=[-Inf;1.35],ALBUMIN=(3.85433070866; Inf]} => {Class=LIVE}",0.178571428571429,1,1.26126126126126,0.962962962962963,7.95142969056012,7.95142969056013
"33","{AGE=[-Inf; Inf],STEROID=no,BILIRUBIN=[-Inf;1.35],ALBUMIN=(3.85433070866; Inf]} => {Class=LIVE}",0.178571428571429,1,1.26126126126126,0.962962962962963,7.95142969056012,7.95142969056013
"34","{STEROID=no,BILIRUBIN=[-Inf;1.35],ALK_PHOSPHATE=[-Inf; Inf],ALBUMIN=(3.85433070866; Inf]} => {Class=LIVE}",0.178571428571429,1,1.26126126126126,0.962962962962963,7.95142969056012,7.95142969056013
"35","{STEROID=no,BILIRUBIN=[-Inf;1.35],SGOT=[-Inf; Inf],ALBUMIN=(3.85433070866; Inf]} => {Class=LIVE}",0.178571428571429,1,1.26126126126126,0.962962962962963,7.95142969056012,7.95142969056013
"36","{STEROID=no,ANOREXIA=no,ALBUMIN=(3.85433070866; Inf]} => {Class=LIVE}",0.164285714285714,1,1.26126126126126,0.96,7.19026719026719,7.19026719026719
"37","{STEROID=no,ANOREXIA=no,LIVER_FIRM=no,PROTIME=(44.5; Inf]} => {Class=LIVE}",0.164285714285714,1,1.26126126126126,0.96,7.19026719026719,7.19026719026719
"38","{AGE=[-Inf; Inf],STEROID=no,ANOREXIA=no,ALBUMIN=(3.85433070866; Inf]} => {Class=LIVE}",0.164285714285714,1,1.26126126126126,0.96,7.19026719026719,7.19026719026719
"39","{STEROID=no,ANOREXIA=no,ALK_PHOSPHATE=[-Inf; Inf],ALBUMIN=(3.85433070866; Inf]} => {Class=LIVE}",0.164285714285714,1,1.26126126126126,0.96,7.19026719026719,7.19026719026719
"40","{BILIRUBIN=[-Inf;1.35],ALBUMIN=(3.85433070866; Inf],HISTOLOGY=yes} => {Class=LIVE}",0.157142857142857,1,1.26126126126126,0.958333333333333,6.81936173461597,6.81936173461597
"41","{STEROID=no,LIVER_FIRM=no,SPLEEN_PALPABLE=no,PROTIME=(44.5; Inf]} => {Class=LIVE}",0.157142857142857,1,1.26126126126126,0.958333333333333,6.81936173461597,6.81936173461597
"42","{AGE=[-Inf; Inf],BILIRUBIN=[-Inf;1.35],ALBUMIN=(3.85433070866; Inf],HISTOLOGY=yes} => {Class=LIVE}",0.157142857142857,1,1.26126126126126,0.958333333333333,6.81936173461597,6.81936173461597
"43","{BILIRUBIN=[-Inf;1.35],ALK_PHOSPHATE=[-Inf; Inf],ALBUMIN=(3.85433070866; Inf],HISTOLOGY=yes} => {Class=LIVE}",0.157142857142857,1,1.26126126126126,0.958333333333333,6.81936173461597,6.81936173461597
"44","{BILIRUBIN=[-Inf;1.35],SGOT=[-Inf; Inf],ALBUMIN=(3.85433070866; Inf],HISTOLOGY=yes} => {Class=LIVE}",0.157142857142857,1,1.26126126126126,0.958333333333333,6.81936173461597,6.81936173461597
"45","{FATIGUE=yes,MALAISE=no,SPIDERS=no,PROTIME=(44.5; Inf]} => {Class=LIVE}",0.15,1,1.26126126126126,0.956521739130435,6.45468998410175,6.45468998410175
"46","{FATIGUE=yes,MALAISE=no,SPIDERS=no,VARICES=no} => {Class=LIVE}",0.15,1,1.26126126126126,0.956521739130435,6.45468998410175,6.45468998410175
"47","{FATIGUE=yes,MALAISE=no,SPIDERS=no,ASCITES=no} => {Class=LIVE}",0.15,1,1.26126126126126,0.956521739130435,6.45468998410175,6.45468998410175
"48","{FATIGUE=yes,MALAISE=no,SPLEEN_PALPABLE=no,SPIDERS=no} => {Class=LIVE}",0.142857142857143,1,1.26126126126126,0.954545454545455,6.0960960960961,6.0960960960961
"49","{STEROID=no,LIVER_BIG=yes,SPLEEN_PALPABLE=no,HISTOLOGY=no} => {Class=LIVE}",0.142857142857143,1,1.26126126126126,0.954545454545455,6.0960960960961,6.0960960960961
"50","{STEROID=no,LIVER_BIG=yes,BILIRUBIN=[-Inf;1.35],HISTOLOGY=no} => {Class=LIVE}",0.142857142857143,1,1.26126126126126,0.954545454545455,6.0960960960961,6.0960960960961
"51","{FATIGUE=yes,LIVER_FIRM=yes,VARICES=no,BILIRUBIN=[-Inf;1.35]} => {Class=LIVE}",0.142857142857143,1,1.26126126126126,0.954545454545455,6.0960960960961,6.0960960960961
"52","{FATIGUE=yes,LIVER_FIRM=yes,ASCITES=no,BILIRUBIN=[-Inf;1.35]} => {Class=LIVE}",0.142857142857143,1,1.26126126126126,0.954545454545455,6.0960960960961,6.0960960960961
