"","rules","support","confidence","lift","laplace","chiSquared","weightedChiSquared"
"1","{TSH=[-Inf;6.05],TT4=(89.5;148.5]} => {Class=negative}",0.606890459363958,1,1.08394510054261,0.998547215496368,440.108504968853,440.108504968853
"2","{age=[-Inf; Inf],TSH=[-Inf;6.05],TT4=(89.5;148.5]} => {Class=negative}",0.606890459363958,1,1.08394510054261,0.998547215496368,440.108504968853,440.108504968853
"3","{hypopituitary=f,TSH=[-Inf;6.05],TT4=(89.5;148.5]} => {Class=negative}",0.606890459363958,1,1.08394510054261,0.998547215496368,440.108504968853,440.108504968853
"4","{TSH=[-Inf;6.05],TT4=(89.5;148.5],T4U=[-Inf; Inf]} => {Class=negative}",0.606890459363958,1,1.08394510054261,0.998547215496368,440.108504968853,440.108504968853
"5","{query.hypothyroid=f,TSH=[-Inf;6.05],FTI=(103.5; Inf]} => {Class=negative}",0.540047114252061,1,1.08394510054261,0.998367791077258,334.71974883862,334.71974883862
"6","{TSH=[-Inf;6.05],FTI.measured=t,FTI=(103.5; Inf]} => {Class=negative}",0.479387514723204,1,1.08394510054261,0.998161764705882,262.503546396339,262.503546396338
"7","{TSH=[-Inf;6.05],T4U.measured=t,FTI=(103.5; Inf]} => {Class=negative}",0.479093050647821,1,1.08394510054261,0.998160637645616,262.194003655898,262.194003655898
"8","{sex=F,TSH=[-Inf;6.05],FTI=(103.5; Inf]} => {Class=negative}",0.374852767962309,1,1.08394510054261,0.997650743931088,170.939112443036,170.939112443036
"9","{TSH=[-Inf;6.05],FTI=(79.5;103.5]} => {Class=negative}",0.275029446407538,1,1.08394510054261,0.99680170575693,108.148839312546,108.148839312546
"10","{age=[-Inf; Inf],TSH=[-Inf;6.05],FTI=(79.5;103.5]} => {Class=negative}",0.275029446407538,1,1.08394510054261,0.99680170575693,108.148839312546,108.148839312546
"11","{hypopituitary=f,TSH=[-Inf;6.05],FTI=(79.5;103.5]} => {Class=negative}",0.275029446407538,1,1.08394510054261,0.99680170575693,108.148839312546,108.148839312546
"12","{TSH=[-Inf;6.05],T4U=[-Inf; Inf],FTI=(79.5;103.5]} => {Class=negative}",0.275029446407538,1,1.08394510054261,0.99680170575693,108.148839312546,108.148839312546
"13","{sex=M,query.hypothyroid=f,TSH=[-Inf;6.05]} => {Class=negative}",0.267962308598351,1,1.08394510054261,0.99671772428884,104.352606964144,104.352606964144
"14","{sex=M,TSH=[-Inf;6.05],FTI.measured=t} => {Class=negative}",0.260011778563015,1,1.08394510054261,0.996617812852311,100.168518405854,100.168518405854
"15","{sex=M,TSH=[-Inf;6.05],T4U.measured=t} => {Class=negative}",0.259717314487633,1,1.08394510054261,0.996613995485327,100.015278119518,100.015278119518
"16","{TSH=[-Inf;6.05],referral.source=SVI} => {Class=negative}",0.243521790341578,1,1.08394510054261,0.996389891696751,91.7707836952583,91.7707836952584
"17","{age=[-Inf; Inf],TSH=[-Inf;6.05],referral.source=SVI} => {Class=negative}",0.243521790341578,1,1.08394510054261,0.996389891696751,91.7707836952583,91.7707836952584
"18","{hypopituitary=f,TSH=[-Inf;6.05],referral.source=SVI} => {Class=negative}",0.243521790341578,1,1.08394510054261,0.996389891696751,91.7707836952583,91.7707836952584
"19","{TSH=[-Inf;6.05],T4U=[-Inf; Inf],referral.source=SVI} => {Class=negative}",0.243521790341578,1,1.08394510054261,0.996389891696751,91.7707836952583,91.7707836952584
"20","{TSH=[-Inf;6.05],T3.measured=f} => {Class=negative}",0.1849234393404,1,1.08394510054261,0.995253164556962,64.6780016567991,64.678001656799
