"","rules","support","confidence","lift","laplace","chiSquared","weightedChiSquared"
"1","{block_of_affere=yes,changes_in_node=lac_margin,no_of_nodes_in=[-Inf;2.5]} => {class=metastases}",0.276119402985075,1,1.83561643835616,0.926829268292683,42.7111989831945,42.7111989831945
"2","{block_of_affere=yes,lym_nodes_dimin=[-Inf;1.5],changes_in_node=lac_margin,no_of_nodes_in=[-Inf;2.5]} => {class=metastases}",0.276119402985075,1,1.83561643835616,0.926829268292683,42.7111989831945,42.7111989831945
"3","{block_of_affere=yes,bl_of_lymph_s=no,changes_in_node=lac_margin,no_of_nodes_in=[-Inf;2.5]} => {class=metastases}",0.276119402985075,1,1.83561643835616,0.926829268292683,42.7111989831945,42.7111989831945
"4","{block_of_affere=yes,regeneration_of=no,changes_in_node=lac_margin,no_of_nodes_in=[-Inf;2.5]} => {class=metastases}",0.276119402985075,1,1.83561643835616,0.926829268292683,42.7111989831945,42.7111989831945
"5","{block_of_affere=yes,by_pass=no,lym_nodes_enlar=[-Inf;2.5],no_of_nodes_in=[-Inf;2.5]} => {class=metastases}",0.208955223880597,1,1.83561643835616,0.90625,29.5776686482295,29.5776686482295
"6","{block_of_affere=yes,bl_of_lymph_c=no,lym_nodes_enlar=[-Inf;2.5],no_of_nodes_in=[-Inf;2.5]} => {class=metastases}",0.194029850746269,1,1.83561643835616,0.9,26.9563673262303,26.9563673262303
"7","{block_of_affere=no,special_forms=vesicles,dislocation_of=yes} => {class=malign_lymph}",0.171641791044776,1,2.43636363636364,0.888888888888889,39.8817362817363,39.8817362817363
"8","{block_of_affere=no,lym_nodes_dimin=[-Inf;1.5],special_forms=vesicles,dislocation_of=yes} => {class=malign_lymph}",0.171641791044776,1,2.43636363636364,0.888888888888889,39.8817362817363,39.8817362817363
"9","{block_of_affere=no,bl_of_lymph_s=no,special_forms=vesicles,dislocation_of=yes} => {class=malign_lymph}",0.171641791044776,1,2.43636363636364,0.888888888888889,39.8817362817363,39.8817362817363
"10","{block_of_affere=no,bl_of_lymph_c=no,special_forms=vesicles,dislocation_of=yes} => {class=malign_lymph}",0.171641791044776,1,2.43636363636364,0.888888888888889,39.8817362817363,39.8817362817363
