"","rules","support","confidence","lift","laplace","chiSquared","weightedChiSquared"
"1","{intensity.mean=(82.9815; Inf]} => {class=sky}",0.142857142857143,1,7,0.980263157894737,2079,2079
"2","{rawblue.mean=(101.7777; Inf]} => {class=sky}",0.142857142857143,1,7,0.980263157894737,2079,2079
"3","{value.mean=(101.7777; Inf]} => {class=sky}",0.142857142857143,1,7,0.980263157894737,2079,2079
"4","{region.pixel.count=9,intensity.mean=(82.9815; Inf]} => {class=sky}",0.142857142857143,1,7,0.980263157894737,2079,2079
"5","{hue.mean=(0.64353; Inf]} => {class=grass}",0.141414141414141,1,7,0.980066445182724,2054.54117647059,2054.54117647059
"6","{region.pixel.count=9,hue.mean=(0.64353; Inf]} => {class=grass}",0.141414141414141,1,7,0.980066445182724,2054.54117647059,2054.54117647059
"7","{exgreen.mean=(1.0555565; Inf],hue.mean=(0.64353; Inf]} => {class=grass}",0.141414141414141,1,7,0.980066445182724,2054.54117647059,2054.54117647059
"8","{short.line.density.2=[-Inf;0.0555555],hue.mean=(0.64353; Inf]} => {class=grass}",0.14045214045214,1,7,0.979933110367893,2038.28091773923,2038.28091773923
"9","{exblue.mean=[-Inf;-0.111111]} => {class=grass}",0.131794131794132,1,7,0.97864768683274,1893.56011080332,1893.56011080332
"10","{region.centroid.row=(162.5;210.5],hue.mean=(-2.094395;-1.84966]} => {class=path}",0.113997113997114,1,7,0.975409836065574,1604.96091205212,1604.96091205212
"11","{region.centroid.row=(162.5;210.5],rawgreen.mean=(36.05555;55.83335]} => {class=path}",0.111592111592112,1,7,0.97489539748954,1566.84786139686,1566.84786139686
"12","{region.centroid.row=(162.5;210.5],rawblue.mean=(48.8889;77.8889]} => {class=path}",0.107744107744108,1,7,0.974025974025974,1506.29433962264,1506.29433962264
"13","{region.centroid.row=(162.5;210.5],value.mean=(48.8889;77.8889]} => {class=path}",0.107744107744108,1,7,0.974025974025974,1506.29433962264,1506.29433962264
"14","{region.centroid.row=(162.5;210.5],intensity.mean=(46.8704;63.77775]} => {class=path}",0.0952380952380952,1,7,0.970731707317073,1313.05263157895,1313.05263157895
"15","{region.centroid.row=(162.5;210.5],rawred.mean=(41.94445;56.3333]} => {class=path}",0.0947570947570948,1,7,0.970588235294118,1305.72688629118,1305.72688629118
"16","{exred.mean=(0.7222225; Inf],hue.mean=(-1.51262;-0.28547]} => {class=brickface}",0.075036075036075,1,7,0.96319018404908,1011.93135725429,1011.93135725429
"17","{region.centroid.row=(162.5;210.5],exblue.mean=(28.72225;42.16665]} => {class=path}",0.0702260702260702,1,7,0.96078431372549,942.164511122607,942.164511122607
"18","{region.centroid.row=(210.5; Inf]} => {class=grass}",0.0658970658970659,1,7,0.958333333333333,879.988671472709,879.988671472709
"19","{region.centroid.row=(210.5; Inf],region.pixel.count=9} => {class=grass}",0.0658970658970659,1,7,0.958333333333333,879.988671472709,879.988671472709
"20","{region.centroid.row=(210.5; Inf],short.line.density.2=[-Inf;0.0555555]} => {class=grass}",0.0644540644540645,1,7,0.957446808510638,859.391259640103,859.391259640103
"21","{exgreen.mean=(-8.5;-6.277775],hue.mean=(-1.51262;-0.28547]} => {class=brickface}",0.0586820586820587,1,7,0.953488372093023,777.633111905979,777.633111905979
"22","{exred.mean=(0.7222225; Inf],exgreen.mean=(-8.5;-6.277775]} => {class=brickface}",0.0577200577200577,1,7,0.952755905511811,764.104134762634,764.104134762634
"23","{exred.mean=(0.7222225; Inf],exblue.mean=(1.166665;5.388885]} => {class=brickface}",0.0562770562770563,1,7,0.951612903225806,743.862385321101,743.862385321101
"24","{region.centroid.row=(162.5;210.5],rawblue.mean=(8.833335;19.83335]} => {class=grass}",0.0562770562770563,1,7,0.951612903225806,743.862385321101,743.862385321101
"25","{intensity.mean=(4.48148;6.7963],hue.mean=(-1.51262;-0.28547]} => {class=brickface}",0.0553150553150553,1,7,0.950819672131147,730.402240325866,730.402240325866
"26","{exgreen.mean=(-8.5;-6.277775],value.mean=(6.5;8.5]} => {class=brickface}",0.0538720538720539,1,7,0.949579831932773,710.26334519573,710.26334519573
"27","{value.mean=(6.5;8.5],hue.mean=(-1.51262;-0.28547]} => {class=brickface}",0.0533910533910534,1,7,0.949152542372881,703.564024390244,703.564024390244
"28","{rawred.mean=(6.388885;8.611115],hue.mean=(-1.51262;-0.28547]} => {class=brickface}",0.051948051948052,1,7,0.947826086956522,683.506849315069,683.506849315068
"29","{rawred.mean=(6.388885;8.611115],exred.mean=(0.7222225; Inf]} => {class=brickface}",0.051948051948052,1,7,0.947826086956522,683.506849315069,683.506849315068
"30","{saturation.mean=(0.5273295;0.6216975],hue.mean=(-1.51262;-0.28547]} => {class=brickface}",0.050986050986051,1,7,0.946902654867257,670.169285352256,670.169285352256
"31","{exred.mean=(0.7222225; Inf],saturation.mean=(0.5273295;0.6216975]} => {class=brickface}",0.050986050986051,1,7,0.946902654867257,670.169285352256,670.169285352256
"32","{rawgreen.mean=(2.722225;4.166665],hue.mean=(-1.51262;-0.28547]} => {class=brickface}",0.0495430495430495,1,7,0.945454545454545,650.213562753037,650.213562753036
"33","{region.centroid.row=(210.5; Inf],short.line.density.5=[-Inf;0.0555555]} => {class=grass}",0.0485810485810486,1,7,0.944444444444444,636.943377148635,636.943377148635
"34","{rawblue.mean=(6.166665;8.833335],exgreen.mean=(-8.5;-6.277775]} => {class=brickface}",0.0481000481000481,1,7,0.94392523364486,630.318342597271,630.318342597271
"35","{rawred.mean=(18.5;22.94445],rawgreen.mean=(12.38885;16.94445]} => {class=brickface}",0.0476190476190476,1,7,0.943396226415094,623.7,623.7
"36","{hedge.sd=(0.02962965;0.3442655],hue.mean=(-1.51262;-0.28547]} => {class=brickface}",0.0452140452140452,1,7,0.940594059405941,590.708312342569,590.708312342569
"37","{region.centroid.row=(210.5; Inf],rawblue.mean=(8.833335;19.83335]} => {class=grass}",0.0442520442520443,1,7,0.939393939393939,577.558127830901,577.558127830901
