"","rules","support","confidence","lift","laplace","chiSquared","weightedChiSquared"
"1","{CIRCULARITY=(40.5;49.5],RADIUS.RATIO=[-Inf;170.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16]} => {Class=van}",0.089238845144357,1,4.25698324022346,0.958333333333333,243.175567111555,243.175567111555
"2","{RADIUS.RATIO=[-Inf;170.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],ELONGATEDNESS=(41.5;44.5]} => {Class=van}",0.0721784776902887,1,4.25698324022346,0.949152542372881,193.069543985524,193.069543985524
"3","{CIRCULARITY=(40.5;49.5],SKEWNESS.ABOUT_MAJOR=(74.5; Inf],KURTOSIS.ABOUT_MINOR=(177.5;181.5]} => {Class=bus}",0.068241469816273,1,3.88775510204082,0.946428571428571,161.16113825812,161.16113825812
"4","{CIRCULARITY=(40.5;49.5],PR.AXIS.RECTANGULARITY=(18.5;19.5],KURTOSIS.ABOUT_MINOR=(177.5;181.5]} => {Class=bus}",0.068241469816273,1,3.88775510204082,0.946428571428571,161.16113825812,161.16113825812
"5","{CIRCULARITY=(40.5;49.5],SCATTER.RATIO=(140.5;154.5],KURTOSIS.ABOUT_MINOR=(177.5;181.5]} => {Class=bus}",0.068241469816273,1,3.88775510204082,0.946428571428571,161.16113825812,161.16113825812
"6","{CIRCULARITY=(40.5;49.5],SCALED.VARIANCE_MINOR=(298.5;347.5],KURTOSIS.ABOUT_MINOR=(177.5;181.5]} => {Class=bus}",0.068241469816273,1,3.88775510204082,0.946428571428571,161.16113825812,161.16113825812
"7","{MAX.LENGTH.ASPECT.RATIO=(8.5;16],SCALED.VARIANCE_MAJOR=(163.5;180.5],SCALED.RADIUS.OF.GYRATION=(170.5;192.5]} => {Class=van}",0.0643044619422572,1,4.25698324022346,0.943396226415094,170.559944212432,170.559944212432
"8","{RADIUS.RATIO=[-Inf;170.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],SCALED.VARIANCE_MINOR=(347.5;389.5]} => {Class=van}",0.0643044619422572,1,4.25698324022346,0.943396226415094,170.559944212432,170.559944212432
"9","{PR.AXIS.ASPECT.RATIO=(68.5;86.5],MAX.LENGTH.ASPECT.RATIO=[-Inf;7.5]} => {Class=bus}",0.062992125984252,1,3.88775510204082,0.942307692307692,147.9307151432,147.9307151432
"10","{RADIUS.RATIO=[-Inf;170.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],SCALED.RADIUS.OF.GYRATION=(170.5;192.5]} => {Class=van}",0.0616797900262467,1,4.25698324022346,0.941176470588235,163.140696175333,163.140696175333
"11","{MAX.LENGTH.ASPECT.RATIO=(8.5;16],ELONGATEDNESS=(41.5;44.5],SCALED.RADIUS.OF.GYRATION=(170.5;192.5]} => {Class=van}",0.0616797900262467,1,4.25698324022346,0.941176470588235,163.140696175333,163.140696175333
"12","{PR.AXIS.ASPECT.RATIO=(68.5;86.5],MAX.LENGTH.ASPECT.RATIO=[-Inf;7.5],SKEWNESS.ABOUT_MINOR=[-Inf;11.5]} => {Class=bus}",0.0590551181102362,1,3.88775510204082,0.938775510204082,138.104773290069,138.104773290069
"13","{MAX.LENGTH.ASPECT.RATIO=(8.5;16],SCALED.VARIANCE_MAJOR=(163.5;180.5],SKEWNESS.ABOUT_MAJOR=(64.5;74.5]} => {Class=van}",0.0590551181102362,1,4.25698324022346,0.938775510204082,155.762838643323,155.762838643323
