"","rules","support","confidence","lift","laplace","chiSquared","weightedChiSquared"
"1","{Feature.1=[-Inf;-0.1235]} => {Class=hid}",0.0471380471380471,1,11,0.811320754716981,440.777385159011,440.777385159011
"2","{Feature.1=[-Inf;-0.1235],Feature.9=[-Inf; Inf]} => {Class=hid}",0.0471380471380471,1,11,0.811320754716981,440.777385159011,440.777385159011
"3","{Feature.1=[-Inf;-0.1235],Feature.8=[-Inf;0.122]} => {Class=hid}",0.0460157126823793,1,11,0.807692307692308,429.776470588235,429.776470588235
"4","{Feature.1=[-Inf;-0.1235],Feature.8=[-Inf;0.122],Feature.9=[-Inf; Inf]} => {Class=hid}",0.0460157126823793,1,11,0.807692307692308,429.776470588235,429.776470588235
"5","{Feature.1=[-Inf;-0.1235],Feature.2=[-Inf;0.4725]} => {Class=hid}",0.042648709315376,1,11,0.795918367346939,396.928487690504,396.928487690504
"6","{Feature.1=[-Inf;-0.1235],Feature.2=[-Inf;0.4725],Feature.9=[-Inf; Inf]} => {Class=hid}",0.042648709315376,1,11,0.795918367346939,396.928487690504,396.928487690504
"7","{Feature.0=[-Inf;-4.6685],Feature.2=[-Inf;0.4725]} => {Class=hud}",0.0246913580246914,1,11,0.696969696969697,225.569620253165,225.569620253165
"8","{Feature.0=[-Inf;-4.6685],Feature.2=[-Inf;0.4725],Feature.9=[-Inf; Inf]} => {Class=hud}",0.0246913580246914,1,11,0.696969696969697,225.569620253165,225.569620253165
"9","{Feature.0=[-Inf;-4.6685],Feature.2=[-Inf;0.4725],Feature.5=[-Inf;1.451]} => {Class=hud}",0.0235690235690236,1,11,0.6875,215.068965517241,215.068965517241
"10","{Feature.0=(-2.1225;-1.6645],Feature.4=(-0.7345;0.1845],Feature.7=(-0.69;0.1185]} => {Class=hAd}",0.021324354657688,1,11,0.666666666666667,194.139908256881,194.139908256881
"11","{Feature.0=[-Inf;-4.6685],Feature.3=(-0.0225;0.829]} => {Class=hud}",0.0202020202020202,1,11,0.655172413793103,183.711340206186,183.711340206186
