"","rules","support","confidence","orderedConf","orderedSupp"
"1","{condition=S,thick=[-Inf;0.799]} => {class=3}",0.340768277645111,1,1,275
"2","{condition=S,surface.quality=E} => {class=3}",0.313506811857224,1,1,115
"3","{family=,steel=A,condition=S} => {class=3}",0.281288713216782,1,1,33
"4","{ferro=,thick=[0.601;0.799]} => {class=3}",0.228004962205887,1,1,19
"5","{family=,bf=,thick=[0.451;0.799]} => {class=3}",0.228004962205887,1,1,24
"6","{hardness=[0;70],strength=[-Inf;500],surface.quality=G} => {class=3}",0.208178445696831,1,1,72
"7","{surface.quality=E,bt=,shape=SHEET} => {class=3}",0.185873612761497,1,1,6
"8","{formability=[2;2.22648752399],bf=,thick=[0.451;0.799]} => {class=3}",0.184634447097778,1,1,3
"9","{hardness=[45;70]} => {class=3}",0.152416363358498,1,1,7
"10","{bf=Y,shape=SHEET,width=[-Inf;1310]} => {class=3}",0.0916976481676102,1,1,1
"11","{carbon=[-Inf;8],hardness=[0;80],thick=[2.2;Inf]} => {class=3}",0.0904584899544716,1,1,2
"12","{steel=R,condition=S,surface.quality=} => {class=2}",0.079306073486805,1,1,64
"13","{carbon=[4;Inf],surface.quality=} => {class=3}",0.0768277570605278,1,1,54
"14","{family=TN} => {class=5}",0.0743494406342506,1,1,60
"15","{hardness=[80;Inf],cbond=} => {class=U}",0.0384138785302639,1,1,31
"16","{formability=2,surface.quality=,thick=[0.801;3]} => {class=2}",0.0322180911898613,1,1,4
"17","{hardness=[80;Inf],thick=[0.501;Inf]} => {class=U}",0.0309789348393679,1,1,2
"18","{carbon=[-Inf;65],surface.quality=,thick=[1.601;2]} => {class=2}",0.0223048329353333,1,1,5
"19","{hardness=[70;Inf],shape=SHEET} => {class=U}",0.0185873601585627,1,1,1
"20","{surface.quality=,bt=Y,len=[0;761]} => {class=3}",0.0173482038080692,1,1,1
"21","{steel=R,formability=2.22648752399,exptl=} => {class=3}",0.0161090455949306,1,1,2
"22","{steel=M,strength=[400;Inf]} => {class=2}",0.0123915737494826,1,1,10
"23","{enamelability=2} => {class=2}",0.00991325918585062,1,1,4
"24","{surface.finish=P} => {class=2}",0.00867410190403461,1,1,2
"25","{steel=S,carbon=[-Inf;65]} => {class=1}",0.00619578687474132,1,1,5
"26","{condition=,surface.quality=E,thick=[0.651;1.599]} => {class=U}",0.00619578687474132,1,1,1
"27","{carbon=[3;Inf],surface.quality=E} => {class=U}",0.00247831479646266,1,1,1
"28","{exptl=Y} => {class=1}",0.00123915739823133,1,1,1
"29","{steel=A,non.ageing=,surface.quality=} => {class=1}",0.00123915739823133,1,1,1
"30","{} => {class=3}",0.762081801891327,0.762081801891327,1,1
