"","rules","support","confidence","orderedConf","orderedSupp"
"1","{normalizedLosses=[77;123.060402685],numOfDoors=four,wheelBase=[95.1;97.2]} => {XClass=0}",0.128342241048813,1,1,24
"2","{wheelBase=[95.1;98.4],height=[52.4;55.6],curbWeight=[2050;2954]} => {XClass=0}",0.106951870024204,1,1,1
"3","{bodyStyle=sedan,wheelBase=[95.1;99.2],height=[52;55.6]} => {XClass=0}",0.0909090936183929,1,1,3
"4","{wheelBase=[94.3;98.4],height=[52;55.5],engineSize=[108;141]} => {XClass=0}",0.0855614989995956,1,1,1
"5","{numOfDoors=four,wheelBase=[-Inf;Inf],height=[52;53.3]} => {XClass=0}",0.0802139043807983,1,1,4
"6","{wheelBase=[-Inf;99.1],height=[-Inf;50.2]} => {XClass=3}",0.074866309762001,1,1,14
"7","{numOfDoors=four,driveWheels=rwd,length=[-Inf;187.5]} => {XClass=0}",0.0641711205244064,1,1,11
"8","{make=peugot} => {XClass=0}",0.0534759350121021,1,1,3
"9","{fuelSystem=mpfi,wheelBase=[97.3;99.8],highwayMpg=[29;Inf]} => {XClass=2}",0.0534759350121021,1,1,10
"10","{normalizedLosses=[-Inf;148],numOfCylinders=four,height=[55.7;56.1]} => {XClass=2}",0.0534759350121021,1,1,6
"11","{bodyStyle=wagon,wheelBase=[95.1;102.9]} => {XClass=0}",0.0481283403933048,1,1,2
"12","{bodyStyle=sedan,fuelSystem=mpfi,wheelBase=[97.3;99.8]} => {XClass=2}",0.0481283403933048,1,1,1
"13","{numOfDoors=two,driveWheels=fwd,highwayMpg=[-Inf;29]} => {XClass=3}",0.0481283403933048,1,1,5
"14","{length=[168.8;169]} => {XClass=3}",0.0427807494997978,1,1,3
"15","{normalizedLosses=[-Inf;83],width=[64;Inf]} => {XClass=-1}",0.0427807494997978,1,1,8
"16","{normalizedLosses=[-Inf;Inf],fuelType=diesel,price=[10795;24565]} => {XClass=0}",0.0427807494997978,1,1,1
"17","{normalizedLosses=[-Inf;122],width=[64;Inf],height=[56.3;Inf]} => {XClass=-1}",0.0427807494997978,1,1,4
"18","{make=toyota,numOfDoors=four,wheelBase=[95.9;Inf]} => {XClass=-1}",0.0320855602622032,1,1,2
"19","{normalizedLosses=[74;125],fuelType=diesel,height=[-Inf;55.6]} => {XClass=0}",0.0320855602622032,1,1,1
"20","{driveWheels=rwd,numOfCylinders=four,height=[50.5;52.5]} => {XClass=2}",0.0267379675060511,1,1,1
"21","{numOfCylinders=six,height=[50.2;52.6],bore=[2.91;Inf]} => {XClass=3}",0.0267379675060511,1,1,2
"22","{numOfDoors=two,width=[64.1;Inf],engineSize=[92;108]} => {XClass=2}",0.0267379675060511,1,1,4
"23","{make=volvo,height=[-Inf;56.1]} => {XClass=-1}",0.0213903747498989,1,1,4
"24","{bodyStyle=convertible,highwayMpg=[-Inf;29]} => {XClass=3}",0.0213903747498989,1,1,1
"25","{driveWheels=fwd,height=[50.5;55.6],highwayMpg=[-Inf;28]} => {XClass=0}",0.0213903747498989,1,1,3
"26","{bodyStyle=sedan,numOfCylinders=six,length=[-Inf;187.5]} => {XClass=0}",0.0213903747498989,1,1,1
"27","{height=56.2} => {XClass=-2}",0.0160427801311016,1,1,3
"28","{make=jaguar} => {XClass=0}",0.0160427801311016,1,1,1
"29","{wheelBase=[-Inf;88.4]} => {XClass=2}",0.0160427801311016,1,1,3
"30","{driveWheels=4wd,bore=[-Inf;3.17]} => {XClass=0}",0.0160427801311016,1,1,1
"31","{wheelBase=[-Inf;96.6],bore=[3.61;3.7]} => {XClass=2}",0.0160427801311016,1,1,2
"32","{bodyStyle=hardtop,numOfCylinders=four} => {XClass=2}",0.0160427801311016,1,1,1
"33","{engineType=ohc,numOfCylinders=six,height=[-Inf;55.6]} => {XClass=0}",0.0160427801311016,1,1,1
"34","{bodyStyle=hatchback,wheelBase=[95.1;97.3],height=[50.5;52.6]} => {XClass=2}",0.0106951873749495,1,1,1
"35","{aspiration=std,fuelSystem=spdi} => {XClass=-1}",0.00534759368747473,1,1,1
"36","{normalizedLosses=[94;Inf],height=[56.3;59.1]} => {XClass=0}",0.0588235296308994,0.916666686534882,0.666666666666667,2
"37","{} => {XClass=1}",0.262032091617584,0.262032091617584,0.98,49
