"","rules","support","confidence","orderedConf","orderedSupp"
"1","{wheelBase=[88.4;94.5],width=[63.8;64.2],engineSize=[61;103]} => {XClass=1}",0.172043010592461,1,1,32
"2","{wheelBase=[95.1;98.4],height=[52.4;55.6],curbWeight=[2017;2954]} => {XClass=0}",0.112903222441673,1,1,21
"3","{wheelBase=[94.3;98.4],height=[52;55.5],engineSize=[108;145]} => {XClass=0}",0.102150537073612,1,1,1
"4","{wheelBase=[95.1;97.3],height=[52;55.6],cityMpg=[-Inf;30]} => {XClass=0}",0.102150537073612,1,1,1
"5","{normalizedLosses=[77;91],numOfDoors=four} => {XClass=0}",0.0860215052962303,1,1,4
"6","{bodyStyle=sedan,wheelBase=[95.1;99.2],height=[52;55.6]} => {XClass=0}",0.0806451588869095,1,1,3
"7","{normalizedLosses=[-Inf;102],numOfDoors=four,length=[175.6;Inf]} => {XClass=-1}",0.0806451588869095,1,1,15
"8","{wheelBase=[-Inf;99.1],height=[-Inf;50.2]} => {XClass=3}",0.0752688199281693,1,1,14
"9","{length=[-Inf;171.7],bore=[3.05;Inf],price=[10595;Inf]} => {XClass=3}",0.0645161271095276,1,1,4
"10","{length=[-Inf;172.4],height=[-Inf;52],highwayMpg=[-Inf;29]} => {XClass=3}",0.0645161271095276,1,1,1
"11","{make=peugot} => {XClass=0}",0.0591397844254971,1,1,11
"12","{numOfDoors=four,driveWheels=rwd,length=[-Inf;187.5]} => {XClass=0}",0.0591397844254971,1,1,3
"13","{bodyStyle=hatchback,engineType=ohc,width=[-Inf;63.8]} => {XClass=1}",0.0591397844254971,1,1,3
"14","{normalizedLosses=[-Inf;83],curbWeight=[2293;Inf]} => {XClass=-1}",0.0483870953321457,1,1,1
"15","{fuelSystem=mpfi,wheelBase=[97.3;99.8],highwayMpg=[29;Inf]} => {XClass=2}",0.0483870953321457,1,1,9
"16","{bodyStyle=sedan,fuelSystem=mpfi,wheelBase=[97.3;99.8]} => {XClass=2}",0.0483870953321457,1,1,5
"17","{bodyStyle=sedan,wheelBase=[96.6;99.8],bore=[-Inf;3.31]} => {XClass=2}",0.0483870953321457,1,1,3
"18","{normalizedLosses=[-Inf;Inf],fuelType=diesel,price=[10795;22018]} => {XClass=0}",0.0430107526481152,1,1,1
"19","{bodyStyle=hatchback,driveWheels=fwd,highwayMpg=[-Inf;29]} => {XClass=3}",0.0430107526481152,1,1,3
"20","{numOfDoors=two,bodyStyle=sedan,wheelBase=[-Inf;97.2]} => {XClass=1}",0.0430107526481152,1,1,2
"21","{wheelBase=[97.2;Inf],horsepower=[95;Inf],highwayMpg=[29;32]} => {XClass=2}",0.0430107526481152,1,1,1
"22","{numOfDoors=four,fuelSystem=2bbl,height=[-Inf;51.6]} => {XClass=1}",0.0376344099640846,1,1,1
"23","{make=toyota,numOfDoors=four,wheelBase=[95.9;Inf]} => {XClass=-1}",0.0322580635547638,1,1,1
