"","rules","support","confidence","orderedConf","orderedSupp"
"1","{Clump_Thickness=[5;Inf],Cell_Shape_Uniformity=[5;Inf],Bland_Chromatin=[4;Inf],Normal_Nucleoli=[3;Inf]} => {Class=malignant}",0.155802860856056,1,1,98
"2","{Cell_Shape_Uniformity=[5;Inf],Bare_Nuclei=[4;Inf],Bland_Chromatin=[4;Inf],Normal_Nucleoli=[3;Inf]} => {Class=malignant}",0.154213041067123,1,1,16
"3","{Clump_Thickness=[5;Inf],Cell_Size_Uniformity=[5;Inf],Bland_Chromatin=[4;Inf],Normal_Nucleoli=[3;Inf]} => {Class=malignant}",0.152623206377029,1,1,12
"4","{Clump_Thickness=[7;Inf],Cell_Shape_Uniformity=[5;Inf]} => {Class=malignant}",0.151033386588097,1,1,34
"5","{Cell_Size_Uniformity=[5;Inf],Bare_Nuclei=[4;Inf],Bland_Chromatin=[4;Inf],Normal_Nucleoli=[3;Inf]} => {Class=malignant}",0.151033386588097,1,1,1
"6","{Clump_Thickness=[7;Inf],Cell_Size_Uniformity=[5;Inf]} => {Class=malignant}",0.144674092531204,1,1,5
"7","{Marginal_Adhesion=[7;Inf],Bland_Chromatin=[3;Inf]} => {Class=malignant}",0.135135129094124,1,1,15
"8","{Marginal_Adhesion=[6;Inf],Bare_Nuclei=[6;Inf]} => {Class=malignant}",0.127186015248299,1,1,3
"9","{Clump_Thickness=[7;Inf],Bare_Nuclei=[3;Inf],Normal_Nucleoli=[-Inf;7]} => {Class=malignant}",0.116057232022285,1,1,11
"10","{Clump_Thickness=[7;Inf],Bland_Chromatin=[4;Inf],Normal_Nucleoli=[-Inf;7]} => {Class=malignant}",0.0969793349504471,1,1,2
"11","{Clump_Thickness=[7;Inf],Marginal_Adhesion=[1;4],Bare_Nuclei=[3;Inf]} => {Class=malignant}",0.0969793349504471,1,1,1
"12","{Clump_Thickness=[-Inf;7],Bare_Nuclei=[6;Inf],Bland_Chromatin=[4;Inf],Normal_Nucleoli=[3;Inf]} => {Class=malignant}",0.0937996804714203,1,1,2
"13","{Cell_Size_Uniformity=[5;Inf],Marginal_Adhesion=[2;4]} => {Class=malignant}",0.0747217833995819,1,1,3
"14","{Marginal_Adhesion=[2;4],Bare_Nuclei=[6;Inf]} => {Class=malignant}",0.0731319561600685,1,1,5
"15","{Clump_Thickness=[5;Inf],Marginal_Adhesion=[4;Inf],Normal_Nucleoli=[3;Inf],Mitoses=1} => {Class=malignant}",0.0683624818921089,1,1,1
"16","{Cell_Shape_Uniformity=[2;Inf],Single_Epi_Cell_Size=[-Inf;5],Bland_Chromatin=[4;Inf],Normal_Nucleoli=[3;6]} => {Class=malignant}",0.0620031803846359,1,1,1
"17","{Marginal_Adhesion=[1;4],Single_Epi_Cell_Size=[3;Inf],Mitoses=[2;Inf]} => {Class=malignant}",0.0604133531451225,1,1,1
"18","{Cell_Shape_Uniformity=[6;Inf],Bare_Nuclei=[1;7],Bland_Chromatin=[4;Inf]} => {Class=malignant}",0.0556438788771629,1,1,1
"19","{Marginal_Adhesion=[1;2],Single_Epi_Cell_Size=[3;Inf],Bland_Chromatin=[4;Inf]} => {Class=malignant}",0.0413354523479939,1,1,2
"20","{Clump_Thickness=[4;Inf],Single_Epi_Cell_Size=[3;Inf],Bare_Nuclei=[2;3],Normal_Nucleoli=[3;Inf]} => {Class=malignant}",0.0254372023046017,1,1,1
"21","{Single_Epi_Cell_Size=[-Inf;2],Bare_Nuclei=[4;Inf],Normal_Nucleoli=[2;Inf]} => {Class=malignant}",0.0190779007971287,1,1,1
"22","{} => {Class=benign}",0.65500795841217,0.65500795841217,0.997578692493947,412
