"","rules","support","confidence","orderedConf","orderedSupp"
"1","{surgery=yes,pain=continuous severe pain,packed_cell_volume=[31;Inf]} => {surgical_lesion=yes}",0.108433738350868,1,1,36
"2","{surgery=yes,pulse=[60;Inf],peripheral_pulse=normal} => {surgical_lesion=yes}",0.0903614461421967,1,1,26
"3","{surgery=yes,peristalsis=absent,outcome=lived} => {surgical_lesion=yes}",0.0873493999242783,1,1,15
"4","{surgery=yes,capillary_refill_time=<3,outcome=died} => {surgical_lesion=yes}",0.0873493999242783,1,1,18
"5","{surgery=yes,nasogastric_tube=slight,packed_cell_volume=[47;Inf]} => {surgical_lesion=yes}",0.0873493999242783,1,1,7
"6","{peristalsis=hypomotile,packed_cell_volume=[37.5;Inf],outcome=died} => {surgical_lesion=yes}",0.0873493999242783,1,1,11
"7","{surgery=yes,abdomen=distended small intestine,packed_cell_volume=[44;Inf]} => {surgical_lesion=yes}",0.0873493999242783,1,1,6
"8","{Age=adult,packed_cell_volume=[48;Inf],abdominocentesis_appearance=serosanguinous} => {surgical_lesion=yes}",0.0843373462557793,1,1,4
"9","{surgery=yes,nasogastric_reflux=>1l,packed_cell_volume=[-Inf;74]} => {surgical_lesion=yes}",0.0843373462557793,1,1,6
"10","{surgery=yes,packed_cell_volume=[48;Inf],outcome=lived} => {surgical_lesion=yes}",0.0783132538199425,1,1,4
"11","{surgery=yes,pulse=[38;Inf],nasogastric_reflux=<1l} => {surgical_lesion=yes}",0.0783132538199425,1,1,2
"12","{surgery=yes,abdominal_distension=moderate,nasogastric_tube=slight} => {surgical_lesion=yes}",0.0753012076020241,1,1,5
"13","{pulse=[55;Inf],peristalsis=hypomotile,abdominocentesis_appearance=serosanguinous} => {surgical_lesion=yes}",0.0753012076020241,1,1,2
"14","{Age=adult,abdominal_distension=moderate,outcome=died} => {surgical_lesion=yes}",0.0722891539335251,1,1,1
"15","{surgery=yes,pulse=[44;Inf],rectal_examination=decreased} => {surgical_lesion=yes}",0.0722891539335251,1,1,4
"16","{pulse=[60;Inf],peristalsis=absent,nasogastric_tube=slight} => {surgical_lesion=yes}",0.0692771077156067,1,1,1
"17","{pulse=[60;Inf],abdominal_distension=moderate,nasogastric_tube=slight} => {surgical_lesion=yes}",0.0692771077156067,1,1,2
