"","rules","support","confidence","orderedConf","orderedSupp"
"1","{A1=b,A9=t,A15=[444;Inf]} => {class=+}",0.110932476818562,1,1,69
"2","{A2=[29.58;Inf],A10=t,A15=[364;Inf]} => {class=+}",0.0980707406997681,1,1,21
"3","{A9=f,A10=t,A15=[-Inf;750]} => {class=-}",0.0868167206645012,1,1,54
"4","{A8=[1.04;Inf],A11=[1;9],A15=[396;Inf]} => {class=+}",0.083601288497448,1,1,11
"5","{A1=a,A9=f,A14=[-Inf;163]} => {class=-}",0.0739549845457077,1,1,36
"6","{A4=y,A9=f,A14=[-Inf;163]} => {class=-}",0.0739549845457077,1,1,29
"7","{A3=[2.5;Inf],A11=[1;9],A15=[364;Inf]} => {class=+}",0.0739549845457077,1,1,6
"8","{A2=[29.25;62.75],A7=v,A11=[3;Inf]} => {class=+}",0.0739549845457077,1,1,21
"9","{A2=[-Inf;56.42],A7=ff,A8=[-Inf;4.75]} => {class=-}",0.0675241127610207,1,1,20
"10","{A7=h,A9=t,A15=[221;Inf]} => {class=+}",0.0643086805939674,1,1,10
"11","{A3=[0.835;Inf],A6=c,A9=f} => {class=-}",0.0610932484269142,1,1,21
"12","{A2=[36.25;Inf],A8=[1.04;Inf],A15=[351;Inf]} => {class=+}",0.0594855323433876,1,1,2
"13","{A2=[36.25;Inf],A3=[2.71;Inf],A15=[364;Inf]} => {class=+}",0.0562700964510441,1,1,2
"14","{A1=b,A9=f,A10=t} => {class=-}",0.0530546605587006,1,1,3
"15","{A2=[-Inf;41.42],A6=i,A9=f} => {class=-}",0.0498392283916473,1,1,24
"16","{A6=i,A8=[-Inf;3.335],A9=f} => {class=-}",0.0466237924993038,1,1,1
"17","{A11=[3;Inf],A12=t,A15=[350;Inf]} => {class=+}",0.0450160764157772,1,1,1
"18","{A6=k,A9=f,A15=[-Inf;2510]} => {class=-}",0.0450160764157772,1,1,17
"19","{A3=[1.585;Inf],A6=i,A10=f} => {class=-}",0.0450160764157772,1,1,3
"20","{A6=i,A8=[-Inf;1.46],A14=[86;Inf]} => {class=-}",0.0434083603322506,1,1,2
"21","{A3=[1.29;Inf],A6=c,A11=[3;Inf]} => {class=+}",0.041800644248724,1,1,3
"22","{A7=h,A8=[-Inf;2.085],A9=f} => {class=-}",0.0401929244399071,1,1,7
"23","{A6=c,A11=[2;Inf],A14=[-Inf;120]} => {class=+}",0.0369774922728539,1,1,1
"24","{A6=cc,A9=t,A14=[-Inf;928]} => {class=+}",0.0369774922728539,1,1,14
"25","{A2=[23.33;Inf],A8=[-Inf;2.79],A13=s} => {class=-}",0.0353697761893272,1,1,11
"26","{A6=aa,A9=f} => {class=-}",0.0337620563805103,1,1,12
"27","{A6=x,A10=t} => {class=+}",0.0321543402969837,1,1,6
"28","{A7=v,A9=f,A13=s} => {class=-}",0.0321543402969837,1,1,6
"29","{A6=x,A8=[-Inf;3.5],A9=t} => {class=+}",0.0321543402969837,1,1,1
"30","{A2=[22.58;Inf],A6=q,A14=[-Inf;117]} => {class=+}",0.0321543402969837,1,1,4
"31","{A6=w,A9=t,A14=[-Inf;160]} => {class=+}",0.0289389062672853,1,1,8
"32","{A7=h,A9=f,A12=f} => {class=-}",0.0273311901837587,1,1,1
"33","{A3=[1.585;Inf],A7=bb,A9=f} => {class=-}",0.025723472237587,1,1,1
"34","{A2=[38.17;Inf],A3=[1.04;25.125],A6=q} => {class=+}",0.025723472237587,1,1,4
"35","{A6=m,A7=v,A9=f} => {class=-}",0.0241157561540604,1,1,1
"36","{A2=[37.58;Inf],A9=f,A12=t} => {class=-}",0.0241157561540604,1,1,2
"37","{A3=[1.08;Inf],A7=bb,A10=t} => {class=+}",0.0241157561540604,1,1,4
"38","{A3=[3.25;Inf],A6=x,A8=[0.04;Inf]} => {class=+}",0.0225080382078886,1,1,3
"39","{A4=y,A9=t,A15=[444;Inf]} => {class=+}",0.020900322124362,1,1,1
"40","{A6=m,A9=t,A13=g} => {class=+}",0.020900322124362,1,1,4
"41","{A6=q,A7=h,A14=[-Inf;216]} => {class=+}",0.020900322124362,1,1,2
"42","{A3=[1.29;Inf],A4=y,A11=[3;Inf]} => {class=+}",0.020900322124362,1,1,2
"43","{A6=d,A9=f,A14=[-Inf;422]} => {class=-}",0.020900322124362,1,1,6
"44","{A1=a,A2=[28.58;Inf],A6=q} => {class=+}",0.0192926041781902,1,1,1
"45","{A6=w,A9=t,A12=f} => {class=+}",0.0176848880946636,1,1,1
"46","{A6=aa,A9=t,A10=t} => {class=+}",0.0176848880946636,1,1,1
"47","{A3=[1.54;Inf],A6=m,A9=t} => {class=+}",0.0176848880946636,1,1,1
"48","{A3=[0.04;11.835],A6=m,A13=s} => {class=-}",0.0176848880946636,1,1,3
"49","{A6=e,A9=t,A14=[-Inf;150]} => {class=+}",0.0160771701484919,1,1,4
"50","{A1=,A10=f} => {class=-}",0.0144694531336427,1,1,2
"51","{A1=a,A6=q,A9=f} => {class=-}",0.0144694531336427,1,1,1
"52","{A1=b,A6=cc,A9=f} => {class=-}",0.0144694531336427,1,1,4
"53","{A4=y,A6=i,A8=[-Inf;8.29]} => {class=-}",0.0144694531336427,1,1,1
"54","{A1=a,A6=cc,A8=[-Inf;13]} => {class=+}",0.0128617361187935,1,1,2
"55","{A6=w,A9=f,A14=[-Inf;145]} => {class=-}",0.0128617361187935,1,1,2
"56","{A6=c,A7=bb,A14=[-Inf;163]} => {class=+}",0.0128617361187935,1,1,2
"57","{A1=a,A6=w,A15=[-Inf;2072]} => {class=-}",0.0112540191039443,1,1,3
"58","{A6=c,A9=t,A11=[1;2]} => {class=+}",0.0112540191039443,1,1,3
"59","{A3=[-Inf;11.25],A6=j,A15=[-Inf;948]} => {class=-}",0.0112540191039443,1,1,2
"60","{A7=bb,A10=f,A15=[314;Inf]} => {class=-}",0.0112540191039443,1,1,1
"61","{A4=y,A6=aa,A8=[0.54;Inf]} => {class=-}",0.0112540191039443,1,1,4
"62","{A6=k,A9=t,A15=[53;Inf]} => {class=+}",0.0112540191039443,1,1,1
"63","{A6=w,A9=t,A11=[1;2]} => {class=+}",0.00964630208909512,1,1,1
"64","{A6=i,A10=t,A12=f} => {class=+}",0.00964630208909512,1,1,1
"65","{A6=e,A12=t,A13=g} => {class=+}",0.00964630208909512,1,1,1
"66","{A2=[34.17;Inf],A6=aa,A9=t} => {class=+}",0.00964630208909512,1,1,1
"67","{A1=a,A6=d} => {class=-}",0.00803858507424593,1,1,1
"68","{A6=e,A9=f} => {class=-}",0.00803858507424593,1,1,3
"69","{A4=y,A6=w,A9=f} => {class=-}",0.00803858507424593,1,1,2
"70","{A3=[3.79;Inf],A7=ff,A11=[3;Inf]} => {class=+}",0.00803858507424593,1,1,2
"71","{A3=[0.67;Inf],A9=f,A14=[-Inf;120]} => {class=-}",0.127009645104408,0.987500011920929,1,1
"72","{A4=y,A8=[-Inf;1.46],A9=f} => {class=-}",0.0964630246162415,0.983606576919556,0.666666666666667,2
"73","{A8=[1.04;Inf],A11=[3;Inf],A12=f} => {class=+}",0.0900321528315544,0.982456147670746,0.666666666666667,2
"74","{A3=[1.585;Inf],A9=f,A15=[-Inf;2510]} => {class=-}",0.245980709791183,0.980769217014313,0.75,3
"75","{A3=[1.585;Inf],A9=f,A13=g} => {class=-}",0.231511250138283,0.979591846466064,1,1
"76","{A9=t,A11=[3;Inf],A14=[-Inf;130]} => {class=+}",0.128617361187935,0.97560977935791,0.75,3
"77","{A6=c,A8=[0.835;Inf],A11=[3;Inf]} => {class=+}",0.051446944475174,0.969696998596191,0.666666666666667,2
"78","{A9=f,A14=[-Inf;120],A15=[-Inf;2510]} => {class=-}",0.147909969091415,0.968421041965485,0.25,1
"79","{A8=[-Inf;1.46],A9=f,A13=g} => {class=-}",0.300643086433411,0.963917553424835,0.714285714285714,5
"80","{A4=y,A9=f,A13=g} => {class=-}",0.125401929020882,0.962962985038757,0.333333333333333,1
"81","{A3=[-Inf;5.125],A6=w,A9=f} => {class=-}",0.0353697761893272,0.95652174949646,0.5,1
"82","{A8=[-Inf;1.46],A9=f,A15=[-Inf;750]} => {class=-}",0.31511253118515,0.951456308364868,0.333333333333333,2
"83","{A9=t,A10=t,A14=[-Inf;117]} => {class=+}",0.154340833425522,0.950495064258575,0.75,3
"84","{A7=h,A9=t,A14=[-Inf;110]} => {class=+}",0.0530546605587006,0.942857146263123,1,3
"85","{A3=[1.29;Inf],A9=t,A10=t} => {class=+}",0.24758842587471,0.939024388790131,0.166666666666667,1
"86","{A4=u,A6=d,A10=f} => {class=-}",0.0241157561540604,0.9375,1,1
"87","{A2=[30.17;Inf],A9=t,A10=t} => {class=+}",0.162379413843155,0.935185194015503,0.333333333333333,1
"88","{A6=c,A9=t,A14=[-Inf;110]} => {class=+}",0.0450160764157772,0.933333337306976,0.6,3
"89","{A1=b,A6=aa,A8=[-Inf;1.375]} => {class=-}",0.0225080382078886,0.933333337306976,1,5
"90","{A7=bb,A9=t,A14=[-Inf;130]} => {class=+}",0.0225080382078886,0.933333337306976,1,2
"91","{A1=a,A9=t,A14=[-Inf;117]} => {class=+}",0.0868167206645012,0.931034505367279,1,4
"92","{A7=h,A9=t,A12=f} => {class=+}",0.0643086805939674,0.930232584476471,0.666666666666667,4
"93","{A8=[1.04;Inf],A9=t,A14=[-Inf;110]} => {class=+}",0.149517685174942,0.930000007152557,1,2
"94","{A2=[-Inf;48.5],A4=y,A6=k} => {class=-}",0.020900322124362,0.928571403026581,1,2
"95","{A4=u,A9=t,A14=[-Inf;117]} => {class=+}",0.186495169997215,0.927999973297119,0.666666666666667,2
"96","{A6=k,A10=f,A14=[86;Inf]} => {class=-}",0.0401929244399071,0.92592591047287,0.5,1
"97","{A7=bb,A10=f,A14=[163;Inf]} => {class=-}",0.0385852083563805,0.923076927661896,0.666666666666667,2
