"","rules","support","confidence","orderedConf","orderedSupp"
"1","{A1=b,A9=t,A15=[444;Inf]} => {class=+}",0.110932476818562,1,1,69
"2","{A2=[29.58;Inf],A10=t,A15=[364;Inf]} => {class=+}",0.0980707406997681,1,1,21
"3","{A8=[1.04;Inf],A11=[1;9],A15=[396;Inf]} => {class=+}",0.083601288497448,1,1,11
"4","{A3=[2.5;Inf],A11=[1;9],A15=[364;Inf]} => {class=+}",0.0739549845457077,1,1,6
"5","{A2=[29.25;62.75],A7=v,A11=[3;Inf]} => {class=+}",0.0739549845457077,1,1,21
"6","{A7=h,A9=t,A15=[221;Inf]} => {class=+}",0.0643086805939674,1,1,10
"7","{A2=[36.25;Inf],A8=[1.04;Inf],A15=[351;Inf]} => {class=+}",0.0594855323433876,1,1,2
"8","{A2=[36.25;Inf],A3=[2.71;Inf],A15=[364;Inf]} => {class=+}",0.0562700964510441,1,1,2
"9","{A11=[3;Inf],A12=t,A15=[350;Inf]} => {class=+}",0.0450160764157772,1,1,1
"10","{A3=[1.29;Inf],A6=c,A11=[3;Inf]} => {class=+}",0.041800644248724,1,1,3
"11","{A6=c,A11=[2;Inf],A14=[-Inf;120]} => {class=+}",0.0369774922728539,1,1,1
"12","{A6=cc,A9=t,A14=[-Inf;928]} => {class=+}",0.0369774922728539,1,1,14
"13","{A6=x,A10=t} => {class=+}",0.0321543402969837,1,1,6
"14","{A6=x,A8=[-Inf;3.5],A9=t} => {class=+}",0.0321543402969837,1,1,1
"15","{A2=[22.58;Inf],A6=q,A14=[-Inf;117]} => {class=+}",0.0321543402969837,1,1,4
"16","{A6=w,A9=t,A14=[-Inf;160]} => {class=+}",0.0289389062672853,1,1,8
"17","{A2=[38.17;Inf],A3=[1.04;25.125],A6=q} => {class=+}",0.025723472237587,1,1,4
"18","{A3=[1.08;Inf],A7=bb,A10=t} => {class=+}",0.0241157561540604,1,1,4
"19","{A3=[3.25;Inf],A6=x,A8=[0.04;Inf]} => {class=+}",0.0225080382078886,1,1,3
"20","{A4=y,A9=t,A15=[444;Inf]} => {class=+}",0.020900322124362,1,1,1
"21","{A6=m,A9=t,A13=g} => {class=+}",0.020900322124362,1,1,4
"22","{A6=q,A7=h,A14=[-Inf;216]} => {class=+}",0.020900322124362,1,1,2
"23","{A3=[1.29;Inf],A4=y,A11=[3;Inf]} => {class=+}",0.020900322124362,1,1,2
"24","{A1=a,A2=[28.58;Inf],A6=q} => {class=+}",0.0192926041781902,1,1,1
"25","{A6=w,A9=t,A12=f} => {class=+}",0.0176848880946636,1,1,1
"26","{A6=aa,A9=t,A10=t} => {class=+}",0.0176848880946636,1,1,1
"27","{A3=[1.54;Inf],A6=m,A9=t} => {class=+}",0.0176848880946636,1,1,1
"28","{A6=e,A9=t,A14=[-Inf;150]} => {class=+}",0.0160771701484919,1,1,4
"29","{A1=a,A6=cc,A8=[-Inf;13]} => {class=+}",0.0128617361187935,1,1,2
"30","{A6=c,A7=bb,A14=[-Inf;163]} => {class=+}",0.0128617361187935,1,1,2
"31","{A6=c,A9=t,A11=[1;2]} => {class=+}",0.0112540191039443,1,1,3
"32","{A6=k,A9=t,A15=[53;Inf]} => {class=+}",0.0112540191039443,1,1,1
"33","{A6=w,A9=t,A11=[1;2]} => {class=+}",0.00964630208909512,1,1,1
"34","{A6=i,A10=t,A12=f} => {class=+}",0.00964630208909512,1,1,1
"35","{A6=e,A12=t,A13=g} => {class=+}",0.00964630208909512,1,1,1
"36","{A2=[34.17;Inf],A6=aa,A9=t} => {class=+}",0.00964630208909512,1,1,1
"37","{A3=[3.79;Inf],A7=ff,A11=[3;Inf]} => {class=+}",0.00803858507424593,1,1,2
"38","{A8=[1.04;Inf],A11=[3;Inf],A12=f} => {class=+}",0.0900321528315544,0.982456147670746,0.666666666666667,2
"39","{A9=t,A11=[3;Inf],A14=[-Inf;130]} => {class=+}",0.128617361187935,0.97560977935791,0.75,3
"40","{A6=c,A8=[0.835;Inf],A11=[3;Inf]} => {class=+}",0.051446944475174,0.969696998596191,0.666666666666667,2
"41","{A9=t,A10=t,A14=[-Inf;117]} => {class=+}",0.154340833425522,0.950495064258575,0.5,3
"42","{A7=h,A9=t,A14=[-Inf;110]} => {class=+}",0.0530546605587006,0.942857146263123,1,3
"43","{A3=[1.29;Inf],A9=t,A10=t} => {class=+}",0.24758842587471,0.939024388790131,0.166666666666667,1
"44","{A2=[30.17;Inf],A9=t,A10=t} => {class=+}",0.162379413843155,0.935185194015503,0.333333333333333,1
"45","{A6=c,A9=t,A14=[-Inf;110]} => {class=+}",0.0450160764157772,0.933333337306976,0.6,3
"46","{A7=bb,A9=t,A14=[-Inf;130]} => {class=+}",0.0225080382078886,0.933333337306976,0.666666666666667,2
"47","{A1=a,A9=t,A14=[-Inf;117]} => {class=+}",0.0868167206645012,0.931034505367279,0.666666666666667,4
"48","{A7=h,A9=t,A12=f} => {class=+}",0.0643086805939674,0.930232584476471,0.666666666666667,4
"49","{A8=[1.04;Inf],A9=t,A14=[-Inf;110]} => {class=+}",0.149517685174942,0.930000007152557,0.5,2
"50","{A4=u,A9=t,A14=[-Inf;117]} => {class=+}",0.186495169997215,0.927999973297119,0.5,2
"51","{A1=a,A3=[3.625;Inf],A9=t} => {class=+}",0.0900321528315544,0.918032765388489,0.25,1
"52","{A6=q,A9=t,A10=f} => {class=+}",0.0176848880946636,0.916666686534882,1,1
"53","{A7=h,A8=[-Inf;1.335],A9=t} => {class=+}",0.0321543402969837,0.909090936183929,0.5,1
"54","{} => {class=-}",0.55466240644455,0.55466240644455,0.940652818991098,317
