"","rules","support","confidence","orderedConf","orderedSupp"
"1","{checking_status=no checking,purpose=used car,credit_amount=[-Inf;11560]} => {class=good}",0.0522222220897675,1,1,47
"2","{purpose=used car,housing=own,num_dependents=1} => {class=good}",0.0422222204506397,1,1,13
"3","{credit_amount=[-Inf;10875],savings_status=>=1000,num_dependents=1} => {class=good}",0.0388888902962208,1,1,29
"4","{checking_status=no checking,employment=4<=X<7,property_magnitude=car} => {class=good}",0.0377777777612209,1,1,25
"5","{credit_history=critical/other existing credit,savings_status=no known savings,job=skilled} => {class=good}",0.0366666652262211,1,1,26
"6","{checking_status=no checking,credit_history=existing paid,employment=4<=X<7} => {class=good}",0.0355555564165115,1,1,14
"7","{checking_status=no checking,employment=4<=X<7,own_telephone=yes} => {class=good}",0.0344444438815117,1,1,2
"8","{credit_amount=[-Inf;10875],savings_status=>=1000,housing=own} => {class=good}",0.0344444438815117,1,1,2
"9","{purpose=used car,housing=own,own_telephone=yes} => {class=good}",0.0322222225368023,1,1,1
"10","{checking_status=no checking,personal_status=male mar/wid,num_dependents=1} => {class=good}",0.0311111118644476,1,1,20
"11","{purpose=used car,personal_status=male single,property_magnitude=car} => {class=good}",0.0299999993294477,1,1,1
"12","{credit_history=critical/other existing credit,purpose=radio/tv,own_telephone=yes} => {class=good}",0.028888888657093,1,1,12
"13","{checking_status=no checking,duration=[-Inf;16],employment=4<=X<7} => {class=good}",0.028888888657093,1,1,4
"14","{checking_status=no checking,employment=>=7,property_magnitude=real estate} => {class=good}",0.0255555547773838,1,1,9
"15","{credit_history=critical/other existing credit,purpose=radio/tv,property_magnitude=real estate} => {class=good}",0.0244444441050291,1,1,6
"16","{duration=[-Inf;16],employment=4<=X<7,personal_status=female div/dep/mar} => {class=good}",0.0244444441050291,1,1,7
"17","{purpose=used car,personal_status=male single,job=high qualif/self emp/mgmt} => {class=good}",0.0244444441050291,1,1,6
"18","{personal_status=male single,foreign_worker=no} => {class=good}",0.0222222227603197,1,1,17
"19","{credit_history=critical/other existing credit,purpose=radio/tv,property_magnitude=car} => {class=good}",0.0211111102253199,1,1,5
"20","{property_magnitude=real estate,foreign_worker=no} => {class=good}",0.0199999995529652,1,1,2
"21","{duration=[-Inf;15],savings_status=<100,other_parties=guarantor} => {class=good}",0.0188888888806105,1,1,14
"22","{credit_history=critical/other existing credit,employment=4<=X<7,property_magnitude=car} => {class=good}",0.0177777782082558,1,1,2
"23","{duration=[-Inf;22],purpose=radio/tv,other_parties=guarantor} => {class=good}",0.0177777782082558,1,1,4
"24","{duration=[13;Inf],savings_status=100<=X<500,employment=4<=X<7} => {class=good}",0.0166666675359011,1,1,9
"25","{duration=[-Inf;16],other_parties=guarantor,property_magnitude=real estate} => {class=good}",0.0166666675359011,1,1,2
"26","{credit_history=critical/other existing credit,employment=4<=X<7,personal_status=female div/dep/mar} => {class=good}",0.0155555559322238,1,1,1
"27","{duration=[-Inf;20],credit_history=existing paid,purpose=business} => {class=good}",0.0155555559322238,1,1,8
"28","{credit_history=critical/other existing credit,savings_status=no known savings,property_magnitude=car} => {class=good}",0.0144444443285465,1,1,1
"29","{duration=[-Inf;16],credit_history=critical/other existing credit,employment=<1} => {class=good}",0.0144444443285465,1,1,8
"30","{purpose=used car,employment=1<=X<4,own_telephone=yes} => {class=good}",0.0144444443285465,1,1,1
"31","{purpose=used car,employment=4<=X<7,other_payment_plans=none} => {class=good}",0.0144444443285465,1,1,1
"32","{savings_status=500<=X<1000,employment=>=7,other_payment_plans=none} => {class=good}",0.0144444443285465,1,1,11
"33","{credit_history=existing paid,savings_status=100<=X<500,property_magnitude=real estate} => {class=good}",0.0133333336561918,1,1,4
"34","{employment=>=7,personal_status=male mar/wid} => {class=good}",0.0122222220525146,1,1,1
"35","{checking_status=>=200,property_magnitude=life insurance} => {class=good}",0.0122222220525146,1,1,8
"36","{checking_status=0<=X<200,savings_status=no known savings,property_magnitude=car} => {class=good}",0.0122222220525146,1,1,10
"37","{savings_status=no known savings,employment=>=7,property_magnitude=real estate} => {class=good}",0.0122222220525146,1,1,1
"38","{duration=[-Inf;16],savings_status=no known savings,employment=<1} => {class=good}",0.0122222220525146,1,1,4
"39","{savings_status=no known savings,employment=4<=X<7,property_magnitude=life insurance} => {class=good}",0.0122222220525146,1,1,1
"40","{checking_status=0<=X<200,purpose=used car,personal_status=male single} => {class=good}",0.0122222220525146,1,1,1
"41","{credit_history=critical/other existing credit,purpose=used car,job=high qualif/self emp/mgmt} => {class=good}",0.0122222220525146,1,1,1
"42","{duration=[-Inf;16],purpose=business,job=skilled} => {class=good}",0.0122222220525146,1,1,3
"43","{employment=1<=X<4,other_parties=guarantor,property_magnitude=real estate} => {class=good}",0.0122222220525146,1,1,2
"44","{duration=[-Inf;22],savings_status=500<=X<1000,employment=>=7} => {class=good}",0.0122222220525146,1,1,2
"45","{other_parties=guarantor,num_dependents=2} => {class=good}",0.0111111113801599,1,1,3
"46","{checking_status=<0,credit_history=critical/other existing credit,employment=4<=X<7} => {class=good}",0.0111111113801599,1,1,1
"47","{checking_status=no checking,employment=4<=X<7,job=unskilled resident} => {class=good}",0.0111111113801599,1,1,1
"48","{employment=4<=X<7,housing=rent,own_telephone=yes} => {class=good}",0.0111111113801599,1,1,1
"49","{duration=[-Inf;16],savings_status=100<=X<500,property_magnitude=real estate} => {class=good}",0.0111111113801599,1,1,1
"50","{purpose=business,savings_status=100<=X<500,housing=own} => {class=good}",0.0111111113801599,1,1,3
"51","{checking_status=>=200,employment=>=7,job=skilled} => {class=good}",0.0111111113801599,1,1,6
"52","{other_parties=guarantor,property_magnitude=real estate,job=unskilled resident} => {class=good}",0.0111111113801599,1,1,1
"53","{checking_status=no checking,employment=>=7,housing=rent} => {class=good}",0.00999999977648258,1,1,3
"54","{savings_status=no known savings,property_magnitude=life insurance,housing=rent} => {class=good}",0.00999999977648258,1,1,1
"55","{savings_status=no known savings,property_magnitude=car,num_dependents=2} => {class=good}",0.00999999977648258,1,1,1
"56","{duration=[-Inf;16],employment=4<=X<7,num_dependents=2} => {class=good}",0.00999999977648258,1,1,1
"57","{checking_status=no checking,purpose=radio/tv,property_magnitude=no known property} => {class=good}",0.00999999977648258,1,1,5
"58","{credit_history=critical/other existing credit,purpose=business,own_telephone=none} => {class=good}",0.00999999977648258,1,1,1
"59","{credit_history=delayed previously,savings_status=no known savings,housing=own} => {class=good}",0.00999999977648258,1,1,5
"60","{checking_status=0<=X<200,credit_history=delayed previously,savings_status=no known savings} => {class=good}",0.00999999977648258,1,1,2
"61","{checking_status=>=200,credit_history=existing paid,own_telephone=yes} => {class=good}",0.00999999977648258,1,1,5
"62","{savings_status=500<=X<1000,employment=>=7,own_telephone=none} => {class=good}",0.00999999977648258,1,1,1
"63","{credit_history=no credits/all paid,property_magnitude=no known property,foreign_worker=yes} => {class=bad}",0.00666666682809591,1,1,6
"64","{credit_history=no credits/all paid,num_dependents=2} => {class=bad}",0.00555555569007993,1,1,2
"65","{checking_status=<0,employment=1<=X<4,housing=for free} => {class=bad}",0.00444444455206394,1,1,3
"66","{savings_status=100<=X<500,property_magnitude=no known property,job=unskilled resident} => {class=bad}",0.00222222227603197,1,1,2
"67","{checking_status=no checking,duration=[-Inf;16],property_magnitude=real estate} => {class=good}",0.0622222237288952,0.982456147670746,0.933333333333333,14
"68","{checking_status=no checking,employment=4<=X<7,other_payment_plans=none} => {class=good}",0.0622222237288952,0.982456147670746,0.5,1
"69","{checking_status=no checking,duration=[-Inf;16],purpose=radio/tv} => {class=good}",0.0555555559694767,0.980392158031464,0.923076923076923,12
"70","{checking_status=no checking,credit_history=critical/other existing credit,other_payment_plans=none} => {class=good}",0.12777778506279,0.97457629442215,0.863636363636364,19
"71","{credit_history=critical/other existing credit,savings_status=no known savings,num_dependents=1} => {class=good}",0.0422222204506397,0.974358975887299,1,1
"72","{purpose=used car,credit_amount=[-Inf;9283],property_magnitude=car} => {class=good}",0.0388888902962208,0.972222208976746,0.5,1
"73","{duration=[-Inf;16],credit_history=critical/other existing credit,job=unskilled resident} => {class=good}",0.0377777777612209,0.971428573131561,1,3
"74","{checking_status=no checking,property_magnitude=real estate,own_telephone=yes} => {class=good}",0.0366666652262211,0.970588207244873,0.666666666666667,2
"75","{credit_history=critical/other existing credit,purpose=radio/tv,savings_status=<100} => {class=good}",0.0366666652262211,0.970588207244873,0.5,1
"76","{checking_status=no checking,purpose=radio/tv,property_magnitude=real estate} => {class=good}",0.0366666652262211,0.970588207244873,0.75,3
"77","{purpose=radio/tv,savings_status=no known savings,personal_status=male single} => {class=good}",0.0366666652262211,0.970588207244873,0.875,7
"78","{checking_status=no checking,purpose=radio/tv,employment=1<=X<4} => {class=good}",0.0333333350718021,0.967741906642914,0.666666666666667,2
"79","{duration=[-Inf;16],property_magnitude=real estate,num_dependents=2} => {class=good}",0.0333333350718021,0.967741906642914,0.875,7
"80","{purpose=radio/tv,employment=>=7,other_payment_plans=none} => {class=good}",0.0644444450736046,0.966666638851166,0.777777777777778,7
"81","{checking_status=no checking,employment=>=7,num_dependents=1} => {class=good}",0.0888888910412788,0.963855445384979,0.888888888888889,8
"82","{checking_status=no checking,purpose=radio/tv,savings_status=<100} => {class=good}",0.0577777773141861,0.962962985038757,1,1
"83","{savings_status=<100,other_parties=guarantor,other_payment_plans=none} => {class=good}",0.028888888657093,0.962962985038757,0.5,1
"84","{checking_status=no checking,num_dependents=2,own_telephone=yes} => {class=good}",0.0277777779847383,0.961538434028625,0.875,7
"85","{checking_status=no checking,duration=[-Inf;16],job=skilled} => {class=good}",0.106666669249535,0.959999978542328,0.5,4
"86","{checking_status=no checking,purpose=furniture/equipment,personal_status=male single} => {class=good}",0.0266666673123837,0.959999978542328,1,4
"87","{duration=[-Inf;22],employment=4<=X<7,own_telephone=yes} => {class=good}",0.0266666673123837,0.959999978542328,0.666666666666667,2
"88","{checking_status=no checking,personal_status=male single,property_magnitude=real estate} => {class=good}",0.0511111095547676,0.958333313465118,0.5,1
"89","{duration=[-Inf;16],credit_history=critical/other existing credit,employment=4<=X<7} => {class=good}",0.0255555547773838,0.958333313465118,1,1
"90","{purpose=radio/tv,employment=>=7,property_magnitude=real estate} => {class=good}",0.0233333334326744,0.954545438289642,0.5,1
"91","{duration=[-Inf;22],purpose=radio/tv,employment=4<=X<7} => {class=good}",0.0222222227603197,0.952380955219269,0.666666666666667,2
