"","rules","support","confidence","orderedConf","orderedSupp"
"1","{checking_status=no checking,purpose=used car,other_payment_plans=none} => {class=good}",0.0466666668653488,1,1,42
"2","{purpose=used car,credit_amount=[-Inf;7476],housing=own} => {class=good}",0.0433333329856396,1,1,13
"3","{checking_status=no checking,purpose=used car,credit_amount=[-Inf;7476]} => {class=good}",0.0411111116409302,1,1,2
"4","{checking_status=no checking,purpose=used car,personal_status=male single} => {class=good}",0.0388888902962208,1,1,2
"5","{checking_status=no checking,employment=4<=X<7,own_telephone=yes} => {class=good}",0.0344444438815117,1,1,24
"6","{checking_status=no checking,purpose=used car,job=skilled} => {class=good}",0.0333333350718021,1,1,1
"7","{checking_status=no checking,credit_amount=[2779;Inf],employment=4<=X<7} => {class=good}",0.0299999993294477,1,1,9
"8","{employment=4<=X<7,personal_status=female div/dep/mar,housing=own} => {class=good}",0.0277777779847383,1,1,15
"9","{checking_status=no checking,employment=>=7,property_magnitude=real estate} => {class=good}",0.0255555547773838,1,1,22
"10","{checking_status=no checking,employment=4<=X<7,personal_status=female div/dep/mar} => {class=good}",0.0255555547773838,1,1,2
"11","{credit_amount=[1346;Inf],savings_status=no known savings,employment=4<=X<7} => {class=good}",0.0255555547773838,1,1,13
"12","{checking_status=no checking,duration=[26;Inf],employment=>=7} => {class=good}",0.0233333334326744,1,1,14
"13","{savings_status=>=1000,property_magnitude=real estate} => {class=good}",0.0222222227603197,1,1,13
"14","{duration=[-Inf;33],credit_history=critical/other existing credit,purpose=used car} => {class=good}",0.0222222227603197,1,1,5
"15","{purpose=used car,personal_status=male single,job=high qualif/self emp/mgmt} => {class=good}",0.0222222227603197,1,1,4
"16","{personal_status=male single,foreign_worker=no} => {class=good}",0.0211111102253199,1,1,15
"17","{credit_history=critical/other existing credit,purpose=used car,credit_amount=[-Inf;6078]} => {class=good}",0.0211111102253199,1,1,1
"18","{purpose=used car,credit_amount=[-Inf;8133],employment=1<=X<4} => {class=good}",0.0211111102253199,1,1,2
"19","{purpose=used car,credit_amount=[-Inf;7476],savings_status=no known savings} => {class=good}",0.0211111102253199,1,1,2
"20","{checking_status=no checking,credit_history=existing paid,property_magnitude=no known property} => {class=good}",0.0188888888806105,1,1,13
"21","{credit_history=critical/other existing credit,savings_status=>=1000,num_dependents=1} => {class=good}",0.0188888888806105,1,1,4
"22","{credit_history=existing paid,credit_amount=[-Inf;4583],savings_status=>=1000} => {class=good}",0.0177777782082558,1,1,4
"23","{credit_amount=[-Inf;4583],savings_status=>=1000,own_telephone=yes} => {class=good}",0.0177777782082558,1,1,1
"24","{duration=[-Inf;54],employment=4<=X<7,job=high qualif/self emp/mgmt} => {class=good}",0.0177777782082558,1,1,7
"25","{property_magnitude=real estate,foreign_worker=no} => {class=good}",0.0166666675359011,1,1,3
"26","{duration=[-Inf;33],purpose=business,employment=4<=X<7} => {class=good}",0.0166666675359011,1,1,6
"27","{credit_amount=[-Inf;5866],savings_status=no known savings,employment=<1} => {class=good}",0.0166666675359011,1,1,11
"28","{checking_status=no checking,employment=4<=X<7,property_magnitude=real estate} => {class=good}",0.0155555559322238,1,1,5
"29","{checking_status=no checking,purpose=radio/tv,personal_status=male mar/wid} => {class=good}",0.0155555559322238,1,1,8
"30","{savings_status=500<=X<1000,employment=>=7,other_payment_plans=none} => {class=good}",0.0155555559322238,1,1,9
"31","{savings_status=no known savings,employment=<1,own_telephone=none} => {class=good}",0.0144444443285465,1,1,1
"32","{checking_status=no checking,personal_status=male mar/wid,property_magnitude=real estate} => {class=good}",0.0144444443285465,1,1,2
"33","{employment=1<=X<4,other_parties=guarantor,property_magnitude=real estate} => {class=good}",0.0144444443285465,1,1,11
"34","{duration=[26;Inf],credit_history=critical/other existing credit,savings_status=no known savings} => {class=good}",0.0144444443285465,1,1,1
"35","{employment=>=7,personal_status=male mar/wid} => {class=good}",0.0133333336561918,1,1,5
"36","{checking_status=0<=X<200,savings_status=no known savings,property_magnitude=car} => {class=good}",0.0133333336561918,1,1,7
"37","{savings_status=no known savings,employment=>=7,property_magnitude=real estate} => {class=good}",0.0133333336561918,1,1,3
