"","rules","support","confidence","orderedConf","orderedSupp"
"1","{RI=[1.51707;1.51786],Al=[-Inf;1.51],K=[0.12;0.61]} => {Type=build wind float}",0.127551019191742,1,1,25
"2","{Mg=[-Inf;2.41],Ba=[0.4;2.88]} => {Type=headlamps}",0.117346942424774,1,1,23
"3","{Al=[1.33;3.04],Ba=[0.4;2.88]} => {Type=headlamps}",0.117346942424774,1,1,1
"4","{RI=[-Inf;Inf],Mg=[-Inf;2.09],Ca=[7.78;9.54]} => {Type=headlamps}",0.117346942424774,1,1,1
"5","{Na=[12.86;Inf],Al=[1.79;Inf],Ca=[8.21;10.56]} => {Type=headlamps}",0.11224489659071,1,1,1
"6","{RI=[1.51719;1.51796],Ca=[-Inf;8.43]} => {Type=build wind float}",0.061224490404129,1,1,1
"7","{RI=[1.51768;1.51916],Ca=[6.65;8.42]} => {Type=build wind non-float}",0.0459183678030968,1,1,9
"8","{Al=[1.63;Inf],Ca=[7.08;8.35],Ba=[-Inf;0.61]} => {Type=build wind non-float}",0.0459183678030968,1,1,9
"9","{Na=[13.73;Inf],Mg=[-Inf;3.8],K=[-Inf;0],Ba=[-Inf;0.53]} => {Type=tableware}",0.0459183678030968,1,1,9
"10","{Na=[-Inf;14.46],Al=[-Inf;1.38],Ca=[10.09;Inf]} => {Type=build wind non-float}",0.0408163256943226,1,1,8
"11","{Na=[13.65;Inf],Mg=[0.33;Inf],K=[0.02;Inf],Ca=[8.62;9.61]} => {Type=build wind float}",0.0408163256943226,1,1,8
"12","{Na=[-Inf;Inf],Al=[1.06;Inf],Ca=[11.22;12.5]} => {Type=containers}",0.0357142873108387,1,1,7
"13","{Na=[12.98;Inf],K=[0.02;0.45],Ca=[10.09;11.64]} => {Type=build wind non-float}",0.0204081628471613,1,1,1
"14","{Na=[11.56;14.14],Mg=[-Inf;3.47],Al=[1.8;Inf],Ba=[-Inf;0.56]} => {Type=containers}",0.0204081628471613,1,1,4
"15","{RI=[1.51796;Inf],K=[0.61;0.73]} => {Type=build wind non-float}",0.0153061226010323,1,1,3
"16","{RI=[-Inf;1.51837],Na=[13.9;Inf],Mg=[2.71;Inf]} => {Type=build wind non-float}",0.0153061226010323,1,1,1
"17","{RI=[-Inf;Inf],Al=[1.86;Inf],Ca=[5.87;6.96]} => {Type=containers}",0.0153061226010323,1,1,1
"18","{RI=[1.5159;1.5175],K=[0.62;1.68]} => {Type=build wind non-float}",0.11224489659071,0.95652174949646,0.9375,15
"19","{RI=[1.51707;1.51808],Al=[1.12;1.51]} => {Type=build wind float}",0.158163264393806,0.939393937587738,0.833333333333333,5
"20","{RI=[1.51719;1.51793],K=[0.12;0.61]} => {Type=build wind float}",0.13775509595871,0.931034505367279,0.5,1
"21","{Al=[1.38;Inf],K=[0.02;0.63],Ca=[-Inf;8.35]} => {Type=build wind non-float}",0.0663265287876129,0.928571403026581,0.888888888888889,8
"22","{RI=[-Inf;1.51732],Al=[1.4;1.74],K=[0.02;0.63]} => {Type=build wind non-float}",0.061224490404129,0.923076927661896,1,2
"23","{Na=[13.65;Inf],Mg=[2.68;3.89],Ca=[8.61;11.62]} => {Type=build wind float}",0.061224490404129,0.923076927661896,0.8,4
"24","{RI=[1.518;Inf],Na=[-Inf;13.99],Al=[1.36;2.12],Ca=[-Inf;10.06]} => {Type=build wind non-float}",0.0357142873108387,0.875,0.833333333333333,5
"25","{RI=[1.51793;Inf],Mg=[2.84;Inf],Al=[-Inf;1.41],K=[0.02;0.61],Ca=[8.43;11.62]} => {Type=build wind float}",0.127551019191742,0.833333313465118,0.75,12
"26","{} => {Type=vehic wind float}",0.0816326513886452,0.0816326513886452,0.545454545454545,12
