"","rules","support","confidence","orderedConf","orderedSupp"
"1","{age=[-Inf;63],chest=4,fasting_blood_sugar=0,number_of_major_vessels=[1;Inf]} => {class=present}",0.164609059691429,1,1,40
"2","{chest=4,maximum_heart_rate_achieved=[112;Inf],exercise_induced_angina=1,thal=[7;Inf]} => {class=present}",0.131687238812447,1,1,15
"3","{exercise_induced_angina=1,oldpeak=[1.6;Inf],thal=[6;Inf]} => {class=present}",0.123456791043282,1,1,7
"4","{sex=1,chest=[-Inf;4],maximum_heart_rate_achieved=[-Inf;143],oldpeak=[1.6;Inf],slope=[2;Inf]} => {class=present}",0.119341567158699,1,1,6
"5","{chest=[-Inf;4],maximum_heart_rate_achieved=[-Inf;143],exercise_induced_angina=1,oldpeak=[1.6;Inf]} => {class=present}",0.115226335823536,1,1,1
"6","{age=[-Inf;61],maximum_heart_rate_achieved=[-Inf;147],oldpeak=[1.6;Inf]} => {class=present}",0.102880656719208,1,1,1
"7","{maximum_heart_rate_achieved=[-Inf;Inf],oldpeak=[1.9;Inf],number_of_major_vessels=[1;Inf],thal=[6;Inf]} => {class=present}",0.102880656719208,1,1,3
"8","{age=[-Inf;56],chest=4,slope=[2;Inf],thal=[6;Inf]} => {class=present}",0.0946502089500427,1,1,2
"9","{exercise_induced_angina=1,oldpeak=[1.5;Inf],number_of_major_vessels=[1;Inf]} => {class=present}",0.0905349776148796,1,1,1
"10","{age=[-Inf;56],sex=1,chest=4,maximum_heart_rate_achieved=[-Inf;147],slope=[2;Inf]} => {class=present}",0.0823045298457146,1,1,1
"11","{chest=4,maximum_heart_rate_achieved=[148;Inf],number_of_major_vessels=[1;Inf]} => {class=present}",0.0740740746259689,1,1,2
"12","{sex=1,chest=4,number_of_major_vessels=[1;Inf],thal=[3;6]} => {class=present}",0.0658436194062233,1,1,2
"13","{age=[53;Inf],chest=4,exercise_induced_angina=0,number_of_major_vessels=[1;Inf],thal=[6;Inf]} => {class=present}",0.0534979440271854,1,1,2
"14","{age=[55;Inf],maximum_heart_rate_achieved=[147;Inf],slope=[2;Inf],number_of_major_vessels=[1;Inf]} => {class=present}",0.0493827164173126,1,1,2
"15","{age=[-Inf;61],fasting_blood_sugar=0,exercise_induced_angina=0,number_of_major_vessels=[1;Inf],thal=[6;Inf]} => {class=present}",0.0493827164173126,1,1,1
"16","{age=[47;Inf],chest=4,exercise_induced_angina=1,slope=[2;Inf],thal=3} => {class=present}",0.0452674888074398,1,1,2
"17","{chest=4,fasting_blood_sugar=1,slope=[2;Inf]} => {class=present}",0.0370370373129845,1,1,1
"18","{fasting_blood_sugar=1,exercise_induced_angina=1,thal=[6;Inf]} => {class=present}",0.0370370373129845,1,1,1
"19","{sex=1,chest=4,maximum_heart_rate_achieved=[-Inf;147],exercise_induced_angina=0,slope=[2;Inf]} => {class=present}",0.0370370373129845,1,1,1
"20","{exercise_induced_angina=0,oldpeak=[-Inf;1.6],slope=[2;Inf],number_of_major_vessels=[1;Inf],thal=[6;Inf]} => {class=present}",0.0370370373129845,1,1,2
"21","{age=[58;Inf],sex=1,fasting_blood_sugar=0,maximum_heart_rate_achieved=[-Inf;163],oldpeak=[-Inf;1.6],thal=[3;6]} => {class=present}",0.0329218097031116,1,1,3
"22","{sex=1,fasting_blood_sugar=[0;1],maximum_heart_rate_achieved=[-Inf;150],exercise_induced_angina=0,oldpeak=[0.7;1.6],number_of_major_vessels=[0;Inf]} => {class=present}",0.0329218097031116,1,1,2
"23","{age=[54;Inf],sex=1,chest=[3;4],exercise_induced_angina=1,slope=1} => {class=present}",0.028806583955884,1,1,1
"24","{age=[55;Inf],sex=1,chest=[-Inf;3],oldpeak=[-Inf;1.6],slope=[2;Inf],thal=[6;Inf]} => {class=present}",0.0246913582086563,1,1,1
"25","{age=[52;Inf],sex=1,chest=[-Inf;3],fasting_blood_sugar=0,maximum_heart_rate_achieved=[-Inf;146],oldpeak=[-Inf;1.6]} => {class=present}",0.0164609048515558,1,1,1
"26","{} => {class=absent}",0.555555582046509,0.555555582046509,0.950704225352113,135
