"","rules","support","confidence","orderedConf","orderedSupp"
"1","{SEX=female,FATIGUE=yes,ANOREXIA=no,PROTIME=[-Inf;48]} => {Class=DIE}",0.0785714313387871,1,1,11
"2","{ASCITES=yes,BILIRUBIN=[1.4;Inf],HISTOLOGY=yes} => {Class=DIE}",0.0642857179045677,1,1,4
"3","{BILIRUBIN=[1;Inf],PROTIME=[29;47],HISTOLOGY=yes} => {Class=DIE}",0.0642857179045677,1,1,1
"4","{MALAISE=yes,LIVER_BIG=yes,VARICES=yes,HISTOLOGY=yes} => {Class=DIE}",0.0571428574621677,1,1,2
"5","{ALBUMIN=[-Inf;2.6]} => {Class=DIE}",0.0500000007450581,1,1,2
"6","{LIVER_FIRM=no,SPIDERS=yes,ALBUMIN=[-Inf;4.2],PROTIME=[50;76]} => {Class=DIE}",0.0500000007450581,1,1,3
"7","{STEROID=no,LIVER_BIG=} => {Class=DIE}",0.0357142873108387,1,1,2
"8","{LIVER_BIG=yes,LIVER_FIRM=yes,SPLEEN_PALPABLE=yes,BILIRUBIN=[1.3;Inf]} => {Class=DIE}",0.0214285720139742,1,1,1
"9","{SEX=female,BILIRUBIN=[1.4;Inf],ALBUMIN=[3.9;Inf],HISTOLOGY=yes} => {Class=DIE}",0.0142857143655419,1,1,1
"10","{MALAISE=yes,LIVER_BIG=no,ALBUMIN=[-Inf;3.80866141732],HISTOLOGY=no} => {Class=DIE}",0.00714285718277097,1,1,1
"11","{} => {Class=LIVE}",0.79285717010498,0.79285717010498,0.991071428571429,111
