"","rules","support","confidence","orderedConf","orderedSupp"
"1","{LIVER_BIG=yes,VARICES=no,BILIRUBIN=[0.5;3.9],PROTIME=[43;Inf]} => {Class=LIVE}",0.54285717010498,1,1,76
"2","{LIVER_BIG=yes,ASCITES=no,BILIRUBIN=[0.5;1.8],PROTIME=[42;Inf]} => {Class=LIVE}",0.514285743236542,1,1,3
"3","{MALAISE=no,ASCITES=no,BILIRUBIN=[0.5;1.8]} => {Class=LIVE}",0.492857128381729,1,1,13
"4","{BILIRUBIN=[-Inf;1.8],ALBUMIN=[3.9;Inf]} => {Class=LIVE}",0.471428573131561,1,1,9
"5","{LIVER_BIG=yes,BILIRUBIN=[-Inf;2.2],HISTOLOGY=no} => {Class=LIVE}",0.392857134342194,1,1,1
"6","{STEROID=yes,SPLEEN_PALPABLE=no,ASCITES=no,VARICES=no} => {Class=LIVE}",0.349999994039536,1,1,1
"7","{ALBUMIN=[3.9;Inf],HISTOLOGY=no} => {Class=LIVE}",0.328571438789368,1,1,2
"8","{ANTIVIRALS=no,LIVER_BIG=yes,ASCITES=no,HISTOLOGY=no} => {Class=LIVE}",0.307142853736877,1,1,1
"9","{FATIGUE=yes,LIVER_BIG=yes,ALBUMIN=[3.9;Inf]} => {Class=LIVE}",0.200000002980232,1,1,1
"10","{LIVER_BIG=no,BILIRUBIN=[-Inf;1.8]} => {Class=LIVE}",0.128571435809135,1,1,1
"11","{ANOREXIA=yes,VARICES=no,BILIRUBIN=[-Inf;2.8]} => {Class=LIVE}",0.128571435809135,1,1,1
"12","{SEX=female,FATIGUE=yes,ANOREXIA=no,PROTIME=[-Inf;48]} => {Class=DIE}",0.0928571447730064,1,1,13
"13","{BILIRUBIN=[1;Inf],PROTIME=[29;47],HISTOLOGY=yes} => {Class=DIE}",0.0714285746216774,1,1,1
"14","{SPLEEN_PALPABLE=yes,BILIRUBIN=[1.3;Inf],ALBUMIN=[-Inf;3.8]} => {Class=DIE}",0.0642857179045677,1,1,5
"15","{ASCITES=yes,BILIRUBIN=[1.4;Inf],HISTOLOGY=yes} => {Class=DIE}",0.0571428574621677,1,1,2
"16","{STEROID=yes,LIVER_BIG=yes,ASCITES=yes} => {Class=DIE}",0.0500000007450581,1,1,1
"17","{LIVER_BIG=yes,ASCITES=yes,VARICES=yes} => {Class=DIE}",0.0500000007450581,1,1,1
"18","{STEROID=yes,VARICES=yes,BILIRUBIN=[1.7;Inf],HISTOLOGY=yes} => {Class=DIE}",0.0428571440279484,1,1,1
"19","{FATIGUE=yes,LIVER_FIRM=,ALBUMIN=[-Inf;3.9]} => {Class=DIE}",0.0357142873108387,1,1,2
"20","{STEROID=no,ANOREXIA=no,BILIRUBIN=[1.7;Inf],HISTOLOGY=no} => {Class=DIE}",0.0142857143655419,1,1,1
"21","{SPLEEN_PALPABLE=no,BILIRUBIN=[1.4;Inf],ALBUMIN=[3.9;Inf],HISTOLOGY=yes} => {Class=DIE}",0.0142857143655419,1,1,1
"22","{} => {Class=LIVE}",0.79285717010498,0.79285717010498,0.666666666666667,2
