"","rules","support","confidence","orderedConf","orderedSupp"
"1","{TSH=[-Inf;6],TT4=[49;Inf]} => {Class=negative}",0.898055374622345,1,1,3048
"2","{query.hypothyroid=f,TSH=[-Inf;6],FTI=[55;Inf]} => {Class=negative}",0.851502656936646,1,1,13
"3","{sex=M,query.hypothyroid=f,TSH=[-Inf;6]} => {Class=negative}",0.270477324724197,1,1,5
"4","{TSH=[-Inf;6],referral.source=SVI} => {Class=negative}",0.246906310319901,1,1,1
"5","{T3=[0.6;Inf],FTI=[135;Inf]} => {Class=negative}",0.142899230122566,1,1,4
"6","{on.thyroxine=t,FTI=[60;Inf]} => {Class=negative}",0.11932822316885,1,1,45
"7","{TT4=[149;Inf]} => {Class=negative}",0.0972304046154022,1,1,6
"8","{thyroid.surgery=f,TSH=[5.6;Inf],FTI=[-Inf;60]} => {Class=primary_hypothyroid}",0.0206246320158243,1,1,70
"9","{thyroid.surgery=f,TSH=[18.4;Inf],TT4=[-Inf;62]} => {Class=primary_hypothyroid}",0.0197407193481922,1,1,8
"10","{TSH=[7.4;Inf],FTI=[26;64]} => {Class=primary_hypothyroid}",0.0138479666784406,1,1,5
"11","{on.thyroxine=f,TSH=[17;Inf],FTI=[65;110]} => {Class=compensated_hypothyroid}",0.0088391276076436,1,1,30
"12","{TSH=[5.2;Inf],TT4=[-Inf;72],FTI=[70;91]} => {Class=compensated_hypothyroid}",0.00471420167014003,1,1,10
"13","{TSH=[5.6;Inf],T3=[-Inf;0.9],TT4=[61;Inf]} => {Class=compensated_hypothyroid}",0.00471420167014003,1,1,13
"14","{TSH=[6.1;26.4],T3.measured=t,T4U.measured=f} => {Class=compensated_hypothyroid}",0.00383028876967728,1,1,11
"15","{sex=M,TSH=[8.3;100],FTI=[108;129]} => {Class=compensated_hypothyroid}",0.0035356511361897,1,1,7
"16","{TSH=[6;100],T3.measured=t,TT4=[61;65]} => {Class=compensated_hypothyroid}",0.00324101350270212,1,1,3
"17","{on.thyroxine=f,sick=t,TSH=[6.1;Inf]} => {Class=compensated_hypothyroid}",0.0026517384685576,1,1,2
"18","{psych=t,TSH=[6.1;Inf]} => {Class=compensated_hypothyroid}",0.00235710083507001,1,1,5
"19","{sex=M,TSH=[5.7;Inf],FTI=[61;83]} => {Class=compensated_hypothyroid}",0.00235710083507001,1,1,3
"20","{query.hyperthyroid=t,TSH=[5.3;24],TT4=[90;Inf]} => {Class=compensated_hypothyroid}",0.00176782556809485,1,1,5
"21","{tumor=t,TSH=[5.9;Inf],referral.source=other} => {Class=compensated_hypothyroid}",0.00147318793460727,1,1,3
"22","{query.hyperthyroid=t,TSH=[5.2;Inf],TT4=[37;86]} => {Class=compensated_hypothyroid}",0.00147318793460727,1,1,1
"23","{TSH=[11.1;Inf],T4U.measured=f,referral.source=SVI} => {Class=primary_hypothyroid}",0.00147318793460727,1,1,1
"24","{TSH=[5.18734272608;Inf],FTI=[60;89],referral.source=SVHC} => {Class=compensated_hypothyroid}",0.00117855041753501,1,1,2
"25","{TSH=[4.7;Inf],referral.source=SVHD} => {Class=compensated_hypothyroid}",0.000883912784047425,1,1,1
"26","{on.thyroxine=f,query.on.thyroxine=t,TSH=[5.5;Inf]} => {Class=compensated_hypothyroid}",0.000883912784047425,1,1,2
"27","{sex=,TSH=[5.2;Inf],TT4=[72;91]} => {Class=compensated_hypothyroid}",0.000883912784047425,1,1,1
"28","{I131.treatment=t,T3.measured=f,FTI=[-Inf;86]} => {Class=compensated_hypothyroid}",0.000589275208767503,1,1,1
"29","{TSH=[-Inf;Inf],T3=[-Inf;1.1],FTI=[65;67]} => {Class=compensated_hypothyroid}",0.000589275208767503,1,1,1
"30","{sex=F,TSH=[5.2;Inf],TT4.measured=f} => {Class=primary_hypothyroid}",0.000589275208767503,1,1,1
"31","{sex=,TSH=[5.2;Inf],T3.measured=f} => {Class=compensated_hypothyroid}",0.000294637604383752,1,1,1
"32","{sex=,TSH=[3.2;35],referral.source=STMW} => {Class=compensated_hypothyroid}",0.000294637604383752,1,1,1
"33","{TT4=[-Inf;56],T4U.measured=f,referral.source=other} => {Class=secondary_hypothyroid}",0.000294637604383752,1,1,1
"34","{sex=,T3.measured=t,TT4=[90;Inf]} => {Class=negative}",0.0241602826863527,0.987951815128326,1,1
"35","{TT4=[79;Inf],T4U.measured=f,referral.source=other} => {Class=negative}",0.086623452603817,0.98327761888504,1,1
"36","{on.thyroxine=f,TSH=[6.1;23],TT4=[90;152]} => {Class=compensated_hypothyroid}",0.0220978204160929,0.974025964736938,1,43
"37","{T3.measured=f,TT4=[88;Inf],referral.source=other} => {Class=negative}",0.151443719863892,0.971644639968872,1,1
"38","{} => {Class=compensated_hypothyroid}",0.0512669421732426,0.0512669421732426,0.756756756756757,28
