"","rules","support","confidence","orderedConf","orderedSupp"
"1","{TSH=[-Inf;6],FTI=[55;Inf]} => {Class=negative}",0.898909509181976,1,1,3050
"2","{TSH=[-Inf;6],TT4=[49;Inf]} => {Class=negative}",0.89684647321701,1,1,5
"3","{sex=M,TSH=[-Inf;6]} => {Class=negative}",0.281461834907532,1,1,7
"4","{TSH=[-Inf;6],referral.source=SVI} => {Class=negative}",0.244326561689377,1,1,1
"5","{on.thyroxine=t,FTI=[60;Inf]} => {Class=negative}",0.121721193194389,1,1,48
"6","{TT4=[149;Inf]} => {Class=negative}",0.0946065410971642,1,1,8
"7","{thyroid.surgery=f,TSH=[14.8;Inf],TT4=[-Inf;59]} => {Class=primary_hypothyroid}",0.0191570874303579,1,1,65
"8","{thyroid.surgery=f,TSH=[5.6;Inf],FTI=[-Inf;53]} => {Class=primary_hypothyroid}",0.0176834650337696,1,1,5
"9","{TSH=[14.4;Inf],FTI=[26;64]} => {Class=primary_hypothyroid}",0.0129678752273321,1,1,8
"10","{TSH=[5.6;Inf],FTI=[-Inf;65],referral.source=SVI} => {Class=primary_hypothyroid}",0.00825228448957205,1,1,2
"11","{on.thyroxine=f,TSH=[34;Inf],FTI=[106;141]} => {Class=primary_hypothyroid}",0.00147362216375768,1,1,1
"12","{TSH=[11.1;Inf],T4U.measured=f,referral.source=SVI} => {Class=primary_hypothyroid}",0.00147362216375768,1,1,1
"13","{T4U.measured=f,referral.source=STMW} => {Class=primary_hypothyroid}",0.000589448842220008,1,1,1
"14","{query.hypothyroid=t,FTI=[-Inf;66],referral.source=SVHC} => {Class=primary_hypothyroid}",0.000294724421110004,1,1,1
"15","{sex=F,T4U.measured=f,referral.source=other} => {Class=negative}",0.0674918964505196,0.97863245010376,0.166666666666667,1
"16","{} => {Class=compensated_hypothyroid}",0.0512820519506931,0.0512820519506931,0.918478260869565,169
