"","rules","support","confidence","orderedConf","orderedSupp"
"1","{a05=[-Inf;0.0409]} => {class=b}",0.200000002980232,1,1,63
"2","{a03=[-Inf;0.1859]} => {class=b}",0.18095238506794,1,1,18
"3","{a33=[0;0.00015]} => {class=b}",0.149206355214119,1,1,5
"4","{a27=[0.60463;1],a31=[-Inf;0.19512]} => {class=b}",0.139682546257973,1,1,3
"5","{a27=[0.16085;1],a29=[-1;0.06061]} => {class=b}",0.136507943272591,1,1,1
"6","{a07=[-Inf;0.81773],a27=[0.9289;1]} => {class=b}",0.133333340287209,1,1,2
"7","{a15=[-1;0.28571],a16=[-0.00228;0.07797]} => {class=b}",0.123809523880482,1,1,2
"8","{a01=0} => {class=b}",0.111111111938953,1,1,4
"9","{a09=[-0.03636;0.01128]} => {class=b}",0.107936508953571,1,1,1
"10","{a21=[-0.99219;0.90854],a27=[0.95243;1]} => {class=b}",0.0984126999974251,1,1,1
"11","{a17=[-0.04708;0]} => {class=b}",0.095238097012043,1,1,1
"12","{a18=[-Inf;-0.81556]} => {class=b}",0.0888888910412788,1,1,1
"13","{a12=[-1;0.02309],a17=[-1;0.41629],a29=[0;0.38228]} => {class=b}",0.0825396850705147,1,1,2
"14","{a06=[-Inf;-0.80553]} => {class=b}",0.0698412731289864,1,1,1
"15","{a08=[-Inf;-0.99265]} => {class=b}",0.0698412731289864,1,1,1
"16","{a14=[-Inf;-0.49639],a30=[-0.48936;1]} => {class=b}",0.0634920671582222,1,1,1
"17","{a16=[-Inf;-0.97515]} => {class=b}",0.0603174604475498,1,1,1
"18","{a24=[-1;-0.78174],a30=[-0.10429;1]} => {class=b}",0.0571428574621677,1,1,2
"19","{a10=[-Inf;-0.63427]} => {class=b}",0.0539682544767857,1,1,1
"20","{a06=[-0.01989;0.00343],a12=[-1;0.0133],a27=[-Inf;0.76224]} => {class=b}",0.0412698425352573,1,1,1
"21","{a04=[0.52381;Inf],a25=[0.92466;1]} => {class=b}",0.0380952395498753,1,1,1
"22","{} => {class=g}",0.641269862651825,0.641269862651825,1,202
