"","rules","support","confidence","orderedConf","orderedSupp"
"1","{xybar=[-Inf;2],x2ybr=[0;9]} => {class=L}",0.0152129251509905,1,1,274
"2","{xybar=[-Inf;3],x.ege=0} => {class=L}",0.0133251901715994,1,1,16
"3","{x.bar=[0;4],x2ybr=[0;1]} => {class=L}",0.0121592357754707,1,1,7
"4","{y2bar=[0;1],x2ybr=[0;2]} => {class=A}",0.0119926715269685,1,1,216
"5","{x2bar=[8;15],x2ybr=[11;15]} => {class=U}",0.0104380659759045,1,1,188
"6","{width=0} => {class=I}",0.00966076273471117,1,1,174
"7","{y.bar=[13;Inf],y.ege=0} => {class=T}",0.00921658985316753,1,1,166
"8","{onpix=[-Inf;1],xybar=[-Inf;3]} => {class=L}",0.00921658985316753,1,1,2
"9","{x2bar=[12;15],x.ege=[4;6]} => {class=N}",0.00866137351840734,1,1,156
"10","{x2bar=[12;15],y2bar=[4;Inf]} => {class=U}",0.00832824409008026,1,1,2
"11","{x2bar=[8;12],x.ege=[7;Inf]} => {class=M}",0.00777302775532007,1,1,140
"12","{x2bar=0,xybar=[12;13]} => {class=I}",0.00760646257549524,1,1,137
"13","{y.bar=[-Inf;2],y2bar=[6;Inf]} => {class=L}",0.00749541958793998,1,1,2
"14","{x2bar=[13;15],x.ege=[4;7]} => {class=N}",0.0074398978613317,1,1,1
"15","{x.bar=[0;1],y.ege=[2;Inf]} => {class=F}",0.00710676796734333,1,1,128
"16","{x2bar=[8;15],x.ege=[8;Inf]} => {class=M}",0.00694020325317979,1,1,15
"17","{xy2br=[14;15],y.ege=[2;4]} => {class=C}",0.00671811681240797,1,1,121
"18","{x.bar=[11;Inf],x.ege=0} => {class=J}",0.00660707335919142,1,1,119
"19","{x2bar=4,x2ybr=[13;15]} => {class=V}",0.00627394393086433,1,1,113
"20","{xy2br=[12;15],y.ege=[0;1]} => {class=J}",0.00621842220425606,1,1,107
"21","{x.bar=[0;3],y.ege=[7;Inf]} => {class=E}",0.00588529231026769,1,1,106
"22","{y2bar=[13;Inf]} => {class=Z}",0.00571872759610415,1,1,103
"23","{x2bar=[9;15],y.ege=[7;Inf]} => {class=B}",0.0050524678081274,1,1,91
"24","{xybar=[14;15],xy2br=[11;15]} => {class=J}",0.0050524678081274,1,1,28
"25","{y.bar=[14;Inf],y2bar=[6;Inf]} => {class=T}",0.00494142482057214,1,1,4
"26","{x.bar=[0;4],yegvx=[11;Inf]} => {class=K}",0.00483038136735559,1,1,87
"27","{x2bar=[4;5],y2bar=[11;Inf]} => {class=Z}",0.00477485964074731,1,1,1
"28","{xybar=15} => {class=J}",0.00466381665319204,1,1,54
"29","{x.bar=[13;Inf],x.ege=[0;1]} => {class=J}",0.00466381665319204,1,1,6
"30","{y.bar=4,xybar=[-Inf;3]} => {class=L}",0.00455277319997549,1,1,3
"31","{x2bar=[9;11],x.ege=[6;Inf]} => {class=M}",0.00444173021242023,1,1,25
"32","{y2bar=0,x2ybr=[0;4]} => {class=A}",0.00438620848581195,1,1,1
"33","{y.bar=[12;Inf],x2bar=0} => {class=T}",0.00421964377164841,1,1,5
"34","{x.bar=[0;1],y.bar=[13;Inf]} => {class=F}",0.00410860031843185,1,1,4
"35","{x2bar=[11;15],x.ege=[4;5]} => {class=N}",0.00405307859182358,1,1,25
"36","{y.bar=[7;Inf],x2ybr=[14;15]} => {class=V}",0.0039975568652153,1,1,12
"37","{x.bar=[12;Inf],x2bar=[7;15]} => {class=J}",0.00394203560426831,1,1,2
"38","{x.bar=[0;3],y2bar=[11;Inf]} => {class=E}",0.00366442720405757,1,1,4
"39","{y2bar=[0;2],xy2br=[-Inf;3]} => {class=P}",0.00366442720405757,1,1,66
"40","{y.bar=11,x.ege=7} => {class=W}",0.00355338398367167,1,1,64
"41","{x2bar=[7;9],xy2br=[14;15]} => {class=C}",0.00344234076328576,1,1,2
"42","{x.bar=[4;5],xy2br=[14;15]} => {class=C}",0.00344234076328576,1,1,1
"43","{x.bar=[0;3],xy2br=15} => {class=E}",0.00333129754289985,1,1,2
"44","{x2bar=[12;15],x2ybr=[0;5]} => {class=H}",0.00333129754289985,1,1,60
"45","{y.bar=[-Inf;2],y2bar=[0;1]} => {class=A}",0.00327577581629157,1,1,11
"46","{x2bar=[9;15],xybar=[-Inf;4]} => {class=N}",0.00327577581629157,1,1,2
"47","{x2bar=15,y2bar=[0;1]} => {class=H}",0.00299816788174212,1,1,37
"48","{x2ybr=[13;15],xegvy=[11;Inf]} => {class=Y}",0.00288712442852557,1,1,52
"49","{x2bar=[0;3],x2ybr=[13;15]} => {class=Y}",0.00288712442852557,1,1,1
"50","{y.bar=[8;Inf],x2bar=[14;15]} => {class=H}",0.00288712442852557,1,1,3
"51","{y.bar=[-Inf;3],y2bar=[8;Inf]} => {class=L}",0.00260951649397612,1,1,32
"52","{y2bar=[0;1],xy2br=[-Inf;4]} => {class=P}",0.00260951649397612,1,1,19
"53","{x.bar=[12;Inf],x2ybr=[5;15]} => {class=J}",0.00255399476736784,1,1,2
"54","{xy2br=[13;15],y.ege=3} => {class=C}",0.00249847304075956,1,1,29
"55","{x.bar=[0;2],x.ege=[6;Inf]} => {class=W}",0.00249847304075956,1,1,43
"56","{y.bar=[11;Inf],x2ybr=[0;3]} => {class=R}",0.00233190832659602,1,1,42
"57","{xy2br=[13;15],xegvy=10} => {class=C}",0.00216534337960184,1,1,24
"58","{x2bar=[13;15],x2ybr=[7;8]} => {class=H}",0.00205430015921593,1,1,17
"59","{x2bar=[14;15],x2ybr=[7;10]} => {class=H}",0.00199877843260765,1,1,4
"60","{x.bar=[0;2],y.bar=[14;Inf]} => {class=F}",0.00188773532863706,1,1,1
"61","{x2ybr=0,x.ege=2} => {class=A}",0.00177669199183583,1,1,1
"62","{y.bar=9,xy2br=[-Inf;3]} => {class=P}",0.00177669199183583,1,1,32
"63","{x2ybr=[9;15],xy2br=13} => {class=C}",0.00177669199183583,1,1,11
"64","{y.bar=[13;Inf],y2bar=[0;1]} => {class=P}",0.00172117038164288,1,1,2
"65","{x.bar=1,xy2br=7} => {class=F}",0.00166564877144992,1,1,2
"66","{x2ybr=9,xegvy=[-Inf;5]} => {class=M}",0.00166564877144992,1,1,12
"67","{xegvy=[-Inf;5],y.ege=0} => {class=M}",0.00161012716125697,1,1,1
"68","{high=[10;Inf],xy2br=[11;15]} => {class=Q}",0.00161012716125697,1,1,29
"69","{y.bar=[14;Inf],yegvx=6} => {class=F}",0.00149908394087106,1,1,2
"70","{y.bar=[-Inf;1],y2bar=[0;2]} => {class=A}",0.00138804060406983,1,1,16
"71","{y.bar=[12;Inf],y2bar=[8;Inf]} => {class=T}",0.00133251899387687,1,1,24
"72","{xy2br=12,xegvy=[-Inf;5]} => {class=A}",0.00127699738368392,1,1,14
"73","{x2bar=[7;10],y2bar=[11;Inf]} => {class=C}",0.00127699738368392,1,1,13
"74","{y.bar=[14;Inf],y.ege=[4;Inf]} => {class=P}",0.00127699738368392,1,1,1
"75","{x2ybr=[12;15],xy2br=[-Inf;6]} => {class=Y}",0.00127699738368392,1,1,23
"76","{y.bar=[-Inf;1],xegvy=[4;6]} => {class=A}",0.00127699738368392,1,1,3
"77","{onpix=[-Inf;1],y2bar=[11;Inf]} => {class=Z}",0.00122147577349097,1,1,13
"78","{x2bar=[12;15],x2ybr=7} => {class=H}",0.00122147577349097,1,1,2
"79","{x2bar=[11;15],y2bar=[7;Inf]} => {class=D}",0.00116595416329801,1,1,21
"80","{y.bar=[14;Inf],x2ybr=[0;6]} => {class=P}",0.00111043255310506,1,1,1
"81","{y.bar=[12;Inf],x2ybr=[4;5]} => {class=P}",0.00111043255310506,1,1,11
"82","{high=[12;Inf],x2ybr=[9;15]} => {class=Y}",0.00111043255310506,1,1,16
"83","{x2bar=[12;15],y2bar=0} => {class=H}",0.00111043255310506,1,1,3
"84","{x.box=[0;1],y2bar=[10;Inf]} => {class=Z}",0.0010549109429121,1,1,15
"85","{y2bar=[0;1],x.ege=0} => {class=P}",0.000999389216303825,1,1,5
"86","{x2bar=[9;15],y2bar=[10;Inf]} => {class=D}",0.000999389216303825,1,1,13
"87","{x.bar=7,y.bar=[-Inf;2]} => {class=A}",0.000943867664318532,1,1,12
"88","{y2bar=0,xy2br=[-Inf;6]} => {class=P}",0.000943867664318532,1,1,17
"89","{high=[10;Inf],x2ybr=[11;15]} => {class=Y}",0.000943867664318532,1,1,4
"90","{y.bar=[-Inf;4],x2bar=0} => {class=L}",0.000888345995917916,1,1,14
"91","{x.bar=[13;Inf],y.ege=[2;4]} => {class=A}",0.000888345995917916,1,1,11
"92","{y.bar=[10;Inf],xy2br=[12;15]} => {class=Q}",0.000888345995917916,1,1,11
"93","{x.bar=[0;1],x.ege=[3;Inf]} => {class=W}",0.000888345995917916,1,1,1
"94","{x.box=2,x.bar=1} => {class=F}",0.000777302775532007,1,1,1
"95","{x2bar=9,y.ege=[1;2]} => {class=K}",0.000777302775532007,1,1,2
"96","{high=[10;Inf],x2bar=[8;15]} => {class=Q}",0.000777302775532007,1,1,10
"97","{y.bar=[-Inf;3],x.ege=[8;Inf]} => {class=M}",0.000777302775532007,1,1,14
"98","{x2ybr=[12;15],xy2br=[12;15]} => {class=K}",0.000721781107131392,1,1,13
"99","{x2bar=0,xy2br=[11;15]} => {class=L}",0.000721781107131392,1,1,5
"100","{xybar=[-Inf;3],x2ybr=[4;6]} => {class=N}",0.000721781107131392,1,1,13
"101","{y.bar=[-Inf;1],y2bar=4} => {class=L}",0.000666259496938437,1,1,1
"102","{xegvy=[13;Inf],yegvx=[11;Inf]} => {class=Q}",0.000666259496938437,1,1,10
"103","{y2bar=[8;Inf],y.ege=0} => {class=J}",0.000666259496938437,1,1,4
"104","{high=[10;Inf],xybar=[13;15]} => {class=J}",0.000666259496938437,1,1,12
"105","{y2bar=[10;Inf],x2ybr=[0;1]} => {class=L}",0.000666259496938437,1,1,3
