"","rules","support","confidence","orderedConf","orderedSupp"
"1","{block_of_affere=yes,lym_nodes_enlar=[-Inf;2],changes_in_node=lac_margin} => {class=metastases}",0.227272734045982,1,1,30
"2","{block_of_affere=yes,special_forms=chalices} => {class=metastases}",0.212121218442917,1,1,12
"3","{block_of_affere=no,special_forms=vesicles,dislocation_of=yes} => {class=malign_lymph}",0.189393937587738,1,1,25
"4","{block_of_affere=yes,changes_in_lym=oval,changes_in_node=lac_margin} => {class=metastases}",0.159090906381607,1,1,3
"5","{block_of_affere=no,changes_in_lym=oval,special_forms=vesicles} => {class=malign_lymph}",0.151515156030655,1,1,4
"6","{block_of_affere=yes,by_pass=yes,regeneration_of=no} => {class=metastases}",0.143939390778542,1,1,5
"7","{block_of_affere=yes,regeneration_of=no,lym_nodes_enlar=[-Inf;2],dislocation_of=yes} => {class=metastases}",0.143939390778542,1,1,1
"8","{by_pass=yes,changes_in_node=lac_margin} => {class=metastases}",0.136363640427589,1,1,1
"9","{block_of_affere=no,extravasates=yes,regeneration_of=no} => {class=malign_lymph}",0.136363640427589,1,1,5
"10","{block_of_affere=yes,regeneration_of=no,early_uptake_in=no} => {class=metastases}",0.136363640427589,1,1,1
"11","{early_uptake_in=yes,changes_in_node=lacunar,special_forms=vesicles,exclusion_of_no=yes} => {class=malign_lymph}",0.136363640427589,1,1,4
"12","{lym_nodes_enlar=[3;Inf],changes_in_node=lac_central} => {class=malign_lymph}",0.121212124824524,1,1,7
"13","{bl_of_lymph_c=no,lym_nodes_enlar=[3;Inf],dislocation_of=yes,no_of_nodes_in=[4;Inf]} => {class=malign_lymph}",0.121212124824524,1,1,1
"14","{block_of_affere=yes,exclusion_of_no=no} => {class=metastases}",0.113636367022991,1,1,2
"15","{extravasates=no,lym_nodes_enlar=[-Inf;2],changes_in_node=lac_margin,exclusion_of_no=yes} => {class=metastases}",0.113636367022991,1,1,6
"16","{lymphatics=deformed,block_of_affere=yes,changes_in_node=lac_margin} => {class=metastases}",0.106060609221458,1,1,1
"17","{early_uptake_in=no,changes_in_node=lac_margin,dislocation_of=no} => {class=metastases}",0.106060609221458,1,1,1
"18","{block_of_affere=no,changes_in_node=lac_central} => {class=malign_lymph}",0.0984848514199257,1,1,1
"19","{early_uptake_in=yes,changes_in_lym=round,special_forms=chalices} => {class=metastases}",0.0984848514199257,1,1,1
"20","{block_of_affere=no,early_uptake_in=yes,changes_in_stru=faint,exclusion_of_no=yes} => {class=malign_lymph}",0.0909090936183929,1,1,1
"21","{lym_nodes_enlar=[-Inf;2],changes_in_lym=round,exclusion_of_no=yes} => {class=metastases}",0.0833333358168602,1,1,1
"22","{changes_in_lym=round,changes_in_node=lac_margin,dislocation_of=no} => {class=metastases}",0.0833333358168602,1,1,1
"23","{extravasates=no,changes_in_node=lac_central} => {class=malign_lymph}",0.0757575780153275,1,1,1
"24","{lymphatics=arched,early_uptake_in=no,exclusion_of_no=yes} => {class=metastases}",0.0757575780153275,1,1,2
"25","{bl_of_lymph_c=no,by_pass=no,extravasates=yes,changes_in_stru=faint} => {class=malign_lymph}",0.0757575780153275,1,1,1
"26","{changes_in_lym=oval,defect_in_node=lacunar,changes_in_node=lacunar,exclusion_of_no=yes} => {class=malign_lymph}",0.0757575780153275,1,1,1
"27","{lymphatics=displaced,bl_of_lymph_c=no,by_pass=no,special_forms=vesicles} => {class=malign_lymph}",0.0681818202137947,1,1,1
"28","{lymphatics=arched,early_uptake_in=no,changes_in_stru=faint} => {class=metastases}",0.0530303046107292,1,1,2
"29","{lymphatics=deformed,dislocation_of=no,exclusion_of_no=no} => {class=metastases}",0.0530303046107292,1,1,1
"30","{lym_nodes_enlar=[-Inf;3],changes_in_stru=grainy,exclusion_of_no=yes} => {class=metastases}",0.0530303046107292,1,1,1
"31","{lymphatics=deformed,block_of_affere=no,regeneration_of=no,defect_in_node=lac_central} => {class=malign_lymph}",0.0530303046107292,1,1,1
"32","{changes_in_stru=stripped} => {class=malign_lymph}",0.0454545468091965,1,1,1
"33","{early_uptake_in=yes,changes_in_node=lacunar,exclusion_of_no=no} => {class=metastases}",0.0454545468091965,1,1,1
"34","{block_of_affere=no,changes_in_stru=drop_like,exclusion_of_no=no} => {class=malign_lymph}",0.030303031206131,1,1,1
"35","{lymphatics=deformed,by_pass=yes,changes_in_node=lacunar} => {class=fibrosis}",0.0227272734045982,1,1,3
"36","{} => {class=normal}",0.00757575780153275,0.00757575780153275,1,1
