"","rules","support","confidence","orderedConf","orderedSupp"
"1","{intensity.mean=[86.2963;Inf]} => {class=sky}",0.142857149243355,1,1,297
"2","{hue.mean=[1.28706;Inf]} => {class=grass}",0.141414135694504,1,1,294
"3","{region.centroid.row=[159;Inf],rawred.mean=[25.3333;137.111]} => {class=path}",0.141414135694504,1,1,294
"4","{region.centroid.row=[161;Inf],exblue.mean=[13.6667;82]} => {class=path}",0.139971137046814,1,1,3
"5","{region.centroid.row=[163;Inf],rawblue.mean=[-Inf;29.7778]} => {class=grass}",0.134199127554893,1,1,3
"6","{exred.mean=[-0.333333;Inf],saturation.mean=[0.371695;Inf]} => {class=brickface}",0.0841750875115395,1,1,175
"7","{exred.mean=[-0.222222;Inf],saturation.mean=[0.232219;Inf]} => {class=brickface}",0.0841750875115395,1,1,2
"8","{exgreen.mean=[-33.8889;-2.66667],hue.mean=[-1.51268;Inf]} => {class=brickface}",0.0769600793719292,1,1,2
"9","{saturation.mean=[0.466345;Inf],hue.mean=[-Inf;-2.23829]} => {class=foliage}",0.0687830671668053,1,1,143
"10","{rawred.mean=[-Inf;11.2222],hue.mean=[-Inf;-2.22266]} => {class=foliage}",0.0683020651340485,1,1,14
"11","{exgreen.mean=[-33.8889;-14.5556],hue.mean=[-1.86318;Inf]} => {class=brickface}",0.064935065805912,1,1,103
"12","{rawred.mean=[18.1111;137.111],rawgreen.mean=[0;18.2222]} => {class=brickface}",0.0615680627524853,1,1,3
"13","{intensity.mean=[2.40741;9.33333],hue.mean=[-1.58144;1.28706]} => {class=brickface}",0.060606062412262,1,1,1
"14","{exgreen.mean=[-33.8889;-14.6667],saturation.mean=[0.392149;0.45603]} => {class=brickface}",0.0577200576663017,1,1,2
"15","{rawred.mean=[18.5556;25],exgreen.mean=[-33.8889;-15]} => {class=brickface}",0.0572390556335449,1,1,1
"16","{rawgreen.mean=[2.44444;4.44444],saturation.mean=[0.0984723;0.617063]} => {class=brickface}",0.054353054612875,1,1,3
"17","{region.centroid.row=[-Inf;172],rawred.mean=[47.5556;58.2222]} => {class=cement}",0.0418470427393913,1,1,87
"18","{rawred.mean=[-Inf;31.2222],hue.mean=[-2.37055;-2.24632]} => {class=foliage}",0.0404040403664112,1,1,1
"19","{rawblue.mean=[5.11111;29.2222],hue.mean=[-2.37055;-2.19642]} => {class=foliage}",0.0404040403664112,1,1,5
"20","{region.centroid.row=[76;172],rawred.mean=[41.8889;58.2222]} => {class=cement}",0.0375180393457413,1,1,27
"21","{region.centroid.row=[109;158],rawred.mean=[27.3333;89.1111]} => {class=cement}",0.0365560352802277,1,1,42
"22","{exblue.mean=[7;16.8889],hue.mean=[-2.37055;-2.17535]} => {class=foliage}",0.0341510325670242,1,1,8
"23","{rawgreen.mean=[0;1.77778],hue.mean=[-Inf;-2.13368]} => {class=foliage}",0.0331890322268009,1,1,33
"24","{hedge.mean=[-Inf;0.999999],intensity.mean=[31.6667;86.2963]} => {class=cement}",0.0331890322268009,1,1,25
"25","{exblue.mean=[-Inf;17.4444],exgreen.mean=[-33.8889;-12.6667]} => {class=brickface}",0.0317460335791111,1,1,2
"26","{region.centroid.col=[132;213],value.mean=[-Inf;5]} => {class=window}",0.0312650315463543,1,1,65
"27","{region.centroid.row=[-Inf;74],rawred.mean=[38.7778;72]} => {class=cement}",0.0312650315463543,1,1,19
"28","{rawblue.mean=[-Inf;26.3333],exgreen.mean=[-33.8889;-13.1111]} => {class=brickface}",0.0298220291733742,1,1,1
"29","{saturation.mean=[0.307943;Inf],hue.mean=[-2.86995;-2.37181]} => {class=foliage}",0.0298220291733742,1,1,7
"30","{region.centroid.col=[125;213],hedge.mean=[-Inf;0.333332]} => {class=window}",0.0288600288331509,1,1,12
"31","{hedge.mean=[-Inf;1.55555],intensity.mean=[31.8519;49.7037]} => {class=cement}",0.0274170283228159,1,1,8
"32","{region.centroid.row=[-Inf;65],rawgreen.mean=[30.4444;80.8889]} => {class=cement}",0.0269360262900591,1,1,3
"33","{region.centroid.col=[151;213],rawgreen.mean=[0;1]} => {class=window}",0.0269360262900591,1,1,2
"34","{region.centroid.col=[110;Inf],rawblue.mean=[-Inf;1.11111]} => {class=window}",0.0264550261199474,1,1,20
"35","{hedge.mean=[0.444445;1.33333],rawred.mean=[25;45.8889]} => {class=cement}",0.0254930257797241,1,1,3
"36","{saturation.mean=[0.601852;0.881217],hue.mean=[-2.09439;-1.7836]} => {class=window}",0.0250120256096125,1,1,42
"37","{region.centroid.row=[78;158],hue.mean=[-Inf;-2.40681]} => {class=foliage}",0.0245310254395008,1,1,4
"38","{region.centroid.row=[106;158],intensity.mean=[31.8519;49.7778]} => {class=cement}",0.0245310254395008,1,1,3
"39","{vedge.mean=[3.61111;Inf],hue.mean=[-Inf;-2.2428]} => {class=foliage}",0.0245310254395008,1,1,8
"40","{region.centroid.col=[151;189],rawred.mean=[-Inf;4]} => {class=window}",0.0245310254395008,1,1,2
"41","{rawred.mean=[-Inf;4],hue.mean=[-2.02659;-1.47702]} => {class=window}",0.022607022896409,1,1,7
"42","{value.mean=[-Inf;5.66667],hue.mean=[-2.20841;-2.11184]} => {class=foliage}",0.0216450225561857,1,1,14
