"","rules","support","confidence","orderedConf","orderedSupp"
"1","{MAX.LENGTH.ASPECT.RATIO=[9;Inf],SCALED.VARIANCE_MAJOR=[-Inf;179],HOLLOWS.RATIO=[190;208]} => {Class=van}",0.119109950959682,1,1,91
"2","{MAX.LENGTH.ASPECT.RATIO=[9;13],ELONGATEDNESS=[42;Inf],KURTOSIS.ABOUT_MINOR=[182;197]} => {Class=van}",0.113874346017838,1,1,2
"3","{PR.AXIS.ASPECT.RATIO=[67;138],MAX.LENGTH.ASPECT.RATIO=[-Inf;7]} => {Class=bus}",0.0929319337010384,1,1,71
"4","{CIRCULARITY=[42;Inf],KURTOSIS.ABOUT_MINOR=[-Inf;181]} => {Class=bus}",0.0837696343660355,1,1,60
"5","{MAX.LENGTH.ASPECT.RATIO=[9;Inf],SCALED.VARIANCE_MINOR=[343;389],SKEWNESS.ABOUT_MAJOR=[64;Inf]} => {Class=van}",0.0785340294241905,1,1,3
"6","{CIRCULARITY=[42;46],ELONGATEDNESS=[44;Inf],KURTOSIS.ABOUT_MINOR=[-Inf;182]} => {Class=bus}",0.0785340294241905,1,1,4
"7","{MAX.LENGTH.ASPECT.RATIO=[-Inf;8],MAX.LENGTH.RECTANGULARITY=[147;Inf],SKEWNESS.ABOUT_MAJOR=[74;Inf]} => {Class=bus}",0.0719895288348198,1,1,25
"8","{MAX.LENGTH.ASPECT.RATIO=[9;Inf],PR.AXIS.RECTANGULARITY=[-Inf;19],HOLLOWS.RATIO=[190;Inf]} => {Class=van}",0.0680628269910812,1,1,2
"9","{RADIUS.RATIO=[154;333],MAX.LENGTH.ASPECT.RATIO=[-Inf;9],SKEWNESS.ABOUT_MAJOR=[75;Inf]} => {Class=bus}",0.0628272220492363,1,1,4
"10","{COMPACTNESS=[99;Inf],MAX.LENGTH.ASPECT.RATIO=[-Inf;7]} => {Class=bus}",0.0602094233036041,1,1,1
"11","{PR.AXIS.ASPECT.RATIO=[69;138],KURTOSIS.ABOUT_MINOR=[191;Inf]} => {Class=bus}",0.058900523930788,1,1,2
"12","{MAX.LENGTH.ASPECT.RATIO=[-Inf;7],SCALED.VARIANCE_MAJOR=[208;Inf]} => {Class=bus}",0.0562827214598656,1,1,1
"13","{DISTANCE.CIRCULARITY=[-Inf;82],RADIUS.RATIO=[168;333],PR.AXIS.ASPECT.RATIO=[69;76]} => {Class=bus}",0.052356019616127,1,1,1
"14","{DISTANCE.CIRCULARITY=[75;Inf],MAX.LENGTH.RECTANGULARITY=[147;Inf],SCALED.VARIANCE_MINOR=[-Inf;356]} => {Class=van}",0.0510471202433109,1,1,2
"15","{COMPACTNESS=[-Inf;83],CIRCULARITY=[41;Inf],SCATTER.RATIO=[143;265]} => {Class=bus}",0.0471204183995724,1,1,7
"16","{DISTANCE.CIRCULARITY=[-Inf;78],RADIUS.RATIO=[175;333],MAX.LENGTH.ASPECT.RATIO=[-Inf;7]} => {Class=bus}",0.0445026196539402,1,1,1
"17","{MAX.LENGTH.ASPECT.RATIO=[8;Inf],SCATTER.RATIO=[-Inf;139],MAX.LENGTH.RECTANGULARITY=[128;Inf]} => {Class=van}",0.0379581153392792,1,1,18
"18","{COMPACTNESS=[-Inf;103],MAX.LENGTH.RECTANGULARITY=[172;Inf]} => {Class=opel}",0.0353403128683567,1,1,27
"19","{MAX.LENGTH.ASPECT.RATIO=[8;Inf],PR.AXIS.RECTANGULARITY=[-Inf;18],KURTOSIS.ABOUT_MINOR=[184;195]} => {Class=van}",0.0314136110246181,1,1,2
"20","{COMPACTNESS=[-Inf;105],CIRCULARITY=[55;Inf],SKEWNESS.ABOUT_MINOR=[6;Inf]} => {Class=opel}",0.0274869110435247,1,1,7
"21","{MAX.LENGTH.RECTANGULARITY=[147;Inf],SCALED.VARIANCE_MINOR=[-Inf;348],HOLLOWS.RATIO=[189;Inf]} => {Class=van}",0.0274869110435247,1,1,1
"22","{RADIUS.RATIO=[-Inf;196],MAX.LENGTH.RECTANGULARITY=[170;Inf],HOLLOWS.RATIO=[192;200]} => {Class=opel}",0.0274869110435247,1,1,7
"23","{SCATTER.RATIO=[-Inf;164],MAX.LENGTH.RECTANGULARITY=[146;Inf],SCALED.RADIUS.OF.GYRATION=[-Inf;168]} => {Class=van}",0.0274869110435247,1,1,2
"24","{SCATTER.RATIO=[-Inf;141],MAX.LENGTH.RECTANGULARITY=[132;Inf],SKEWNESS.ABOUT_MAJOR=[75;Inf]} => {Class=van}",0.0261780098080635,1,1,15
"25","{COMPACTNESS=[107;Inf],SCALED.VARIANCE_MAJOR=[213;258],KURTOSIS.ABOUT_MAJOR=[12;Inf]} => {Class=saab}",0.0261780098080635,1,1,20
"26","{COMPACTNESS=[107;Inf],MAX.LENGTH.RECTANGULARITY=[-Inf;Inf],SCALED.VARIANCE_MINOR=[677;722]} => {Class=saab}",0.0248691104352474,1,1,8
