"","rules","support","confidence","orderedConf","orderedSupp"
"1","{Feature.1=[-Inf;-0.159]} => {Class=hid}",0.0460157133638859,1,1,41
"2","{Feature.0=[-2.343;Inf],Feature.1=[-Inf;Inf],Feature.7=[-0.281;0.273]} => {Class=hAd}",0.0448933765292168,1,1,40
"3","{Feature.0=[-Inf;-3.285],Feature.1=[-Inf;0.491]} => {Class=hid}",0.04152637347579,1,1,19
"4","{Feature.0=[-2.343;Inf],Feature.1=[1.304;3.342],Feature.4=[-0.643;Inf]} => {Class=hAd}",0.0336700342595577,1,1,6
"5","{Feature.0=[-3.813;-3.062],Feature.3=[-0.602;0.187],Feature.7=[-0.052;Inf]} => {Class=hOd}",0.0336700342595577,1,1,30
"6","{Sex=Male,Feature.0=[-Inf;-4.173],Feature.4=[-0.821;0.266]} => {Class=hud}",0.030303031206131,1,1,27
"7","{Feature.0=[-Inf;-4.683],Feature.2=[-Inf;0.888]} => {Class=hud}",0.029180696234107,1,1,17
"8","{Feature.1=[3.129;Inf],Feature.4=[-Inf;-1.029],Feature.6=[-Inf;0.48]} => {Class=hod}",0.029180696234107,1,1,26
"9","{Feature.0=[-2.911;Inf],Feature.1=[0.463;1.749],Feature.4=[0.168;Inf]} => {Class=hEd}",0.029180696234107,1,1,26
"10","{Feature.0=[-3.894;-3.075],Feature.1=[2.372;3.132],Feature.3=[-Inf;0.138]} => {Class=hOd}",0.029180696234107,1,1,2
"11","{Feature.0=[-Inf;-4.683],Feature.1=[2.322;Inf]} => {Class=hud}",0.0269360262900591,1,1,1
"12","{Feature.0=[-Inf;-2.391],Feature.1=[0.387;1.824],Feature.4=[0.538;1.59]} => {Class=hId}",0.0246913582086563,1,1,22
"13","{Feature.0=[-Inf;-3.591],Feature.3=[-Inf;0.389],Feature.4=[-Inf;-1.1]} => {Class=hod}",0.0235690232366323,1,1,4
"14","{Feature.0=[-3.915;-3.005],Feature.3=[0.706;Inf],Feature.7=[-Inf;-0.592]} => {Class=hid}",0.0224466882646084,1,1,2
"15","{Feature.0=[-Inf;-4.135],Feature.3=[-1.044;1.718],Feature.4=[-0.626;-0.161]} => {Class=hud}",0.0224466882646084,1,1,6
"16","{Feature.0=[-3.835;-2.842],Feature.1=[0.305;0.773],Feature.4=[-0.164;Inf]} => {Class=hId}",0.0224466882646084,1,1,7
