dataset,accuracy,rules,antlength,buildtime,,dataset,accuracy,rules,antlength,buildtime,,
anneal,0.98882562506158,29,2.20913843356001,3.135,,anneal,0.987776396512351,149.9,2.63864176941069,6.963,FALSE,0.00104922854922895
australian,0.844886128364389,88.8,4.41731169020616,112.296,,australian,0.868098891730605,563.1,4.62877288901141,15.166,TRUE,-0.0232127633662159
autos,0.802474029276089,47.8,2.4935273275122,2.771,,autos,0.806102393665323,236.5,2.6385909173504,6.746,FALSE,-0.00362836438923397
breast-w,0.94569008252413,32.3,2.87325190266723,3.462,,breast-w,0.968508150351384,259.6,3.1428209993307,1.352,TRUE,-0.022818067827254
colic,0.794136241504662,91.3,2.81166754547437,0.755,,colic,0.815623518255097,394.2,2.89452715161534,1.452,FALSE,-0.021487276750435
credit-a,0.84215625380587,105.3,3.39857239573996,29.955,,credit-a,0.866650225307514,580.5,3.50110153803,3.882,TRUE,-0.024493971501644
credit-g,0.742,230.4,2.92871168636689,27.675,,credit-g,0.731,834.4,2.93869216104909,1.363,TRUE,0.011
diabetes,0.768318523581682,46.4,3.05974180336182,73.707,,diabetes,0.757877648667122,240.3,3.72317208827796,0.786,TRUE,0.0104408749145599
glass,0.711656942091725,22.8,2.71482348548138,10.79,,glass,0.710768868812347,129.1,3.55185222521418,1.671,TRUE,0.00088807327937801
heart-statlog,0.814814814814815,44.1,4.18791170237323,6.535,,heart-statlog,0.822222222222222,272.1,4.76726243742246,3.876,TRUE,-0.00740740740740697
hepatitis,0.800441176470588,28.5,3.11991192715331,0.57,,hepatitis,0.832156862745098,147.2,3.51619033893075,3.667,FALSE,-0.03171568627451
hypothyroid,0.992318158665842,39.9,2.6693243749969,143.642,,hypothyroid,0.964468562839062,311.8,2.82580409628194,2.335,TRUE,0.02784959582678
ionosphere,0.89984126984127,41.2,1.77200521630754,12.174,,ionosphere,0.922385620915033,184,2.13152725850794,58.235,FALSE,-0.022544351073763
iris,0.96,5.4,1.27333333333333,0.19,,iris,0.926666666666667,34.2,2.19816452748074,0.427,FALSE,0.033333333333333
labor,0.893333333333333,11,1.70916583416583,0.063,,labor,0.876666666666667,48.6,2.48746764008784,0.963,FALSE,0.0166666666666659
letter,0.602141469896238,786.6,1.99402497172799,403.159,,letter,0.519635089470377,2470.9,1.99652095106274,3.483,TRUE,0.082506380425861
lymph,0.7925,35.8,2.9674320369986,0.174,,lymph,0.836170634920635,151.3,3.43285859553106,4.823,FALSE,-0.0436706349206351
segment,0.954545454545454,132,1.96515555572274,972.658,,segment,0.883549783549783,808.6,1.98591027995885,1.523,TRUE,0.0709956709956711
sonar,0.744437229437229,35.2,2.79828503140797,14.581,,sonar,0.788701298701299,176.4,2.91612089028446,17.344,FALSE,-0.04426406926407
spambase,0.928063652803488,323.9,1.98142504324708,1003.413,,spambase,0.917193589309722,1039.7,1.98980169643005,2.524,TRUE,0.0108700634937661
vehicle,0.681837049959156,136.3,2.89662882193914,98.887,,vehicle,0.63827529740788,769.5,2.92566783413894,2.992,TRUE,0.0435617525512759
vowel,0.738383838383838,165.5,2.83304040934435,1119.639,,vowel,0.734343434343434,961,2.9115700860778,1.508,TRUE,0.00404040404040407
,,,,,,,,,,,,
QCBA,,,,,,CBA,,,,,,
