dataset,accuracy,rules,antlength,buildtime
hepatitis,0.807156862745098,2.6,1.6,0.0284933805465698
ionosphere,0.868884220354808,2,1.5,0.230659365653992
sonar,0.677445887445888,2.7,1.61666666666667,0.0526463270187378
spambase,0.838298774527783,2,1.5,3.40336210727692
australian,0.853645719157228,2,1.05,0.0542091846466064
breast-w,0.941342839646575,2.3,1.55,0.0606173515319824
colic,0.859103840682788,2,1.5,0.086438250541687
credit-a,0.849380708805261,2,1.5,0.0728622436523438
diabetes,0.74489063568011,3.1,1.675,0.112563610076904
heart-statlog,0.762962962962963,3,1.66666666666667,0.027590823173523
credit-g,0.709,2,1.5,0.115868926048279
