"","rules","support","confidence","lift","laplace"
"1","{X5=[-Inf;-0.153846],X7=[-Inf;-0.9284215],X8=-1,X14=[-Inf;-0.99016]} => {Y=-1}",0.159420289855072,1,1.8,0.99009900990099
"2","{X1=1,X8=1,X9=1,X14=(-0.99016; Inf]} => {Y=1}",0.0998389694041868,1,2.25,0.984375
"3","{X1=-1,X5=[-Inf;-0.153846],X8=-1} => {Y=-1}",0.0853462157809984,1,1.8,0.981818181818182
"4","{X8=1,X9=1,X13=[-Inf;-0.9285]} => {Y=1}",0.114331723027375,0.986111111111111,2.21875,0.972972972972973
"5","{X8=1,X14=(-0.99016; Inf]} => {Y=1}",0.181964573268921,0.974137931034483,2.19181034482759,0.966101694915254
"6","{X5=(0.4615385; Inf],X8=1,X10=(-0.9253735; Inf]} => {Y=1}",0.0805152979066023,0.980392156862745,2.20588235294118,0.962264150943396
"7","{X8=-1,X9=1} => {Y=-1}",0.0901771336553945,0.96551724137931,1.73793103448276,0.95
"8","{X4=[-Inf;-0.5],X8=-1} => {Y=-1}",0.138486312399356,0.955555555555556,1.72,0.945652173913043
"9","{X8=1,X13=[-Inf;-0.9285]} => {Y=1}",0.154589371980676,0.932038834951456,2.09708737864078,0.923809523809524
"10","{X8=-1} => {Y=-1}",0.44122383252818,0.925675675675676,1.66621621621622,0.922818791946309
"11","{X8=1} => {Y=1}",0.409017713365539,0.781538461538462,1.75846153846154,0.779816513761468
"12","{} => {Y=-1}",0,0,0,0
