"","rules","support","confidence","lift","laplace"
"1","{A1=b,A9=t,A10=t,A15=(395; Inf]} => {class=+}",0.101449275362319,1,2.25,0.984615384615385
"2","{A4=y,A8=[-Inf;1.1875],A9=f,A13=g} => {class=-}",0.0933977455716586,1,1.8,0.983333333333333
"3","{A5=p,A8=[-Inf;1.1875],A9=f,A13=g} => {class=-}",0.0933977455716586,1,1.8,0.983333333333333
"4","{A7=ff,A9=f} => {class=-}",0.0660225442834139,1,1.8,0.976744186046512
"5","{A9=t,A11=(2.5; Inf],A14=[-Inf;99.5]} => {class=+}",0.112721417069243,0.985915492957746,2.21830985915493,0.972602739726027
"6","{A9=t,A10=t,A15=(395; Inf]} => {class=+}",0.162640901771337,0.980582524271845,2.20631067961165,0.971428571428571
"7","{A6=k,A9=f} => {class=-}",0.0450885668276973,1,1.8,0.966666666666667
"8","{A6=aa,A9=f} => {class=-}",0.037037037037037,1,1.8,0.96
"9","{A9=t,A15=(395; Inf]} => {class=+}",0.191626409017713,0.967479674796748,2.17682926829268,0.96
"10","{A6=cc,A9=t,A10=t} => {class=+}",0.0338164251207729,1,2.25,0.956521739130435
"11","{A9=f,A14=[-Inf;99.5]} => {class=-}",0.0998389694041868,0.96875,1.74375,0.954545454545455
"12","{A6=i,A9=f} => {class=-}",0.0531400966183575,0.970588235294118,1.74705882352941,0.944444444444444
"13","{A9=f} => {class=-}",0.444444444444444,0.932432432432432,1.67837837837838,0.929530201342282
"14","{A9=t,A14=[-Inf;99.5]} => {class=+}",0.180354267310789,0.925619834710744,2.08264462809917,0.91869918699187
"15","{A6=x,A9=t} => {class=+}",0.0434782608695652,0.931034482758621,2.0948275862069,0.903225806451613
"16","{A9=t} => {class=+}",0.412238325281804,0.787692307692308,1.77230769230769,0.785932721712538
"17","{A2=(36.625; Inf],A13=p} => {class=+}",0.00322061191626409,1,2.25,0.75
"18","{A4=l} => {class=+}",0.00161030595813205,1,2.25,0.666666666666667
"19","{A5=gg} => {class=+}",0.00161030595813205,1,2.25,0.666666666666667
"20","{} => {class=-}",0,0,0,0
