"","rules","support","confidence","lift","laplace"
"1","{a03=(0.741295;0.998505],a05=(0.04144;0.995175]} => {class=g}",0.280757097791798,1,1.5615763546798,0.989010989010989
"2","{a27=(0.52812;0.99921],a31=(0.135195;0.99556],a33=(0.0002;0.994855]} => {class=g}",0.274447949526814,1,1.5615763546798,0.98876404494382
"3","{a03=(0.741295;0.998505],a13=(0.35474;0.998725]} => {class=g}",0.195583596214511,1,1.5615763546798,0.984375
"4","{a05=[-Inf;0.04144]} => {class=b}",0.192429022082019,1,2.78070175438596,0.984126984126984
"5","{a04=(0.007075;0.74685],a27=(0.52812;0.99921]} => {class=g}",0.170347003154574,1,1.5615763546798,0.982142857142857
"6","{a03=[-Inf;0.19028]} => {class=b}",0.167192429022082,1,2.78070175438596,0.981818181818182
"7","{a05=(0.04144;0.995175],a10=(0.591395;0.9891]} => {class=g}",0.141955835962145,1,1.5615763546798,0.978723404255319
"8","{a07=[-Inf;0.029375],a27=(0.99921; Inf]} => {class=b}",0.113564668769716,1,2.78070175438596,0.973684210526316
"9","{a27=(0.99921; Inf],a33=(-4e-05;0.0002]} => {class=b}",0.10410094637224,1,2.78070175438596,0.971428571428571
"10","{a01=0,a27=(0.99921; Inf]} => {class=b}",0.100946372239748,1,2.78070175438596,0.970588235294118
"11","{a19=(-0.989535;-0.4291]} => {class=g}",0.0946372239747634,1,1.5615763546798,0.96875
"12","{a18=[-Inf;-0.8145]} => {class=b}",0.0851735015772871,1,2.78070175438596,0.96551724137931
"13","{a14=(0.652535;0.97565]} => {class=g}",0.0851735015772871,1,1.5615763546798,0.96551724137931
"14","{a08=[-Inf;-0.983575]} => {class=b}",0.0757097791798107,1,2.78070175438596,0.961538461538462
"15","{a06=[-Inf;-0.79531]} => {class=b}",0.0757097791798107,1,2.78070175438596,0.961538461538462
"16","{a21=(-1.5e-05;0.07206]} => {class=b}",0.135646687697161,0.977272727272727,2.71750398724083,0.956521739130435
"17","{a16=[-Inf;-0.90517]} => {class=b}",0.0630914826498423,1,2.78070175438596,0.954545454545455
"18","{a10=[-Inf;-0.49981]} => {class=b}",0.0599369085173502,1,2.78070175438596,0.952380952380952
"19","{a14=[-Inf;-0.554585]} => {class=b}",0.100946372239748,0.96969696969697,2.69643806485912,0.942857142857143
"20","{a13=(0.35474;0.998725]} => {class=g}",0.394321766561514,0.932835820895522,1.45669436070877,0.926470588235294
"21","{a09=(-0.704705;-0.025605]} => {class=g}",0.0725552050473186,0.958333333333333,1.49651067323481,0.923076923076923
"22","{a34=(0.95098; Inf]} => {class=b}",0.0630914826498423,0.869565217391304,2.41800152555301,0.84
"23","{} => {class=g}",0,0,0,0
