"","rules","support","confidence","lift","laplace"
"1","{intensity.mean=(79.5926; Inf]} => {class=sky}",0.142857142857143,1,7,0.980263157894737
"2","{rawred.mean=(67.83335; Inf]} => {class=sky}",0.142857142857143,1,7,0.980263157894737
"3","{rawblue.mean=(101.11105; Inf]} => {class=sky}",0.142857142857143,1,7,0.980263157894737
"4","{rawgreen.mean=(71.27775; Inf]} => {class=sky}",0.142857142857143,1,7,0.980263157894737
"5","{value.mean=(101.11105; Inf]} => {class=sky}",0.142857142857143,1,7,0.980263157894737
"6","{exgreen.mean=(1.0555565; Inf],hue.mean=(0.64353; Inf]} => {class=grass}",0.141895141895142,1,7,0.980132450331126
"7","{hue.mean=(0.64353; Inf]} => {class=grass}",0.141895141895142,1,7,0.980132450331126
"8","{region.centroid.row=(160.5;210.5],rawgreen.mean=(35.72225;55.83335]} => {class=path}",0.119288119288119,1,7,0.976470588235294
"9","{region.centroid.row=(160.5;210.5],saturation.mean=(0.2749175;0.321112],hue.mean=(-2.08594;-1.85084]} => {class=path}",0.105339105339105,1,7,0.973451327433628
"10","{exred.mean=(0.0555555; Inf],exgreen.mean=(-8.5;-6.277775]} => {class=brickface}",0.0582010582010582,1,7,0.953125
"11","{hue.mean=(-1.51371;-0.28793347]} => {class=brickface}",0.076960076960077,0.987654320987654,6.91358024691358,0.952662721893491
"12","{region.centroid.col=[-Inf;151.5],rawred.mean=(18.72225;24.83335],hue.mean=(-1.85084;-1.51371]} => {class=brickface}",0.0557960557960558,1,7,0.951219512195122
"13","{region.centroid.row=(160.5;210.5],rawred.mean=(24.83335;41.94445]} => {class=path}",0.0456950456950457,1,7,0.941176470588235
"14","{rawred.mean=(18.72225;24.83335],hue.mean=(-1.85084;-1.51371]} => {class=brickface}",0.0557960557960558,0.983050847457627,6.88135593220339,0.936
"15","{region.centroid.row=(160.5;210.5],hedge.mean=(4.805555;19.3611]} => {class=path}",0.0529100529100529,0.982142857142857,6.875,0.932773109243697
"16","{exgreen.mean=(-17.83335;-15.16665],hue.mean=(-1.85084;-1.51371]} => {class=brickface}",0.0384800384800385,1,7,0.931034482758621
"17","{region.centroid.col=[-Inf;151.5],region.centroid.row=(81.5;116.5],rawred.mean=[-Inf;3.833335]} => {class=foliage}",0.0355940355940356,1,7,0.925925925925926
"18","{region.centroid.row=(81.5;116.5],exred.mean=(0.0555555; Inf]} => {class=brickface}",0.0322270322270322,1,7,0.918918918918919
"19","{saturation.mean=(0.7169145; Inf],hue.mean=(-2.41348;-2.245545]} => {class=foliage}",0.0317460317460317,1,7,0.917808219178082
"20","{region.centroid.row=(116.5;129.5],saturation.mean=(0.7169145; Inf]} => {class=foliage}",0.0283790283790284,1,7,0.909090909090909
"21","{region.centroid.row=(116.5;129.5],exgreen.mean=(-4.833335;-0.0555555],saturation.mean=(0.7169145; Inf]} => {class=foliage}",0.0254930254930255,1,7,0.9
"22","{region.centroid.row=(81.5;116.5],short.line.density.2=[-Inf;0.0555555],rawgreen.mean=(35.72225;55.83335]} => {class=cement}",0.0235690235690236,1,7,0.892857142857143
"23","{rawred.mean=[-Inf;3.833335],exred.mean=(-11.72225;-7.611115]} => {class=foliage}",0.0235690235690236,1,7,0.892857142857143
"24","{region.centroid.col=[-Inf;151.5],region.centroid.row=(81.5;116.5],exgreen.mean=(-4.833335;-0.0555555]} => {class=foliage}",0.0269360269360269,0.982456140350877,6.87719298245614,0.890625
"25","{region.centroid.row=(116.5;129.5],exgreen.mean=(-4.833335;-0.0555555]} => {class=foliage}",0.0269360269360269,0.982456140350877,6.87719298245614,0.890625
"26","{region.centroid.row=(81.5;116.5],exblue.mean=(16.94445;23.16665],hue.mean=(-2.20746;-2.08594]} => {class=window}",0.0192400192400192,1,7,0.872340425531915
"27","{region.centroid.row=(81.5;116.5],rawred.mean=(9.611115;15.61115],hue.mean=(-2.20746;-2.08594]} => {class=window}",0.0192400192400192,1,7,0.872340425531915
"28","{hedge.mean=(0.7222225;1.36111],rawred.mean=(24.83335;41.94445]} => {class=cement}",0.0187590187590188,1,7,0.869565217391304
