"","rules","support","confidence","lift","laplace"
"1","{CIRCULARITY=(40.5;49.5],RADIUS.RATIO=[-Inf;175.5],MAX.LENGTH.ASPECT.RATIO=(8.5;16],SKEWNESS.ABOUT_MAJOR=(64.5;76.5]} => {Class=van}",0.0890052356020942,1,4.24444444444444,0.958333333333333
"2","{CIRCULARITY=(40.5;49.5],DISTANCE.CIRCULARITY=(64.5;76.5],MAX.LENGTH.ASPECT.RATIO=[-Inf;7.5],PR.AXIS.RECTANGULARITY=(18.5;19.5],SCALED.VARIANCE_MAJOR=(165.5;180.5],SKEWNESS.ABOUT_MINOR=[-Inf;9.5]} => {Class=bus}",0.0824607329842932,1,3.87817258883249,0.955223880597015
"3","{CIRCULARITY=(40.5;49.5],DISTANCE.CIRCULARITY=(64.5;76.5],MAX.LENGTH.ASPECT.RATIO=[-Inf;7.5],ELONGATEDNESS=(41.5;46.5],SCALED.VARIANCE_MAJOR=(165.5;180.5],SKEWNESS.ABOUT_MINOR=[-Inf;9.5]} => {Class=bus}",0.081151832460733,1,3.87817258883249,0.954545454545455
"4","{CIRCULARITY=(40.5;49.5],DISTANCE.CIRCULARITY=(64.5;76.5],MAX.LENGTH.ASPECT.RATIO=[-Inf;7.5],SCATTER.RATIO=(140.5;154.5],SCALED.VARIANCE_MAJOR=(165.5;180.5],SKEWNESS.ABOUT_MINOR=[-Inf;9.5]} => {Class=bus}",0.0798429319371728,1,3.87817258883249,0.953846153846154
"5","{PR.AXIS.ASPECT.RATIO=(68.5;86.5],MAX.LENGTH.ASPECT.RATIO=[-Inf;7.5]} => {Class=bus}",0.0693717277486911,1,3.87817258883249,0.947368421052632
"6","{PR.AXIS.ASPECT.RATIO=(68.5;86.5],KURTOSIS.ABOUT_MINOR=(191.5; Inf]} => {Class=bus}",0.0575916230366492,1,3.87817258883249,0.9375
"7","{RADIUS.RATIO=(175.5;234.5],PR.AXIS.ASPECT.RATIO=(68.5;86.5],MAX.LENGTH.ASPECT.RATIO=[-Inf;7.5]} => {Class=bus}",0.0549738219895288,1,3.87817258883249,0.934782608695652
"8","{CIRCULARITY=(40.5;49.5],SCALED.VARIANCE_MINOR=(298.5;347.5],KURTOSIS.ABOUT_MINOR=(177.5;181.5]} => {Class=bus}",0.0719895287958115,0.982142857142857,3.80891950688905,0.933333333333333
"9","{SCATTER.RATIO=(154.5;163.5],MAX.LENGTH.RECTANGULARITY=(148.5;171.5],KURTOSIS.ABOUT_MINOR=(181.5;185.5]} => {Class=van}",0.0510471204188482,1,4.24444444444444,0.930232558139535
"10","{SCALED.VARIANCE_MAJOR=(239; Inf],HOLLOWS.RATIO=[-Inf;189.5]} => {Class=bus}",0.0392670157068063,1,3.87817258883249,0.911764705882353
"11","{ELONGATEDNESS=[-Inf;29.5]} => {Class=bus}",0.0340314136125654,1,3.87817258883249,0.9
"12","{SCALED.VARIANCE_MINOR=(761; Inf]} => {Class=bus}",0.0340314136125654,1,3.87817258883249,0.9
"13","{COMPACTNESS=(106.5; Inf],ELONGATEDNESS=(29.5;41.5],SCALED.VARIANCE_MINOR=(577;721.5],SCALED.RADIUS.OF.GYRATION=(192.5;241.5]} => {Class=saab}",0.0405759162303665,0.96875,3.77614795918367,0.888888888888889
"14","{SCALED.VARIANCE_MAJOR=(239; Inf]} => {Class=bus}",0.0392670157068063,0.967741935483871,3.75307024725725,0.885714285714286
"15","{SCATTER.RATIO=[-Inf;140.5],MAX.LENGTH.RECTANGULARITY=(134.5;148.5],SKEWNESS.ABOUT_MAJOR=(76.5; Inf]} => {Class=van}",0.0222513089005236,1,4.24444444444444,0.857142857142857
"16","{PR.AXIS.ASPECT.RATIO=[-Inf;52.5],PR.AXIS.RECTANGULARITY=[-Inf;18.5]} => {Class=van}",0.0209424083769634,1,4.24444444444444,0.85
"17","{MAX.LENGTH.ASPECT.RATIO=(8.5;16],SCALED.VARIANCE_MAJOR=[-Inf;165.5]} => {Class=van}",0.0274869109947644,0.954545454545455,4.05151515151515,0.846153846153846
"18","{PR.AXIS.ASPECT.RATIO=[-Inf;52.5],SCATTER.RATIO=[-Inf;140.5],MAX.LENGTH.RECTANGULARITY=(134.5;148.5]} => {Class=van}",0.0196335078534031,1,4.24444444444444,0.842105263157895
