"","rules","support","confidence","orderedConf","orderedSupp"
"1","{condition=S,surface.quality=E} => {class=3}",0.315203964710236,1,1,255
"2","{hardness=[45;70]} => {class=3}",0.148331269621849,1,1,117
"3","{hardness=[0;80],thick=[-Inf;0.451]} => {class=3}",0.101359702646732,1,1,31
"4","{steel=R,condition=S,surface.quality=} => {class=2}",0.0778739154338837,1,1,63
"5","{family=TN} => {class=5}",0.0754017308354378,1,1,61
"6","{carbon=[4;Inf],surface.quality=} => {class=3}",0.0741656348109245,1,1,60
"7","{surface.quality=F} => {class=3}",0.0642768815159798,1,1,52
"8","{hardness=[80;Inf],cbond=} => {class=U}",0.0370828174054623,1,1,30
"9","{steel=W} => {class=3}",0.0210135970264673,1,1,17
"10","{width=[1500;Inf]} => {class=2}",0.017305314540863,1,1,2
"11","{enamelability=2} => {class=2}",0.0123609397560358,1,1,8
"12","{steel=M,strength=[400;Inf]} => {class=2}",0.0111248455941677,1,1,9
"13","{surface.finish=P} => {class=2}",0.00988875143229961,1,1,7
"14","{strength=400} => {class=1}",0.00494437571614981,1,1,4
"15","{exptl=Y} => {class=1}",0.0024721878580749,1,1,2
"16","{thick=[0.601;0.799]} => {class=3}",0.234857842326164,0.994764387607574,1,43
"17","{carbon=[4;Inf]} => {class=3}",0.0815822035074234,0.970588207244873,0.666666666666667,4
"18","{hardness=[80;Inf]} => {class=U}",0.0420271940529346,0.944444417953491,0.666666666666667,4
"19","{} => {class=3}",0.761433839797974,0.761433839797974,0.972222222222222,35
