"","rules","support","confidence","orderedConf","orderedSupp"
"1","{A1=b,A4=u,A9=t,A10=t,A15=[98;Inf]} => {class=+}",0.115942031145096,1,1,72
"2","{A4=y,A8=[-Inf;1.46],A9=f,A13=g} => {class=-}",0.0950080528855324,1,1,59
"3","{A7=h,A9=t,A15=[221;Inf]} => {class=+}",0.0692431554198265,1,1,24
"4","{A9=t,A10=t,A12=t,A14=[-Inf;99]} => {class=+}",0.0579710155725479,1,1,24
"5","{A9=f,A10=t,A12=t} => {class=-}",0.046698871999979,1,1,28
"6","{A6=aa,A9=f} => {class=-}",0.0338164232671261,1,1,15
"7","{A4=l} => {class=+}",0.00322061195038259,1,1,2
"8","{A7=ff,A9=f} => {class=-}",0.0676328465342522,0.976744174957275,1,27
"9","{A6=i,A9=f} => {class=-}",0.0563607066869736,0.972222208976746,0.964285714285714,27
"10","{A9=t,A15=[228;Inf]} => {class=+}",0.222222223877907,0.958333313465118,0.872340425531915,41
"11","{A9=f} => {class=-}",0.449275374412537,0.930000007152557,0.872340425531915,123
"12","{} => {class=+}",0.444444447755814,0.444444447755814,0.61038961038961,94
