"","rules","support","confidence","orderedConf","orderedSupp"
"1","{intensity.mean=[88.5556;Inf]} => {class=sky}",0.142857149243355,1,1,297
"2","{hue.mean=[1.28706;Inf]} => {class=grass}",0.141414135694504,1,1,294
"3","{region.centroid.row=[159;251],rawred.mean=[25.3333;Inf]} => {class=path}",0.140933141112328,1,1,293
"4","{region.centroid.row=[163;251],hue.mean=[-2.86995;-1.75551]} => {class=path}",0.133718132972717,1,1,4
"5","{region.centroid.row=[70;245],exred.mean=[0.111111;7.22222]} => {class=brickface}",0.0808080807328224,1,1,168
"6","{region.centroid.col=[-Inf;151],rawred.mean=[17;45.5556],hue.mean=[-1.85316;0]} => {class=brickface}",0.0755170732736588,1,1,116
"7","{region.centroid.row=[-Inf;170],rawgreen.mean=[20.7778;104.111],hue.mean=[-2.08593;-1.84512]} => {class=cement}",0.0735930725932121,1,1,153
"8","{saturation.mean=[0.33971;Inf],hue.mean=[-Inf;-2.25454]} => {class=foliage}",0.0702260732650757,1,1,146
"9","{saturation.mean=[0.37037;Inf],hue.mean=[-Inf;-2.24632]} => {class=foliage}",0.0697450712323189,1,1,4
"10","{rawred.mean=[-Inf;11.5556],hue.mean=[-Inf;-2.22322]} => {class=foliage}",0.0683020651340485,1,1,20
"11","{exgreen.mean=[-33.8889;-14.5556],hue.mean=[-1.86318;Inf]} => {class=brickface}",0.0644540637731552,1,1,1
"12","{exred.mean=[-2.33333;Inf],exgreen.mean=[-8.77778;-5.22222]} => {class=brickface}",0.060606062412262,1,1,2
"13","{region.centroid.col=[-Inf;159],region.centroid.row=[69;129],rawred.mean=[-Inf;4]} => {class=foliage}",0.058682058006525,1,1,47
"14","{region.centroid.row=[82;159],short.line.density.2=0,rawgreen.mean=[32.4444;79.4444]} => {class=cement}",0.0562770552933216,1,1,43
"15","{region.centroid.row=[-Inf;172],saturation.mean=[0.193665;0.287646],hue.mean=[-2.08593;-1.86318]} => {class=cement}",0.0485810488462448,1,1,1
"16","{region.centroid.row=[109;158],rawred.mean=[27.3333;89.1111]} => {class=cement}",0.0418470427393913,1,1,5
"17","{region.centroid.row=[-Inf;122],rawred.mean=[1;18.3333],hue.mean=[-2.17877;-2.06055]} => {class=window}",0.0413660407066345,1,1,86
