"","rules","support","confidence","orderedConf","orderedSupp"
"1","{CIRCULARITY=[40;50],RADIUS.RATIO=[-Inf;174],MAX.LENGTH.ASPECT.RATIO=[9;13]} => {Class=van}",0.103947371244431,1,1,79
"2","{DISTANCE.CIRCULARITY=[-Inf;76],SCATTER.RATIO=[141;156],SCALED.RADIUS.OF.GYRATION=[165;Inf],SKEWNESS.ABOUT_MAJOR=[73;Inf],SKEWNESS.ABOUT_MINOR=[-Inf;11]} => {Class=bus}",0.0921052619814873,1,1,70
"3","{CIRCULARITY=[41;Inf],DISTANCE.CIRCULARITY=[-Inf;71],SCALED.VARIANCE_MINOR=[319;348]} => {Class=bus}",0.0907894745469093,1,1,13
"4","{PR.AXIS.ASPECT.RATIO=[67;Inf],MAX.LENGTH.ASPECT.RATIO=[-Inf;7]} => {Class=bus}",0.0894736871123314,1,1,56
"5","{RADIUS.RATIO=[154;Inf],MAX.LENGTH.ASPECT.RATIO=[-Inf;9],SKEWNESS.ABOUT_MAJOR=[75;Inf]} => {Class=bus}",0.061842106282711,1,1,35
"6","{SCALED.VARIANCE_MAJOR=[195;Inf],HOLLOWS.RATIO=[-Inf;191]} => {Class=bus}",0.0486842095851898,1,1,1
"7","{CIRCULARITY=[-Inf;40],SCATTER.RATIO=[-Inf;141],MAX.LENGTH.RECTANGULARITY=[136;Inf]} => {Class=van}",0.0355263166129589,1,1,27
"8","{COMPACTNESS=[103;Inf],CIRCULARITY=[-Inf;54],MAX.LENGTH.ASPECT.RATIO=[6;Inf],SCALED.VARIANCE_MINOR=[531;726],SCALED.RADIUS.OF.GYRATION=[196;Inf],SKEWNESS.ABOUT_MINOR=[11;Inf]} => {Class=saab}",0.0355263166129589,1,1,27
"9","{SCALED.VARIANCE_MAJOR=[130;246],SCALED.VARIANCE_MINOR=[722;757]} => {Class=opel}",0.0236842110753059,1,1,18
"10","{PR.AXIS.ASPECT.RATIO=[-Inf;52],SCATTER.RATIO=[-Inf;141]} => {Class=van}",0.0210526324808598,1,1,6
"11","{MAX.LENGTH.ASPECT.RATIO=8,PR.AXIS.RECTANGULARITY=[-Inf;18],SKEWNESS.ABOUT_MAJOR=[-Inf;67]} => {Class=van}",0.0197368413209915,1,1,8
"12","{MAX.LENGTH.ASPECT.RATIO=8,PR.AXIS.RECTANGULARITY=[-Inf;18],KURTOSIS.ABOUT_MINOR=[184;195]} => {Class=van}",0.0157894734293222,1,1,6
"13","{COMPACTNESS=[-Inf;89],MAX.LENGTH.ASPECT.RATIO=[8;10],KURTOSIS.ABOUT_MAJOR=[19;27]} => {Class=opel}",0.0131578948348761,1,1,10
