"","rules","support","confidence","orderedConf","orderedSupp"
"1","{Feature.1=[-Inf;-0.137]} => {Class=hid}",0.0460157133638859,1,1,41
"2","{Feature.0=[-2.227;Inf],Feature.7=[-0.362;0.347]} => {Class=hAd}",0.0448933765292168,1,1,40
"3","{Feature.0=[-Inf;-3.285],Feature.1=[-Inf;0.491]} => {Class=hid}",0.04152637347579,1,1,20
"4","{Feature.0=[-3.816;-2.795],Feature.1=[2.433;Inf],Feature.3=[-0.602;0.066],Feature.7=[0.048;1.331]} => {Class=hOd}",0.0381593704223633,1,1,34
"5","{Feature.0=[-Inf;-4.676],Feature.2=[-Inf;0.888]} => {Class=hud}",0.0359147042036057,1,1,32
"6","{Feature.0=[-2.343;Inf],Feature.1=[1.304;3.342],Feature.4=[-0.643;Inf]} => {Class=hAd}",0.0347923673689365,1,1,2
"7","{Sex=Male,Feature.0=[-2.335;Inf],Feature.1=[0.557;1.134],Feature.3=[-0.04;Inf]} => {Class=hEd}",0.0325476974248886,1,1,29
"8","{Feature.0=[-5.049;-4.174],Feature.1=[2.138;3.506],Feature.4=[-0.681;0.94]} => {Class=hud}",0.030303031206131,1,1,17
"9","{Feature.1=[-0.86;0.87],Feature.4=[-1.34;0.578],Feature.5=[-Inf;1.449],Feature.8=[-0.449;0.06]} => {Class=hEd}",0.030303031206131,1,1,20
"10","{Feature.1=[3.129;Inf],Feature.4=[-Inf;-1.036],Feature.6=[-Inf;0.48]} => {Class=hod}",0.0280583612620831,1,1,25
"11","{Feature.1=[0.256;2.104],Feature.3=[0.92;Inf],Feature.4=[0.486;1.59]} => {Class=hId}",0.0280583612620831,1,1,25
"12","{Feature.1=[-Inf;1.536],Feature.3=[0.537;Inf],Feature.4=[-Inf;1.59],Feature.6=[-0.649;0.159],Feature.7=[-Inf;0.517],Feature.8=[-0.409;0.395]} => {Class=hEd}",0.0280583612620831,1,1,16
"13","{Sex=Male,Feature.0=[-Inf;-4.497]} => {Class=hud}",0.0269360262900591,1,1,4
"14","{Feature.0=[-3.816;-2.945],Feature.3=[-0.69;0.232],Feature.6=[0.48;0.913]} => {Class=hOd}",0.0258136931806803,1,1,2
"15","{Feature.0=[-Inf;-3.591],Feature.3=[-Inf;0.393],Feature.4=[-Inf;-1.1]} => {Class=hod}",0.0246913582086563,1,1,5
"16","{Feature.0=[-3.618;-2.939],Feature.3=[0.244;1.053],Feature.4=[-0.789;0.516],Feature.7=[0.018;0.841]} => {Class=hed}",0.0235690232366323,1,1,21
"17","{Feature.0=[-4.17;Inf],Feature.1=[2.726;3.146],Feature.6=[0.382;Inf]} => {Class=hOd}",0.0224466882646084,1,1,2
"18","{Feature.0=[-3.53;Inf],Feature.1=[1.86;Inf],Feature.4=[-1.096;-0.683],Feature.8=[-0.366;0.361]} => {Class=hYd}",0.0224466882646084,1,1,20
"19","{Feature.0=[-3.338;-1.709],Feature.1=[0.71;1.604],Feature.8=[-0.942;-0.6]} => {Class=hEd}",0.0190796852111816,1,1,6
"20","{Feature.0=[-2.483;-1.093],Feature.1=[0.418;0.785]} => {Class=hEd}",0.0179573521018028,1,1,1
"21","{Feature.1=[-Inf;0.458],Feature.3=[-0.221;0.803],Feature.6=[-Inf;0.532]} => {Class=hId}",0.0168350171297789,1,1,15
"22","{Feature.0=[-3.741;Inf],Feature.1=[2.433;Inf],Feature.6=[0.531;0.813]} => {Class=hOd}",0.0168350171297789,1,1,3
"23","{Feature.0=[-4.049;Inf],Feature.1=[1.933;3.314],Feature.3=[0.189;0.838],Feature.4=[-0.154;Inf]} => {Class=hed}",0.0168350171297789,1,1,7
"24","{Sex=Male,Feature.0=[-3.775;-2.742],Feature.1=[1.42;2.126],Feature.3=[0.204;0.799],Feature.5=[-Inf;1.696]} => {Class=hed}",0.0168350171297789,1,1,9
"25","{Feature.0=[-Inf;-4.676],Feature.8=[-Inf;-0.326]} => {Class=hud}",0.0157126821577549,1,1,1
"26","{Feature.1=[0.389;0.971],Feature.4=[0.5;1.59]} => {Class=hId}",0.0157126821577549,1,1,3
"27","{Feature.0=[-Inf;-3.828],Feature.2=[1.067;Inf]} => {Class=hid}",0.0145903481170535,1,1,12
"28","{Feature.0=[-4.693;-3.665],Feature.3=[0.181;1.133],Feature.8=[-0.471;0.16]} => {Class=hUd}",0.0134680131450295,1,1,12
"29","{Feature.0=[-2.842;-1.978],Feature.3=[-Inf;0.032],Feature.8=[-0.453;-0.098]} => {Class=hAd}",0.0134680131450295,1,1,3
"30","{Feature.0=[-3.478;Inf],Feature.6=[-Inf;-0.512],Feature.8=[0.139;Inf]} => {Class=hOd}",0.0134680131450295,1,1,12
"31","{Feature.0=[-3.015;Inf],Feature.1=[2.254;3.342],Feature.4=[-0.735;Inf],Feature.8=[-Inf;-0.307]} => {Class=had}",0.0134680131450295,1,1,12
"32","{Feature.0=[-4.16;Inf],Feature.1=[2.161;3.291],Feature.4=[-1.17;-0.571],Feature.8=[0.05;0.873]} => {Class=hYd}",0.0134680131450295,1,1,6
"33","{Feature.1=[2.976;Inf],Feature.3=[0.83;Inf]} => {Class=hod}",0.0123456791043282,1,1,5
"34","{Feature.0=[-4.049;Inf],Feature.1=[2.165;Inf],Feature.2=[-0.898;-0.117],Feature.3=[0.328;0.82]} => {Class=hed}",0.0123456791043282,1,1,1
"35","{Feature.1=[-Inf;0.458],Feature.8=[0.131;Inf]} => {Class=hId}",0.0112233441323042,1,1,5
"36","{Feature.0=[-1.656;Inf],Feature.1=[-0.251;0.487]} => {Class=hId}",0.0112233441323042,1,1,1
"37","{Sex=Female,Feature.0=[-3.052;Inf],Feature.2=[-Inf;-0.149],Feature.4=[-Inf;-1.009]} => {Class=hYd}",0.0112233441323042,1,1,8
"38","{Feature.1=[-0.538;Inf],Feature.2=[-0.074;0.899],Feature.3=[0.801;1.746],Feature.4=[0.486;0.777]} => {Class=hId}",0.0112233441323042,1,1,3
"39","{Feature.0=[-2.7;Inf],Feature.1=[2.91;Inf]} => {Class=hYd}",0.0101010100916028,1,1,7
"40","{Feature.1=[1.804;3.176],Feature.2=[0.436;Inf],Feature.4=[-1.514;-1.095]} => {Class=hOd}",0.0101010100916028,1,1,5
"41","{Feature.0=[-4.763;-2.274],Feature.1=[3.26;3.614],Feature.6=[-0.114;0.295]} => {Class=hOd}",0.00897867605090141,1,1,7
"42","{Feature.0=[-Inf;Inf],Feature.3=[-Inf;0.036],Feature.7=[-Inf;0.077],Feature.8=[0.119;Inf]} => {Class=had}",0.00897867605090141,1,1,8
"43","{Feature.0=[-4.039;Inf],Feature.1=[0.117;2.216],Feature.6=[0.569;1.003]} => {Class=hYd}",0.00785634107887745,1,1,6
"44","{Feature.0=[-Inf;Inf],Feature.1=[0.839;1.992],Feature.3=[-0.605;0.07],Feature.7=[0.353;0.751]} => {Class=hed}",0.00785634107887745,1,1,7
"45","{Speaker.Number=Penny,Feature.1=[2.901;Inf]} => {Class=hod}",0.00673400657251477,1,1,6
"46","{Speaker.Number=Sarah,Feature.0=[-4.275;-3.706]} => {Class=hUd}",0.00673400657251477,1,1,6
"47","{Speaker.Number=Kate,Feature.1=[-Inf;0.491]} => {Class=hid}",0.00673400657251477,1,1,1
"48","{Speaker.Number=Mark,Feature.0=[-Inf;-3.581]} => {Class=hud}",0.00673400657251477,1,1,5
"49","{Speaker.Number=Sarah,Feature.1=[1.008;1.665]} => {Class=hEd}",0.00673400657251477,1,1,1
"50","{Speaker.Number=Wendy,Feature.1=[-Inf;3.055],Feature.8=[-0.334;Inf]} => {Class=hAd}",0.00673400657251477,1,1,6
"51","{Speaker.Number=Rose,Feature.0=[-3.96;Inf],Feature.1=[0.829;1.703]} => {Class=hAd}",0.00673400657251477,1,1,6
"52","{Feature.0=[-Inf;Inf],Feature.4=[-Inf;-0.58],Feature.6=[-Inf;-1.273]} => {Class=hod}",0.00673400657251477,1,1,6
"53","{Speaker.Number=Jo,Feature.1=[1.346;Inf],Feature.4=[-0.136;0.58]} => {Class=hUd}",0.00673400657251477,1,1,6
"54","{Speaker.Number=Penny,Feature.0=[-4.947;-3.19],Feature.8=[-Inf;-0.827]} => {Class=hUd}",0.00673400657251477,1,1,6
"55","{Speaker.Number=Penny,Feature.0=[-2.98;Inf],Feature.1=[0.757;2.027]} => {Class=hed}",0.00673400657251477,1,1,2
"56","{Speaker.Number=Nick,Feature.0=[-Inf;-2.05],Feature.5=[-Inf;0.796],Feature.8=[-0.74;0.248]} => {Class=had}",0.00673400657251477,1,1,6
"57","{Speaker.Number=Andrew,Feature.3=[-Inf;Inf],Feature.4=[-Inf;0.099],Feature.5=[1.229;1.449]} => {Class=hed}",0.00673400657251477,1,1,3
"58","{Speaker.Number=Andrew,Feature.1=[-Inf;Inf],Feature.3=[-Inf;Inf],Feature.4=[-0.151;Inf]} => {Class=hud}",0.00673400657251477,1,1,6
"59","{Speaker.Number=Wendy,Feature.0=[-Inf;Inf],Feature.6=[-Inf;0.501],Feature.7=[0.474;Inf]} => {Class=hUd}",0.00673400657251477,1,1,6
"60","{Speaker.Number=Mark,Feature.0=[-Inf;Inf],Feature.1=[-Inf;1.124],Feature.7=[0.589;0.705]} => {Class=hed}",0.00673400657251477,1,1,6
"61","{Sex=Female,Feature.0=[-3.74;-3.354],Feature.1=[1.241;3.194],Feature.7=[0.133;Inf]} => {Class=hOd}",0.00673400657251477,1,1,1
"62","{Speaker.Number=Nick,Feature.1=[-Inf;0.682]} => {Class=hid}",0.0056116720661521,1,1,5
"63","{Speaker.Number=Mark,Feature.0=[-2.432;-2.101]} => {Class=had}",0.0056116720661521,1,1,5
"64","{Speaker.Number=Rich,Feature.0=[-Inf;-2.624],Feature.3=[0.234;0.484]} => {Class=hed}",0.0056116720661521,1,1,3
"65","{Speaker.Number=Sue,Feature.0=[-Inf;Inf],Feature.1=[3.454;Inf]} => {Class=hod}",0.0056116720661521,1,1,5
"66","{Speaker.Number=Sue,Feature.1=[1.724;Inf],Feature.4=[-0.994;-0.314]} => {Class=hYd}",0.0056116720661521,1,1,5
"67","{Speaker.Number=Andrew,Feature.0=[-2.594;Inf],Feature.8=[-0.798;0.307]} => {Class=hAd}",0.0056116720661521,1,1,5
"68","{Speaker.Number=Mark,Feature.0=[-3.165;Inf],Feature.4=[-1.295;-0.918]} => {Class=hYd}",0.0056116720661521,1,1,4
"69","{Feature.0=[-3.297;Inf],Feature.1=[1.486;2.216],Feature.3=[-Inf;0.183],Feature.8=[0.203;Inf]} => {Class=had}",0.0056116720661521,1,1,2
"70","{Speaker.Number=Rose,Feature.0=[-Inf;Inf],Feature.1=[-Inf;4.5],Feature.7=[0.702;Inf]} => {Class=hOd}",0.0056116720661521,1,1,3
"71","{Feature.1=[-Inf;Inf],Feature.3=[-Inf;Inf],Feature.7=[-Inf;0.034],Feature.8=[0.126;0.272]} => {Class=had}",0.0056116720661521,1,1,3
"72","{Speaker.Number=Sue,Feature.0=[-Inf;Inf],Feature.1=[1.338;2.327],Feature.4=[-0.612;0.267]} => {Class=had}",0.0056116720661521,1,1,5
"73","{Speaker.Number=Jo,Feature.1=[-0.538;0.431]} => {Class=hId}",0.00448933802545071,1,1,1
"74","{Speaker.Number=Wendy,Feature.1=[3.139;Inf]} => {Class=hod}",0.00448933802545071,1,1,4
"75","{Feature.1=[2.817;Inf],Feature.4=[0.469;0.669]} => {Class=hUd}",0.00448933802545071,1,1,4
"76","{Feature.0=[-2.445;-1.952],Feature.4=[-1.211;-1.058]} => {Class=hYd}",0.00448933802545071,1,1,4
"77","{Speaker.Number=Andrew,Feature.0=[-3.949;Inf],Feature.4=[-Inf;-1.676]} => {Class=hOd}",0.00448933802545071,1,1,4
"78","{Speaker.Number=Bill,Feature.0=[-4.661;-3.966],Feature.4=[-1.103;-0.532]} => {Class=hUd}",0.00448933802545071,1,1,3
