dataset,accuracy,rules,antlength,buildtime
anneal,0.982232776586709,22,1.3419558629776,0.358
australian,0.855094994519547,9.8,2.295,0.24
autos,0.690801096945262,49.1,1.73151038131369,0.26
breast-w,0.951302598197883,13.4,1.39238721804511,0.228
colic,0.810067962699542,16.1,1.95426599587203,0.249
credit-a,0.855116307392522,16.7,2.20378783969728,0.265
credit-g,0.701,36.5,2.80413122857735,0.342
diabetes,0.743540669856459,13.3,2.04857142857143,0.241
glass,0.672589873894222,20.7,2.03480124223602,0.216
heart-statlog,0.822222222222222,8.6,2.24555555555556,0.21
hepatitis,0.788774509803922,10,1.69287878787879,0.208
hypothyroid,0.976136955213865,25.6,2.49299161431189,0.526
ionosphere,0.916914098972923,20.3,1.39782396207911,0.268
iris,0.946666666666667,8.2,1.19138888888889,0.181
labor,0.816666666666667,7.8,1.1674062049062,0.178
letter,0.666245912127735,1250.1,3.16863716456962,4.608
lymph,0.784146825396826,13.8,1.863663003663,0.216
segment,0.896103896103896,121.3,1.91176729655811,0.514
sonar,0.709090909090909,11.6,2.02515817515817,0.261
spambase,0.915233270396404,71.2,1.96910994490683,0.831
vehicle,0.651299807829152,52.9,2.79867719119059,0.345
vowel,0.578787878787879,148.2,2.74408871777906,0.41
