dataset,accuracy,rules,antlength,buildtime
anneal,0.992221673457628,17.9,1.35792913656691,0.25
australian,0.837826086956522,9.3,2.34088383838384,0.516
autos,0.760896080781664,30.9,1.7509261457642,0.36
breast-w,0.959936138570554,11.8,1.39526723276723,0.108
colic,0.823214003477161,14.5,2.11318546649429,0.085
credit-a,0.855116307392522,14.1,2.18693223443223,0.334
credit-g,0.721,33.9,2.83923295305442,1.17
diabetes,0.746172248803828,13.4,1.99424242424242,1.776
glass,0.721992910471171,17.6,1.98300653594771,0.815
heart-statlog,0.822222222222222,8.9,2.29111111111111,0.076
hepatitis,0.807524509803921,8.8,1.73961038961039,0.054
hypothyroid,0.990989786049671,15.2,2.84260899231487,15.739
ionosphere,0.92295985060691,17.2,1.32941059757236,1.004
iris,0.933333333333333,3.8,0.975,0.05
labor,0.926666666666667,7.6,1.11845238095238,0.032
letter,0.781554863089419,850.6,3.35151358884303,656.072
lymph,0.784107142857143,11.7,1.80858974358974,0.04
segment,0.951948051948052,58.2,2.11700551801628,178.725
sonar,0.731558441558441,11.5,2.07800116550117,0.84
spambase,0.922197372100674,62.2,1.88553624250478,88.061
vehicle,0.668937516344208,39.6,2.78517361045438,8.394
vowel,0.675757575757576,102.9,2.74588122278484,222.366
